"";"V1"
"1";0
"2";9
"3";9
"4";15
"5";17
"6";6
"7";15
"8";16
"9";3
"10";19
"11";15
"12";18
"13";18
"14";11
"15";16
"16";16
"17";6
"18";6
"19";0
"20";18
"21";11
"22";18
"23";11
"24";0
"25";16
"26";6
"27";11
"28";9
"29";11
"30";5
"31";18
"32";0
"33";6
"34";16
"35";16
"36";16
"37";0
"38";6
"39";6
"40";8
"41";16
"42";6
"43";16
"44";16
"45";16
"46";13
"47";16
"48";16
"49";10
"50";9
"51";8
"52";8
"53";7
"54";16
"55";6
"56";18
"57";16
"58";16
"59";6
"60";16
"61";17
"62";19
"63";6
"64";17
"65";11
"66";17
"67";1
"68";16
"69";6
"70";0
"71";19
"72";0
"73";16
"74";9
"75";15
"76";1
"77";17
"78";9
"79";17
"80";19
"81";19
"82";0
"83";17
"84";12
"85";12
"86";0
"87";6
"88";0
"89";6
"90";6
"91";11
"92";19
"93";15
"94";17
"95";9
"96";9
"97";10
"98";17
"99";10
"100";6
"101";15
"102";6
"103";16
"104";18
"105";6
"106";17
"107";16
"108";8
"109";16
"110";16
"111";16
"112";16
"113";6
"114";16
"115";16
"116";18
"117";16
"118";0
"119";16
"120";10
"121";16
"122";6
"123";18
"124";12
"125";18
"126";11
"127";6
"128";6
"129";16
"130";16
"131";0
"132";15
"133";16
"134";16
"135";16
"136";3
"137";3
"138";0
"139";12
"140";5
"141";18
"142";16
"143";16
"144";18
"145";16
"146";16
"147";15
"148";7
"149";10
"150";6
"151";0
"152";16
"153";16
"154";15
"155";12
"156";10
"157";11
"158";6
"159";10
"160";17
"161";1
"162";10
"163";9
"164";16
"165";16
"166";9
"167";15
"168";0
"169";15
"170";0
"171";16
"172";11
"173";0
"174";9
"175";6
"176";10
"177";6
"178";12
"179";18
"180";19
"181";19
"182";9
"183";11
"184";19
"185";0
"186";6
"187";6
"188";19
"189";19
"190";6
"191";19
"192";19
"193";19
"194";11
"195";18
"196";6
"197";6
"198";4
"199";1
"200";0
"201";15
"202";16
"203";16
"204";8
"205";1
"206";16
"207";0
"208";6
"209";6
"210";6
"211";15
"212";18
"213";6
"214";10
"215";6
"216";18
"217";18
"218";0
"219";0
"220";6
"221";6
"222";1
"223";16
"224";18
"225";1
"226";0
"227";17
"228";3
"229";13
"230";0
"231";0
"232";6
"233";0
"234";6
"235";6
"236";9
"237";13
"238";12
"239";6
"240";0
"241";2
"242";16
"243";9
"244";6
"245";10
"246";16
"247";11
"248";11
"249";6
"250";13
"251";19
"252";6
"253";3
"254";6
"255";18
"256";18
"257";18
"258";6
"259";18
"260";6
"261";5
"262";18
"263";16
"264";16
"265";0
"266";18
"267";11
"268";9
"269";8
"270";1
"271";15
"272";9
"273";16
"274";10
"275";11
"276";11
"277";18
"278";19
"279";10
"280";17
"281";18
"282";10
"283";17
"284";18
"285";10
"286";10
"287";18
"288";6
"289";16
"290";16
"291";0
"292";6
"293";16
"294";8
"295";7
"296";16
"297";16
"298";15
"299";0
"300";18
"301";16
"302";16
"303";11
"304";16
"305";0
"306";19
"307";9
"308";19
"309";17
"310";0
"311";6
"312";11
"313";19
"314";15
"315";11
"316";9
"317";9
"318";0
"319";6
"320";10
"321";19
"322";19
"323";6
"324";6
"325";0
"326";10
"327";16
"328";9
"329";16
"330";9
"331";6
"332";15
"333";19
"334";15
"335";11
"336";11
"337";17
"338";17
"339";5
"340";0
"341";0
"342";10
"343";13
"344";9
"345";6
"346";6
"347";16
"348";19
"349";19
"350";15
"351";11
"352";16
"353";16
"354";6
"355";17
"356";15
"357";6
"358";6
"359";6
"360";18
"361";10
"362";19
"363";19
"364";6
"365";6
"366";18
"367";6
"368";10
"369";10
"370";11
"371";9
"372";19
"373";19
"374";6
"375";6
"376";17
"377";19
"378";13
"379";10
"380";0
"381";16
"382";18
"383";8
"384";8
"385";15
"386";17
"387";16
"388";6
"389";13
"390";13
"391";6
"392";8
"393";12
"394";0
"395";8
"396";16
"397";6
"398";13
"399";8
"400";12
"401";16
"402";18
"403";8
"404";18
"405";0
"406";18
"407";15
"408";12
"409";6
"410";6
"411";15
"412";19
"413";6
"414";6
"415";0
"416";19
"417";11
"418";18
"419";9
"420";12
"421";9
"422";18
"423";0
"424";1
"425";1
"426";12
"427";19
"428";16
"429";16
"430";16
"431";10
"432";10
"433";7
"434";1
"435";3
"436";19
"437";19
"438";15
"439";3
"440";1
"441";6
"442";6
"443";6
"444";16
"445";16
"446";16
"447";6
"448";16
"449";1
"450";18
"451";6
"452";2
"453";6
"454";15
"455";0
"456";19
"457";9
"458";17
"459";16
"460";9
"461";16
"462";16
"463";16
"464";15
"465";0
"466";13
"467";1
"468";9
"469";1
"470";9
"471";16
"472";10
"473";16
"474";1
"475";16
"476";18
"477";16
"478";16
"479";0
"480";16
"481";10
"482";16
"483";16
"484";10
"485";16
"486";0
"487";0
"488";16
"489";5
"490";16
"491";0
"492";0
"493";16
"494";6
"495";0
"496";6
"497";0
"498";15
"499";4
"500";16
"501";9
"502";6
"503";9
"504";0
"505";19
"506";0
"507";0
"508";16
"509";0
"510";17
"511";15
"512";8
"513";0
"514";16
"515";16
"516";16
"517";4
"518";2
"519";16
"520";16
"521";16
"522";16
"523";16
"524";15
"525";0
"526";18
"527";16
"528";15
"529";1
"530";10
"531";16
"532";15
"533";15
"534";11
"535";0
"536";3
"537";16
"538";13
"539";15
"540";15
"541";16
"542";15
"543";16
"544";9
"545";18
"546";0
"547";10
"548";0
"549";19
"550";19
"551";10
"552";9
"553";19
"554";12
"555";11
"556";12
"557";15
"558";11
"559";19
"560";19
"561";6
"562";7
"563";6
"564";7
"565";10
"566";11
"567";10
"568";9
"569";4
"570";18
"571";16
"572";15
"573";15
"574";15
"575";9
"576";9
"577";4
"578";12
"579";12
"580";5
"581";5
"582";5
"583";9
"584";18
"585";18
"586";11
"587";16
"588";7
"589";5
"590";10
"591";11
"592";9
"593";12
"594";7
"595";12
"596";12
"597";12
"598";9
"599";0
"600";7
"601";16
"602";12
"603";4
"604";7
"605";7
"606";9
"607";14
"608";10
"609";16
"610";11
"611";8
"612";7
"613";11
"614";11
"615";9
"616";9
"617";5
"618";16
"619";15
"620";4
"621";11
"622";8
"623";11
"624";11
"625";16
"626";2
"627";7
"628";11
"629";12
"630";19
"631";12
"632";19
"633";19
"634";3
"635";3
"636";0
"637";10
"638";19
"639";19
"640";3
"641";6
"642";19
"643";19
"644";19
"645";19
"646";19
"647";10
"648";0
"649";19
"650";19
"651";6
"652";18
"653";6
"654";19
"655";10
"656";19
"657";2
"658";19
"659";13
"660";10
"661";18
"662";12
"663";18
"664";19
"665";9
"666";18
"667";9
"668";18
"669";18
"670";11
"671";3
"672";10
"673";0
"674";12
"675";15
"676";16
"677";16
"678";16
"679";16
"680";10
"681";12
"682";10
"683";9
"684";10
"685";10
"686";10
"687";6
"688";9
"689";19
"690";18
"691";10
"692";10
"693";10
"694";3
"695";3
"696";9
"697";9
"698";10
"699";9
"700";9
"701";19
"702";2
"703";6
"704";12
"705";19
"706";10
"707";0
"708";10
"709";12
"710";11
"711";8
"712";16
"713";18
"714";0
"715";10
"716";10
"717";0
"718";18
"719";10
"720";12
"721";12
"722";12
"723";12
"724";12
"725";9
"726";10
"727";19
"728";9
"729";10
"730";6
"731";3
"732";13
"733";6
"734";19
"735";12
"736";13
"737";16
"738";19
"739";18
"740";11
"741";9
"742";11
"743";11
"744";10
"745";11
"746";15
"747";9
"748";13
"749";6
"750";1
"751";6
"752";1
"753";6
"754";8
"755";6
"756";6
"757";1
"758";16
"759";1
"760";6
"761";16
"762";18
"763";15
"764";12
"765";11
"766";18
"767";18
"768";18
"769";11
"770";12
"771";18
"772";11
"773";7
"774";9
"775";5
"776";10
"777";10
"778";10
"779";10
"780";3
"781";10
"782";12
"783";10
"784";10
"785";0
"786";16
"787";19
"788";12
"789";0
"790";18
"791";12
"792";10
"793";3
"794";11
"795";16
"796";12
"797";6
"798";12
"799";18
"800";18
"801";9
"802";11
"803";11
"804";16
"805";11
"806";10
"807";18
"808";10
"809";12
"810";11
"811";2
"812";11
"813";10
"814";11
"815";18
"816";1
"817";10
"818";18
"819";10
"820";12
"821";12
"822";10
"823";3
"824";9
"825";3
"826";16
"827";16
"828";10
"829";6
