"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19"
"emji_visage_riant_aux_larmes";1;1;1;1;1;1;1;0,004;1;1;1;1;1;0;0;0;1;1;1
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0
"emji_coeur_rouge";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0
"emji_applaudissements";1;1;1;1;0,946;0;1;1;1;1;1;1;1;1;1;1;1;1;0
"voir";0,024;1;0,56;1;1;1;1;1;0;0;0;0;0,079;1;1;1;0,002;0;1
"emji_se_rouler_par_terre_de_rire";1;1;1;1;1;1;0,082;0,111;1;1;1;1;1;1;0;1;1;1;1
"époque";1;0,586;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0,765;1
"aller";0,004;1;0,579;0,167;1;1;1;1;0,009;0;1;0,004;1;1;1;1;0,086;0;1
"beau";1;1;1;1;1;0,936;1;1;1;1;0,031;0,037;1;1;1;1;1;1;0
"aimer";0,001;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1
"suisse";1;1;1;1;1;1;1;0;1;1;1;1;0,009;1;1;1;0;1;1
"femme";1;1;1;1;1;1;1;1;1;0;1;0,003;1;1;1;1;1;1;1
"emji_visage_qui_pleure";0,279;0,794;1;1;0,066;1;0,393;1;1;1;0;0;1;1;1;1;1;1;0
"parler";1;1;0,001;1;1;1;1;0,005;0;0;0;1;1;0,103;1;1;1;1;1
"emji_visage_souriant_avec_coeurs";1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0
"enfant";1;0;1;1;1;1;1;1;0;0,679;0;0;1;1;1;1;1;1;1
"homme";1;1;1;1;1;1;1;1;1;0;1;0,003;1;1;1;1;1;1;1
"vie";1;1;1;1;1;1;1;1;1;0,495;0,957;0;1;1;1;1;1;1;0,987
"souvenir";1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0,211;1
"petit";0;1;1;0,004;1;1;1;1;1;1;1;0;0,695;1;1;1;1;0,3;1
"gens";0,013;1;0,004;0,394;1;1;1;1;0;0;0;0;1;1;1;1;1;0,195;1
"emji_feu";1;1;1;1;0,954;0;1;1;1;1;1;1;1;1;1;1;1;1;0,033
"année";1;0;1;1;1;1;1;1;1;1;0;1;1;0,223;1;1;0,395;0;1
"emji_visage_souriant_avec_une_goutte_de_sueur";1;1;1;0,53;1;1;0,257;0,307;1;1;1;1;1;1;0;1;1;1;1
"temps";1;0,775;1;1;1;1;1;1;1;1;0;0;0,948;1;1;1;1;0;1
"tellement";1;0,64;1;1;1;1;1;1;1;1;0,288;0;1;1;1;1;1;1;0
"emji_mains_levées";1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0
"penser";0,27;1;0,746;1;1;1;1;1;0;0;0,007;0;1;0,865;0,471;1;1;1;1
"monde";1;1;1;1;1;1;1;1;0,003;0;0;0;1;1;1;1;0,059;0,611;1
"emji_mains_en_prière";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
"comprendre";1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1
"vrai";1;1;1;1;1;1;1;1;0,406;0;0,001;0;1;1;1;1;0,525;1;1
"chose";1;1;1;1;1;1;1;1;0;0;0,021;0;1;1;1;1;1;1;1
"grand";1;1;1;1;1;1;1;1;1;1;1;0;1;0,54;1;1;0,747;0,073;0,032
"passer";1;0,005;1;1;1;1;1;1;0,58;0,068;0;0,005;0,003;1;1;1;0,007;0;1
"français";1;1;0,016;0;1;1;1;0;0;1;1;1;1;1;1;1;0,001;1;1
"prendre";0;1;1;0;1;1;1;1;0,627;0;1;0,133;1;1;1;1;0,971;0;1
"connaître";1;0;0,023;0,158;1;1;1;1;0,339;0,091;0;0;1;1;1;1;0,029;1;1
"jour";0,111;0;1;0,011;1;1;1;1;1;1;0,041;0,147;1;1;1;1;0,147;0;1
"adorer";1;0,003;1;1;1;0;0,079;1;1;1;1;1;1;1;0,476;1;1;1;1
"vraiment";0,59;1;1;1;1;1;1;1;0,002;0,094;0;1;1;1;1;1;0,666;1;1
"emji_visage_faisant_un_clin_d_oeil";1;1;1;1;1;1;1;0,188;0,001;1;0,018;0,572;0,443;0,358;0;1;1;0,631;1
"changer";1;1;0;1;1;1;1;1;1;0,006;0;1;1;1;1;1;1;0,22;1
"vivre";1;1;1;1;1;1;1;1;1;0,153;0;0;1;1;1;1;0,722;1;1
"trouver";0,086;1;1;0,025;1;1;1;1;0;0;0,41;0;0;1;1;1;0,638;0,665;1
"jeune";1;1;0,989;1;1;1;1;1;0;0,801;0;0,128;1;1;1;1;1;0,259;1
"venir";0;1;0,478;0,134;1;1;1;0;0,034;0,586;1;0,565;0,082;0,471;1;1;1;0;1
"emji_visage_avec_bouche_ouverte";0,943;0,727;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"mettre";0,043;0,052;0,702;0,595;1;1;1;1;0,063;0,001;1;1;0,594;1;1;1;0;0;1
"magnifique";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0
"donner";0;0,906;1;1;1;1;1;1;0,016;0;1;0;0,869;1;1;1;0,379;0,001;1
"vidéo";1;1;1;1;1;1;1;1;0;1;0;1;0;1;1;1;1;1;1
"france";1;1;0,001;0;1;1;1;0;1;1;0,257;1;1;1;1;1;0;0,252;1
"emji_visage_qui_pleure_à_chaudes_larmes";1;1;1;1;0,046;1;0,012;1;1;1;1;1;1;1;0;1;1;1;1
"emji_pouce_vers_le_haut";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0
"raison";0,006;1;0,415;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0
"animal";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"exister";0,007;0,992;0,026;0,437;1;1;1;1;1;0;0,043;0,761;1;1;1;1;0,618;0,941;1
"rester";0;1;0,015;0,214;1;1;1;1;0,758;0,029;0,394;0;1;1;1;1;0;0;1
"jouer";1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0,636;1;1
