être;1379;557;570;652;44;894;251;689;1687;2034;1724;1737;275;132;438;971;594;2131;1105
de;1005;458;437;422;28;583;105;453;1264;1559;1261;1392;253;104;303;578;529;1971;609
avoir;881;406;364;444;32;458;108;338;1149;1425;1300;1278;166;103;330;696;445;1643;559
la;729;317;255;343;17;384;163;345;971;1269;971;963;239;91;287;553;441;1496;517
et;851;380;317;336;12;368;125;314;921;1198;936;1058;110;84;159;293;422;1385;585
les;1038;380;254;433;18;330;87;279;755;1068;972;822;107;113;191;404;388;1304;280
le;670;284;323;442;25;342;167;351;817;1080;783;755;187;72;243;491;333;1339;332
c;652;265;324;374;23;454;74;424;857;935;840;771;136;73;232;541;288;1029;488
pas;733;224;301;315;11;125;135;252;913;1030;829;769;89;48;232;348;263;1014;150
à;546;319;178;223;10;265;61;214;662;820;745;704;108;46;162;267;262;1141;278
l;503;275;195;255;15;267;233;264;608;853;752;616;94;34;122;263;337;881;238
en;509;294;205;352;13;188;69;393;599;758;555;603;114;70;158;340;288;1077;217
ne;624;188;225;233;6;95;95;130;737;942;690;749;71;27;125;158;221;786;124
que;515;176;205;177;14;264;56;170;742;864;666;627;71;34;132;198;234;813;199
des;654;197;174;171;5;187;35;197;492;787;554;521;94;50;96;201;274;862;166
je;347;235;177;194;13;246;172;185;699;525;518;581;105;43;176;314;139;775;220
un;472;155;200;250;9;190;48;206;502;744;450;544;83;46;148;258;225;846;292
on;373;221;165;221;14;168;39;212;466;509;499;437;68;35;138;278;152;723;120
il;416;144;151;191;4;165;59;141;479;701;452;487;90;24;108;251;185;715;253
d;370;147;166;151;7;136;36;126;517;639;525;500;72;17;61;148;192;635;208
pour;457;139;142;247;4;173;33;84;374;615;382;493;63;28;112;181;216;751;272
j;228;200;104;131;15;457;211;120;380;257;355;516;66;51;157;308;96;596;214
une;317;127;181;209;5;111;28;118;405;580;433;471;64;40;91;167;171;639;346
qui;418;85;157;113;2;83;24;116;474;704;366;499;51;36;91;160;170;632;123
ça;312;155;217;142;8;197;40;161;421;458;420;394;53;39;172;320;131;588;139
faire;350;158;113;145;10;141;47;94;400;526;378;468;58;18;110;246;165;701;134
ce;311;118;136;86;3;190;27;92;501;545;439;467;53;22;59;135;156;510;266
mais;288;81;107;130;7;99;60;100;453;466;359;349;44;21;127;199;134;476;123
qu;319;85;94;115;4;80;33;94;372;454;350;393;49;11;67;115;107;437;145
dans;262;136;102;173;4;95;27;139;275;398;353;371;64;21;78;151;142;527;109
plus;305;111;68;107;8;81;34;88;308;366;340;392;28;30;56;97;133;443;119
du;317;108;115;96;4;92;32;160;272;384;263;234;61;30;72;125;172;513;103
vous;188;36;55;101;4;110;14;62;320;374;215;209;63;14;50;98;72;314;206
bien;200;82;60;80;4;147;25;65;299;343;343;311;35;11;53;137;76;327;179
dire;135;49;144;101;7;47;21;165;298;358;243;255;31;24;85;169;82;293;103
avec;221;116;64;90;4;115;27;65;225;237;236;273;51;37;58;126;83;415;121
y;182;129;85;127;4;114;30;83;218;324;224;198;56;15;58;128;112;395;66
tout;190;50;57;63;3;89;23;64;255;406;279;277;28;14;45;104;81;347;139
ils;309;84;53;66;1;73;10;73;214;182;243;253;20;12;54;117;71;286;97
elle;200;38;38;48;5;97;19;34;192;210;164;214;19;12;41;109;47;195;229
au;173;146;70;122;6;75;30;86;172;254;152;174;43;20;55;89;108;403;60
comme;201;64;112;56;6;88;32;66;220;275;236;214;26;16;45;93;76;251;126
si;169;45;75;57;2;58;10;37;249;315;220;200;29;11;39;66;64;271;105
se;183;37;49;191;1;37;13;42;177;290;175;244;20;10;29;68;69;310;41
tu;85;40;97;57;2;35;26;35;242;232;133;122;18;12;51;110;58;245;28
même;146;91;55;64;2;55;16;58;251;225;225;210;20;15;47;118;66;256;54
cette;139;38;37;21;1;150;19;31;187;192;319;214;46;6;33;48;50;191;246
sur;128;68;38;49;1;36;11;42;211;270;174;119;80;13;34;75;75;342;48
pouvoir;167;47;58;48;0;47;17;35;193;264;157;169;46;7;32;56;67;270;47
nous;106;57;26;42;2;79;10;42;120;194;167;195;26;4;32;71;62;223;75
aussi;111;81;45;66;5;94;62;76;127;171;137;131;12;13;56;113;49;162;92
me;83;53;49;57;20;101;27;43;184;110;131;173;40;10;44;88;44;282;58
moi;111;50;43;45;3;117;89;42;114;102;123;134;10;25;63;163;23;197;83
s;118;54;92;46;13;56;10;27;211;209;177;138;22;13;36;72;39;231;33
ou;134;49;70;83;2;17;8;48;143;229;138;143;27;15;30;52;54;262;18
bon;100;54;30;27;3;169;4;40;146;146;202;114;28;7;34;78;45;196;92
par;152;49;62;57;1;17;4;34;133;234;124;118;11;4;22;54;95;255;40
quand;132;58;44;70;0;40;15;37;153;127;173;156;24;5;28;61;47;253;32
mon;95;77;30;43;2;166;17;24;112;101;113;166;16;26;33;79;33;172;80
très;104;34;23;67;1;57;11;23;130;112;123;138;16;2;22;44;48;135;251
savoir;98;51;38;57;0;38;18;50;181;155;150;148;19;2;41;62;29;167;34
oui;79;57;46;32;2;69;18;55;112;135;116;117;17;14;45;76;44;154;49
aujourd_hui;73;85;27;17;1;25;3;16;147;165;251;149;14;7;33;41;45;160;36
ces;97;28;17;18;1;74;7;34;97;134;194;154;17;5;12;36;30;130;134
merci;49;17;15;10;4;183;2;21;113;88;67;86;34;4;23;51;16;81;363
non;92;28;63;38;3;16;12;64;130;175;98;95;11;11;44;61;50;151;13
an;47;50;25;14;8;51;5;20;108;93;124;127;9;21;33;62;47;155;36
son;82;14;26;18;4;28;8;22;121;148;104;131;22;4;19;32;22;153;79
rien;79;14;43;15;3;24;9;20;133;132;124;152;9;4;28;48;39;153;34
trop;60;20;15;20;2;200;19;23;46;62;90;81;11;8;30;72;18;113;104
toujours;86;48;44;44;4;57;8;35;74;133;90;104;7;10;31;49;25;142;55
encore;79;37;25;40;1;47;8;36;87;122;109;100;19;7;28;48;36;149;39
falloir;94;45;36;30;0;27;12;18;105;156;111;87;13;1;13;45;47;167;26
tous;86;43;20;25;1;53;5;20;75;104;116;107;15;10;12;28;48;137;70
leur;131;35;22;12;0;17;5;14;74;120;97;128;7;5;8;19;36;137;25
personne;80;15;36;25;1;15;3;21;115;131;92;131;6;3;13;16;22;107;129
vouloir;73;23;35;20;3;26;9;22;91;136;78;124;12;7;29;59;36;123;30
t;47;15;42;18;4;25;13;23;117;95;68;76;11;9;38;70;28;122;26
devoir;81;30;24;27;3;17;4;19;80;133;102;120;12;8;19;31;46;119;27
sa;57;14;33;18;3;40;8;9;72;130;65;138;13;5;18;36;26;106;50
ma;62;42;22;30;5;65;8;16;50;51;87;163;7;17;22;60;20;118;35
sans;62;21;30;44;0;15;3;14;90;102;91;94;6;5;14;21;29;125;17
m;35;30;30;13;4;44;8;18;93;69;58;81;9;8;29;63;20;149;42
aux;69;32;18;47;0;23;2;21;70;117;55;74;11;4;8;22;43;137;17
jamais;53;17;20;30;0;23;16;35;82;88;82;92;8;18;13;24;32;125;21
quelle;28;12;10;6;4;49;38;14;43;48;90;51;14;8;6;24;8;45;242
avant;50;40;30;21;1;25;7;15;96;84;97;78;6;3;13;34;17;95;26
où;53;24;19;22;0;13;9;27;54;81;108;84;11;3;16;28;25;150;22
beaucoup;48;23;12;25;2;39;8;26;66;88;81;94;11;7;10;17;24;90;75
là;56;18;23;16;2;28;6;24;73;91;72;74;7;4;20;55;31;100;26
maintenant;60;51;19;28;1;16;5;19;71;60;117;82;13;4;9;39;24;102;21
alors;66;16;39;21;1;5;3;25;94;117;50;69;14;3;17;56;32;106;15
quoi;75;17;26;31;3;10;8;21;90;76;86;65;17;4;29;57;25;68;17
peu;53;15;14;16;1;14;11;34;82;90;79;110;9;7;13;41;20;99;24
donc;81;17;34;33;0;9;9;34;84;111;56;52;14;7;11;35;24;106;7
juste;51;19;35;28;0;15;4;16;97;117;69;62;10;2;15;13;28;94;32
lui;52;6;18;12;2;22;3;7;74;99;46;84;8;2;19;40;13;88;36
quel;25;14;13;6;0;68;8;17;68;56;54;70;17;4;15;22;20;63;115
moins;77;24;15;20;0;17;6;15;64;70;72;60;7;3;14;21;35;90;8
déjà;51;25;19;8;4;19;8;15;74;57;73;54;15;2;26;26;23;111;19
dame;102;4;11;9;3;52;3;8;46;23;37;78;2;2;8;10;6;40;180
mes;36;41;12;21;0;42;5;20;47;29;79;94;4;13;9;22;15;96;19
après;51;25;15;75;1;12;5;17;53;56;51;46;6;3;19;34;33;110;11
toi;34;16;36;13;2;17;3;11;72;70;44;46;6;7;39;64;3;63;16
nos;46;34;8;8;2;30;3;15;41;59;104;72;10;5;6;7;16;92;30
mieux;46;11;15;26;0;22;8;16;78;57;77;65;3;3;9;29;18;63;15
cela;39;19;22;17;3;12;6;10;74;99;65;60;5;3;5;17;22;78;23
autre;41;11;24;17;0;5;3;19;62;90;96;64;6;3;9;24;17;70;20
ses;51;14;10;14;0;14;1;12;54;86;46;70;7;2;9;12;26;85;30
notre;38;14;11;7;0;36;2;10;27;72;67;67;23;1;8;12;24;58;26
autres;49;21;18;10;1;12;2;11;74;85;37;69;4;3;2;15;25;61;14
croire;39;8;11;16;1;13;3;14;61;99;43;51;14;2;15;36;16;48;9
chez;81;9;11;32;1;22;4;23;28;44;30;39;6;10;16;21;19;95;17
car;50;15;28;14;1;2;8;7;51;98;48;58;10;1;5;13;15;89;7
te;17;7;22;25;3;25;2;10;77;66;33;32;4;1;21;34;13;69;7
depuis;46;11;9;26;1;14;2;15;47;66;57;38;9;2;11;18;28;90;15
votre;27;1;11;22;0;12;5;12;63;87;32;71;14;0;4;12;17;40;42
pourquoi;32;10;29;13;0;2;2;16;81;63;35;33;8;0;17;34;20;58;11
bravo;26;6;4;2;3;64;1;2;25;45;35;48;6;1;5;6;13;31;147
leurs;51;20;9;9;0;9;1;5;46;54;77;66;1;3;5;10;25;48;17
monsieur;13;3;2;4;1;45;1;7;39;43;43;72;6;2;7;20;3;36;99
elles;22;9;10;6;0;24;4;9;29;79;23;53;5;2;4;16;17;56;30
