"";"";"";"";"emji_visage_avec_des_étoiles_à_la_place_des_yeux";""
"1";"emji_visage_avec_des_étoiles_à_la_place_des_yeux";"3.18161449240665";"-0.0638655025345593";"0.980780823235883";"47"
"2";"monde";"-0.371947552177016";"-0.629689436377505";"0.902409300664915";"93"
"3";"commentaire";"-0.475279043257919";"-0.504444837412585";"0.894108737175456";"102"
"4";"caisse";"-0.612711087857372";"-0.453792317144007";"0.890328624922116";"106"
"5";"voir";"-0.384534548680966";"-0.343843564601678";"0.881950304913489";"115"
"6";"emji_visage_retenant_ses_larmes";"2.69355778132483";"-0.166620094169428";"0.880401342186056";"116"
"7";"rasciste";"-1.20476695388479";"-0.373187708696328";"0.879019566988503";"121"
"8";"école";"-0.112407496226015";"-0.38779699846234";"0.878280769919701";"122"
"9";"emji_homme_qui_hausse_les_épaules_peau_légèrement_mate";"-0.774498648185019";"-0.476826958029747";"0.877715107763267";"123"
"10";"connotation";"-1.10926858857956";"-0.429669178274603";"0.872434713209507";"133"
"11";"client";"-0.707308965532816";"0.0690924560372111";"0.868149293718293";"144"
"12";"temps";"-0.277461523511569";"-0.509880550074785";"0.867088897448403";"145"
"13";"mercredi";"-0.33956560995045";"-0.325076676226296";"0.863716951852334";"152"
"14";"emji_visage_boudeur";"-0.682683793925879";"-0.682422178122969";"0.863413415072129";"154"
"15";"panne";"-0.117746669512276";"-0.692822525024315";"0.862188694826889";"157"
"16";"entraîner";"-0.138758097552343";"-0.258942439233";"0.860430912892173";"162"
"17";"travail";"-0.419530105641957";"-0.296288151825199";"0.859536823058463";"166"
"18";"ville";"-0.573483081527874";"-0.437373240494242";"0.859207954834336";"167"
"19";"actualité";"-0.273845467465272";"-0.906534937258659";"0.85899979644733";"168"
"20";"voisin";"-0.491536728729109";"-0.530977382314645";"0.857777499209769";"170"
"21";"match";"-0.498812211242524";"-0.334044669572446";"0.857453697274427";"171"
"22";"génération";"-0.298654378432969";"-0.598634282693924";"0.856637363959883";"172"
"23";"passer";"-0.424400438846052";"-0.32438927709229";"0.85520624751504";"174"
"24";"samedi";"-0.231033217206801";"-0.250859145591187";"0.853517190889051";"177"
"25";"merveilleux";"2.34972020417118";"-0.269567597082826";"0.852688081715834";"182"
"26";"changer";"-0.403279269331956";"-0.467938446351711";"0.852238944201437";"186"
"27";"parent";"-0.466681498853439";"-0.413596738842268";"0.852182113657683";"187"
"28";"couleur";"-0.68438763047317";"-0.0855851430397274";"0.851976598551782";"188"
"29";"société";"-0.372787237249513";"-0.951491805471255";"0.851588476776222";"192"
"30";"bonjour";"-0.410494366471696";"-0.0580564837485937";"0.851543981544291";"194"
"31";"mettre";"-0.539612619999442";"-0.297166715732431";"0.850522133123847";"196"
"32";"exprimer";"-0.0839388340799162";"-0.794351106713556";"0.849817478435983";"202"
"33";"appellation";"-0.983860584512435";"-0.219628880899432";"0.849379134319431";"203"
"34";"salaire";"-0.700064876865164";"-0.518202932163444";"0.849330013345566";"204"
"35";"netflix";"-0.2205526880205";"-0.696673325252649";"0.849040353791161";"205"
"36";"semaine";"-0.381767906927551";"-0.488731833740113";"0.848763029548579";"206"
"37";"mourir";"-0.433883945707316";"-0.516580529865444";"0.84849605815699";"210"
"38";"éducation";"-0.42501495612233";"-0.869848438050771";"0.848328430080259";"212"
"39";"apprendre";"-0.413859359599709";"-0.614301583170777";"0.847879512839287";"215"
"40";"race";"-0.609651937767205";"-1.34515868716979";"0.84761298199455";"216"
"41";"emji_notes_de_musique";"3.13713113710265";"0.0573633427180093";"0.847345570056111";"217"
"42";"cata";"-0.17726905678459";"-0.134738305170879";"0.847216489828825";"219"
"43";"grammaire";"-0.170132479974079";"-0.735208030383545";"0.847216489828825";"220"
"44";"division";"-0.117746669512276";"-0.692822525024315";"0.846626817869021";"224"
