"";"";"";"";"aujourd_hui";""
"1";"aujourd_hui";"-0.379744167339692";"-0.430181578312856";"1.39873549364955";"22"
"2";"même";"-0.363083846029263";"-0.123575922576159";"1.19159541752308";"38"
"3";"comme";"-0.20846059886825";"-0.190654267761552";"1.06795042920707";"50"
"4";"personne";"0.00706007961625263";"-0.431042409594373";"1.04391289750322";"54"
"5";"peu";"-0.382858143621799";"-0.120865527228493";"1.02373394893586";"60"
"6";"nous";"-0.184462157212832";"-0.195913504899107";"1.01856351304371";"62"
"7";"avec";"-0.218891349697521";"-0.0866616063192268";"0.997867029556515";"63"
"8";"votre";"-0.136867585270941";"-0.29247284295882";"0.979302920960537";"69"
"9";"sans";"-0.457606852344486";"-0.261348529656406";"0.978814865877907";"70"
"10";"avant";"-0.315176223560466";"-0.265000541327891";"0.974871118767267";"71"
"11";"vouloir";"-0.36157724804353";"-0.135842999158918";"0.966810021060217";"74"
"12";"juste";"-0.346462086126614";"-0.321136625208218";"0.959572721026196";"76"
"13";"falloir";"-0.413006748259975";"-0.317683178549882";"0.957189767518728";"78"
"14";"quand";"-0.405004549121408";"-0.165425403557193";"0.954366254221907";"80"
"15";"mieux";"-0.325565841493013";"-0.13291348057997";"0.953814326158666";"81"
"16";"ton";"-0.393542636485218";"-0.138324604814636";"0.93865677652869";"86"
"17";"an";"-0.218331874285459";"-0.0679684839585775";"0.933962931338035";"88"
"18";"jamais";"-0.380330203831887";"-0.0393382750146849";"0.919033031562037";"94"
"19";"maintenant";"-0.383867586327599";"-0.204601625938079";"0.90977636267942";"98"
"20";"7";"-0.570271821352093";"-0.316885123877924";"0.908690522009006";"99"
"21";"depuis";"-0.376095587389853";"-0.152611869023137";"0.901522008261799";"102"
"22";"aucun";"-0.538389452722393";"-0.424500402445077";"0.896618528673236";"104"
"23";"aux";"-0.411296688080297";"-0.237927713626287";"0.896420358656464";"105"
"24";"dès";"-0.404244498256497";"-0.383488980182054";"0.89599290101698";"106"
"25";"parce_que";"-0.599067501040381";"-0.269090872459001";"0.894527098000359";"107"
"26";"contre";"-0.421646032714159";"-0.1895988951481";"0.885873128011726";"110"
"27";"pourquoi";"-0.518809661499028";"-0.0341647087264232";"0.885290082342545";"111"
"28";"quoi";"-0.465018557710401";"0.0705700554225542";"0.882396144990177";"113"
"29";"sous";"-0.528396828914739";"0.121653033627443";"0.880807509318532";"116"
"30";"point";"-0.467346273381087";"-0.447623769777693";"0.880332556385772";"118"
"31";"encore";"-0.253677688918964";"-0.0440578902571555";"0.878884768825221";"121"
"32";"déjà";"-0.340959806811367";"-0.179806810525318";"0.874785433684883";"126"
"33";"moins";"-0.469546145102753";"-0.292679765574206";"0.873666837639797";"129"
"34";"quelques";"-0.461881974926286";"-0.32863391198585";"0.870504306215109";"130"
"35";"pendant";"-0.203597965054581";"-0.327512056739126";"0.865533678108466";"135"
"36";"oui";"-0.191993625467669";"0.0877910859328122";"0.864370862307572";"137"
"37";"environ";"-0.374401603335876";"-0.171297584899532";"0.862312187009367";"140"
"38";"envers";"-0.297249194054192";"-0.377831810349286";"0.859844069527749";"143"
"39";"mes";"-0.164197412212931";"-0.116861075948145";"0.858899076968431";"144"
"40";"million";"-0.601478860473492";"-0.387695977551914";"0.85843722618554";"146"
"41";"00";"-0.267487158513009";"-0.422513756379425";"0.853514093372173";"150"
"42";"néanmoins";"-0.37292368986974";"-0.544728140351044";"0.85171582330262";"154"
"43";"jusqu_au";"-0.474258191622862";"-0.33686619668205";"0.851001756134747";"156"
"44";"300";"-0.46845289168419";"-0.00131952713238602";"0.850143565318312";"157"
"45";"50";"-0.316960049895875";"-0.215749710990959";"0.848877570087196";"158"
"46";"puis";"-0.409751083519214";"-0.302934746525157";"0.847736045279839";"159"
"47";"entre";"-0.462688305261637";"-0.118093271895737";"0.845852611236136";"164"
"48";"10";"-0.412245759078987";"-0.0448007871814481";"0.844422839131655";"165"
"49";"toujours";"-0.147913549368666";"-0.0125904022056932";"0.840954044953774";"168"
"50";"autour";"-0.455703955665244";"-0.469091367318295";"0.836835056588632";"169"
