"";"";"";"";"*postReposts_72";""
"1";"*postReposts_72";"0.120479694138526";"-1.59480191730512";"2.25696581929127";"12"
"2";"*i_0064";"0.609695906509791";"-2.49206832114498";"2.11945284900097";"17"
"3";"*postComments_381";"0.609695906509791";"-2.49206832114498";"2.11945284900097";"18"
"4";"*i_0150";"0.179912774244991";"-2.79821882186004";"1.99341175181838";"20"
"5";"*postComments_326";"0.179912774244991";"-2.79821882186004";"1.99341175181838";"21"
"6";"*i_0231";"0.15363942282108";"-2.52838911572522";"1.94599348620103";"23"
"7";"*postComments_273";"0.15363942282108";"-2.52838911572522";"1.94599348620103";"24"
"8";"*postReposts_376";"0.15363942282108";"-2.52838911572522";"1.94599348620103";"25"
"9";"*i_0017";"0.180315412721737";"-2.31873753250245";"1.85075529436346";"27"
"10";"*postComments_300";"0.180315412721737";"-2.31873753250245";"1.85075529436346";"28"
"11";"*i_0008";"-0.0246456588784128";"-2.37657783546474";"1.75985280558917";"31"
"12";"*postComments_236";"-0.0246456588784128";"-2.37657783546474";"1.75985280558917";"32"
"13";"*i_0139";"0.0908516140054354";"-2.30134204395327";"1.75435228677756";"33"
"14";"*postComments_337";"0.0908516140054354";"-2.30134204395327";"1.75435228677756";"34"
"15";"*postReposts_195";"0.0908516140054354";"-2.30134204395327";"1.75435228677756";"35"
"16";"*i_0278";"-0.279337636467843";"1.13974926884742";"1.75405550422099";"36"
"17";"*postComments_380";"-0.279337636467843";"1.13974926884742";"1.75405550422099";"37"
"18";"*commentDate_19-11-2025";"0.12783181509845";"0.83784650946248";"1.60049619284578";"44"
"19";"*postLikes_6200";"0.213373421165872";"-1.65932264985381";"1.58075011131882";"45"
"20";"*i_0256";"0.354169980234711";"-2.17977714190954";"1.57461586133378";"46"
"21";"*postReposts_188";"0.354169980234711";"-2.17977714190954";"1.57461586133378";"47"
"22";"*i_0339";"0.00300212662558539";"-2.36081736000147";"1.54670937522505";"49"
"23";"*postReposts_139";"0.00300212662558539";"-2.36081736000147";"1.54670937522505";"50"
"24";"*postDate_9-10-2025";"0.215356526991978";"-1.0016607741867";"1.51515447197352";"57"
"25";"*postReposts_233";"7.10507575413008";"-0.0760364622882923";"1.49568508997299";"60"
"26";"*commentDate_27-10-2025";"0.598098615501725";"-0.730905419495454";"1.48605862419072";"61"
"27";"*i_0023";"0.129316084384908";"-2.21225130627579";"1.46361472228111";"62"
"28";"*postLikes_7100";"0.129316084384908";"-2.21225130627579";"1.46361472228111";"63"
"29";"*postComments_109";"0.146114116812394";"-2.05129528705897";"1.45080398049715";"64"
"30";"*postComments_267";"0.0158712984402835";"-1.59855994770223";"1.44954767538926";"65"
"31";"*postLikes_5900";"0.397366695771859";"-1.1870769490503";"1.41296085736281";"66"
"32";"*postComments_144";"2.27849741197353";"0.825870196301127";"1.39876661794672";"67"
"33";"*postLikes_6000";"0.671137439941717";"-1.24391331992569";"1.39875322925996";"68"
"34";"*postDate_28-10-2025";"0.660639243582089";"-0.629959581401984";"1.39331965388216";"70"
"35";"*i_0347";"-0.165343617474222";"1.10330405867262";"1.38588446983336";"71"
"36";"*i_0193";"-0.29042795646434";"1.16992532083599";"1.3816157102039";"73"
"37";"*commentDate_28-12-2025";"1.92947613662938";"0.0900065997355847";"1.36912406545445";"74"
"38";"*i_0342";"-0.1605729716542";"1.11663526446747";"1.35989702882726";"75"
