"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"emji_visage_riant_aux_larmes";-88,098;11867,749;-221,932;-410,751;-897,379
"aller";-147,724;-71,394;-33,914;115,411;19,72
"suisse";-100,265;-125,493;-80,212;608,164;-28,338
"voir";-123,059;-102,06;-20,143;-7,784;259,892
"parler";-83,891;-100,474;16,833;-14,884;111,053
"pays";-59,93;-105,968;65,958;40,194;-2,828
"gens";-77,52;-108,606;-32,213;1,631;154,501
"monde";-66,657;-78,574;-0,002;5,466;43,808
"emji_applaudissements";2012,986;-4,423;-31,619;-74,355;-54,547
"prendre";-57,701;-57,239;-30,662;97,609;6,211
"enfant";-52,912;-64,612;55,076;8,83;0,086
"mettre";-57,265;-56,275;-10,152;31,4;22,291
"payer";-55,832;-73,571;-76,248;1625,335;-487,413
"emji_visage_qui_pleure";736,904;-1,208;-2,865;-18,883;-41,816
"femme";-44,267;-77,86;-28,645;-134,991;478,25
"comprendre";-51,303;-46,871;-19,864;-23,258;204,874
"penser";-49,982;-46,332;-25,268;-1,112;126,735
"passer";-50,93;-46,072;-0,649;7,491;26,246
"problème";-49,566;-59,049;-49,419;14,976;74,971
"chose";-43,762;-56,195;-16,78;-31,201;221,565
"temps";-38,427;-48,789;-22,581;4,052;64,825
"emji_se_rouler_par_terre_de_rire";-19,793;1726,817;-36,92;-39,377;-145,988
"vraiment";-35,318;-21,095;-20,563;-2,97;95,467
"droit";-38,992;-68,293;11,991;-88,901;185,897
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";5592,588;-22,295;-62,412;-111,006;-256,334
"rester";-34,421;-34,185;-18,116;55,509;4,303
"arrêter";-43,448;-43,499;47,87;4,785;0,039
"vie";-33,47;-45,388;-35,449;76,016;6,374
"police";-30,347;-50,794;-11,071;-184,775;433,901
"grand";-21,572;-40,383;-19,401;145,167;-4,797
"vrai";-34,37;-19,518;-1,689;-1,67;50,84
"donner";-42,195;-55,841;-7,202;-4,993;118,79
"emji_coeur_rouge";4238,717;-34,729;-25,075;-123,7;-153,973
"venir";-41,17;-30,467;-1,767;7,501;19,559
"travail";-21,278;-53,746;-65,161;200,601;-1,285
"homme";-29,22;-43,706;-20,986;-140,869;390,943
"jour";-33,704;-34,404;-1,3;97,496;-4,62
"trouver";-35,569;-47,86;-24,33;19,965;34,038
"état";-34,985;-55,353;234,854;13,417;-41,601
"vivre";-33,666;-44,785;-10,899;14,577;26,473
"fois";-33,383;-30,583;-1,652;6,814;17,894
"commentaire";-30,756;-8,023;-36,735;-151,046;362,16
"demander";-33,496;-48,321;-1,143;-0,236;58,785
"emji_mains_levées";3735,911;-26,511;-28,542;-93,795;-146,972
"seul";-30,83;-41,579;0,868;2,812;16,264
"cas";-32,649;-46,848;-15,535;0,482;70,598
"année";-33,044;-21,464;-7,152;265,051;-57,651
"palestinien";-23,332;-56,453;3571,787;-202,702;-401,279
"israël";-32,215;-48,405;3660,644;-204,135;-416,63
"riche";-29,153;-33,5;-67,847;981,746;-285,24
"question";-32,61;-45,076;-13,922;-13,246;145,427
"petit";-24,554;-25,935;-10,299;45,701;1,368
"france";-32,215;-10,698;-41,746;228,723;-23,863
"guerre";-29,378;-32,164;1838,124;-102,419;-180,186
"argent";-31,989;-31,328;-25,075;624,493;-177,821
"emji_feu";2490,655;-10,034;-13,648;-67,641;-113,282
"politique";-28,478;-47,602;-0,607;-19,77;116,295
"accord";-24,159;-22,212;42,992;1,226;-0,174
"laisser";-29,622;-43,859;-1,398;0,022;46,717
"partir";-27,185;-33,703;-17,436;68,592;0,931
"sentir";-21,193;-26,637;-18,257;-13,365;122,158
"devenir";-29,34;-39,396;-26,276;79,848;1,855
"besoin";-19,083;-32,845;-21,199;45,031;4,975
"place";-22,869;-37,722;-5,224;18,265;10,923
"palestine";102,813;-41,666;700,465;-134,711;-61,17
"hamas";-24,845;-31,625;2805,448;-161,856;-321,708
"travailler";-25,293;-26,98;-46,808;405,702;-69,072
"français";-25,911;-13,346;-33,793;54,29;2,478
"connaître";-22,82;-20,118;-9,47;-23,619;121,813
"peuple";-21,651;-39,101;306,263;-15,581;-5,362
"continuer";-14,844;-35,68;76,929;6,619;-8,6
"changer";-21,985;-28,297;-19,602;9,57;27,6
"raison";-23,764;-18,482;-2,785;-2,873;52,193
"manifestation";-23,836;-35,754;1,294;-134,038;230,167
"arriver";-25,013;-18,618;-7,482;20,784;5,774
"etc";-22,66;-33,692;-4,384;103,87;-5,327
"humain";-16,718;-36,934;2,689;-26,176;76,974
"plutôt";-24,676;-22,641;-6,256;1,521;29,779
"rendre";-20,094;-25,108;15,744;-4,225;16,663
"utiliser";-23,443;-31,106;0,951;7,848;4,787
"gauche";-21,248;-10,997;-10,126;-26,629;113,081
"sujet";-21,751;-16,816;-27,45;-63,776;224,306
"moment";-19,318;-22,153;-0,252;-8,924;58,255
"cause";-20,913;-32,276;2,509;-0,02;18,988
"population";-23,219;-36,741;30,905;17,202;-3,076
"impôt";-21,708;-30,033;-46,036;837,409;-262,645
"exemple";-20,523;-27,774;-8,947;30,727;4,102
"beau";-1,586;-7,564;-37,641;-18,409;99,593
"part";-22,939;-26,527;-0,93;7,077;11,017
"paix";-3,598;-13,468;879,431;-99,794;-57,502
"aimer";-5,077;-5,013;-17,262;-24,704;89,112
"coup";-20,746;-18,145;-2,847;1,644;19,469
"emji_visage_souriant_avec_une_goutte_de_sueur";-14,1;945,395;-26,665;-22,023;-68,089
"entreprise";-20,479;-34,029;-34,989;683,508;-199,926
"genre";-22,324;-17,358;-28,798;-31,584;169,295
"droite";-21,205;-21,868;-8,541;-35,295;142,398
"gaza";-15,515;-31,535;1953,594;-103,294;-223,356
"compte";-21,708;-22,706;-5,944;0,052;38,205
"tellement";-10,808;0,004;-18,499;-29,914;83,394
"lire";-17,546;-14,816;-11,157;-64,769;180,441
"ca";-18,572;-3,339;-2,734;-0,834;23,595
"violence";-20,088;-35,518;-2,19;-118,788;258,934
"social";-21,261;-29,255;-33,188;65,247;2,863
"importer";-19,017;-9,147;-3,203;-9,735;58,098
"emji_visage_qui_pleure_à_chaudes_larmes";3,512;1188,53;-20,857;-44,498;-132,327
"société";-21,149;-31,045;-22,983;2,156;49,689
"manifester";-18,349;-33,93;12,491;-101,283;141,468
"permettre";-21,317;-33,392;-11,717;45,851;2,37
"niveau";-17,181;-20,309;-39,884;5,276;42,223
"famille";-5,254;-20,209;4,422;-0,409;7,682
"système";-20,144;-35,617;-38,042;224,024;-15,455
"emji_visage_avec_bouche_ouverte";49,669;-1,401;0,018;-0,42;-3,886
"article";-16,442;-22,368;-4,331;-23,105;103,103
"rts";-11,372;-19,296;2,337;-68,385;107,851
"salaire";-19,251;-25,761;-46,369;656,464;-184,4
"idée";-14,861;-2,217;-25,204;-0,025;35,954
"exister";-14,318;-23,667;4,094;-0,299;13,071
"aider";-17,793;-26,827;-5,674;11,105;11,63
"sûr";-18,294;-3,09;-6,392;-0,768;28,56
"loi";-19,697;-30,541;-4,027;-13,006;93,26
"armée";-19,697;-30,541;164,122;-13,882;0,003
"public";-19,697;-34,827;-4,707;52,826;0,07
"moyen";-19,585;-26,342;0,645;67,121;-8,721
"commencer";-17,515;-17,574;5,935;-6,72;24,673
"tuer";-18,972;-21,582;646,164;-41,04;-40,419
"regarder";-19,306;-10,183;-12,467;-0,075;40,079
"cher";-17,181;-6,812;-31,998;473,247;-153,562
"partie";-15,395;-24,159;-0,079;12,336;2,532
"soutenir";-17,126;-27,625;195,435;-14,739;-0,812
"faux";-19,195;-12,578;-0,041;-26,733;76,028
"premier";-15,23;-20,309;-0,003;2,47;8,619
"lieu";-19,474;-28,113;-1,253;2,05;19,687
"histoire";-11,626;-11,267;10,631;-63,266;70,478
"genève";-14,35;-7,758;-24,565;388,699;-122,97
"sortir";-17,404;-11,671;-3,149;-1,775;37,875
"trump";-16,903;-9,718;177,204;-8,273;-6,515
"génocide";-18,637;-28,676;1598,999;-103,853;-147,371
"défendre";-18,581;-20,921;122,718;-17,194;0,929
"israélien";-18,47;-26,357;2126,016;-110,358;-256,185
"perdre";-15,738;-19,603;-4,35;10,748;7,423
"prix";-17,968;-14,982;-0,189;391,594;-176,895
"finir";-12,531;-11,341;-0,551;31,505;-1,07
"écrire";-15,738;-8,126;-6,755;-77,069;167,258
"emji_mains_en_prière";1444,639;-16,361;-5,813;-47,203;-47,594
"attendre";-8,958;-10,853;0,32;-8,235;29,153
"emji_visage_faisant_un_clin_d_oeil";-16,742;-3,184;-17,732;-5,256;58,44
"servir";-15,738;-23,249;-3,039;2,311;18,447
"mort";-16,965;-16,517;461,869;-28,902;-26,409
"gouvernement";-15,294;-18,853;317,267;-9,878;-21,682
"otage";-9,164;-21,133;1772,133;-100,05;-215,972
"montrer";-17,355;-24,411;-0,044;-38,379;106,859
"emji_visage_en_pleine_réflexion";-11,369;-0,112;-0,256;-0,113;5,403
"emji_drapeau_suisse";398,016;-6,226;-7,936;-2,679;-17,234
"jeune";-12,816;-17,918;-15,003;-2,815;64,644
"nouveau";-11,455;-13,837;-3,003;19,748;0,625
"gros";-16,798;-11,709;-20,955;77,263;-1,163
"côté";-17,188;-10,936;-0,449;2,014;8,405
"simplement";-13,089;-25,934;-4,847;18,609;4,405
"service";-12,215;-26,451;-13,725;25,04;5,962
"meilleur";1,495;-5,937;-18,823;8,932;1,034
"revenir";-16,687;-23,246;-13,442;248,42;-50,582
"oublier";-13,144;-16,792;10,156;17,172;-3,401
"europe";-11,699;-18,123;45,517;1,66;-2,65
"espérer";-9,683;-10,853;-5,73;-16,379;71,299
"réalité";-16,687;-25,249;-2,969;-11,75;78,66
"assurance";-15,741;-23,588;-39,77;706,574;-227,346
"agir";-16,464;-29,111;4,355;-12,739;44,846
"créer";-16,075;-24,174;-0,377;70,472;-6,313
"ville";-6,616;-17,315;-10,884;91,265;-8,163
"emji_visage_boudeur";-0,009;34,377;0,161;-9,636;-0,616
"manquer";-12,16;-13,581;-13,61;0,32;30,939
"pauvre";-13,301;-4,12;-14,706;65,953;-3,847
"animal";-2,646;-17,977;-19,468;-6,076;67,748
"justice";-4,167;-23,1;90,72;-28,178;4,588
"fin";-13,854;-19,982;6,369;0,003;6,256
"respecter";-15,407;-25,077;62,571;-5,355;2,188
"santé";-13,245;-22,807;-30,019;330,793;-69,147
"situation";-15,518;-25,274;-0,343;-13,861;69,282
"protéger";-15,296;-24,881;-0,468;-13,967;69,992
"justement";-15,351;-22,905;-3,976;-0,866;43,636
"emji_visage_roulant_des_yeux";-13,685;306,946;-7,633;-5,7;-19,195
"seulement";-15,185;-5,81;-0,412;29,419;-1,736
"rapport";-14,74;-9,975;-0,43;-6,076;37,676
"frontalier";-14,018;-11,74;-33,163;412,043;-115,329
"appeler";-10,853;-6,37;11,879;-13,959;15,845
