*rts_i;2095;3562;4904;11000;18736
*i_0501;2;6;11;2;37
*postLikes_5000;11;43;13;63;92
*postComments_64;4;22;11;59;87
*postReposts_21;15;43;24;100;177
*postDate_18-11-2025;48;93;76;427;748
*commentDate_18-11-2025;33;81;58;358;572
*commentLikes_136;0;0;0;4;3
*lang_fr;2095;3562;4904;11000;18736
-*goran___gnv;0;0;0;2;3
*commentDate_19-11-2025;42;92;25;631;450
*commentLikes_1;429;731;794;1832;3053
-*laviedesf77;2;5;16;3;30
*commentLikes_211;0;1;2;0;4
-*wabisabi_and_kimchi;1;0;2;8;12
*commentLikes_4;61;127;265;501;903
-*technicyan_;0;2;4;4;15
*commentLikes_0;874;1601;1280;3229;5738
-*mlhg_64;0;0;1;0;3
-*neko_sousou;0;0;1;0;0
*commentDate_20-11-2025;28;105;16;279;274
-*arthurito_lex;0;6;27;30;58
*commentLikes_3;119;170;357;730;1239
-*emeraudeperle;1;2;6;3;22
-*richard_meulien;0;1;1;2;3
*commentLikes_2;174;304;476;1081;1842
-*naimeninou;0;0;0;0;1
*commentLikes_12;21;20;82;128;209
-*volik680;0;1;1;2;2
*commentLikes_9;18;31;103;188;308
-*ganesh_clement;30;22;25;54;78
*commentLikes_11;13;23;64;147;223
-*celhadon_images;0;1;1;0;2
-*greg__marc;0;0;0;0;1
-*zvonwo;1;0;0;0;8
*commentLikes_8;32;49;121;221;402
-*cedricdemontst;0;5;2;4;5
-*justrandev;0;0;2;1;3
-*mysmys_62;0;1;11;4;12
-*senad_x;1;0;0;0;1
-*pirouette_kakahuete;0;0;0;0;3
-*vive_le_valais;0;0;0;1;6
*commentDate_21-11-2025;81;65;20;213;422
-*eugenia_kummer_crescenzio;5;3;3;6;15
*commentLikes_59;1;2;3;11;10
-*romanwuthrich;0;2;0;2;0
-*ntrpddm;0;0;3;3;2
-*rkn79_;0;0;0;2;4
-*mad_jax92;0;1;2;1;0
-*___star___child___;0;7;3;3;10
*commentLikes_5;51;78;189;418;640
-*chris_daq;0;2;53;11;26
-*barbara_ensuisse;7;25;1;56;45
-*patrickpellissier;0;0;1;0;1
*i_0502;19;2;0;2;4
*postLikes_10300;30;11;52;62;101
*postComments_79;21;4;1;25;37
*postReposts_109;19;2;0;2;4
*commentLikes_20;6;10;34;38;86
-*johan_djourou;2;0;0;0;0
-*rtssport;4;1;0;0;2
*commentLikes_107;1;1;1;2;3
-*cajoueoubien_ch;4;0;0;0;0
-*football_videogame;0;1;0;0;0
*commentLikes_6;39;62;145;321;481
-*yacinenemra;0;0;0;0;1
-*tithai_;2;0;0;1;0
-*editsbybye;1;0;0;0;0
-*maxime_savary;1;0;0;1;3
-*lpsedixit_x;2;0;0;0;0
-*pgtips1999;1;0;0;0;1
-*sandra_gsr_3_3;1;0;0;0;0
-*lox163;0;2;0;1;4
-*vins_fleury;0;1;0;0;0
-*nicominimoi;1;0;0;0;0
-*ta_ta_ki;3;0;0;0;0
*commentLikes_19;6;8;31;87;118
-*samuel_mkl;0;0;0;1;1
-*cedric_dstrml;0;0;0;0;0
-*vladihcc;0;0;0;1;2
-*manuel25310;0;0;1;0;3
-*_khelifi_7;1;0;0;0;0
-*rhaymartiniano;4;2;7;2;4
-*kathleen_gurtner_9;1;0;0;0;0
-*flavia_dantas_de_alcantara_;1;0;0;0;0
-*elvin_m_monserrate;0;0;0;0;1
*i_0503;1;28;3;410;114
*postLikes_5400;4;45;7;459;202
*postComments_580;1;28;3;410;114
*postReposts_31;15;44;133;421;184
*postDate_19-11-2025;33;89;5;677;346
*commentLikes_597;0;0;0;3;0
-*walkingguitar;0;0;0;9;7
-*jocelyn_chrr;0;0;0;6;1
*commentLikes_74;0;3;2;3;7
*commentLikes_36;1;2;8;20;23
*commentLikes_13;12;11;50;130;195
-*loicccmfr;0;2;0;13;3
-*timael_10;0;0;0;1;0
*commentLikes_7;36;40;137;257;435
-*ant_1d;0;0;0;44;30
-*pitch999;0;0;0;5;6
-*philou_vitali;0;0;0;1;1
-*oulsvda;0;5;9;21;15
-*arthur_rimbeauf_official;0;1;7;9;22
-*boblefrouze;0;0;1;12;23
-*__alex_perez__;0;0;0;1;2
-*bon_suisse;0;3;28;39;179
-*thomas_rmns;0;2;1;12;4
