être;220;971;2621;5954;10696
de;106;592;2275;5843;9271
la;131;509;1858;4204;7000
les;77;379;1805;4606;6136
et;124;359;1950;4517;6703
avoir;85;562;1753;3639;6491
le;116;438;1716;3720;5819
pas;37;412;1353;3363;6140
des;27;224;1431;3079;4378
ne;28;240;1315;2833;5217
à;113;304;1111;3029;4844
que;52;254;1061;2861;5035
en;40;315;1077;3155;4317
c;100;468;1023;2730;5000
l;44;253;1152;2854;4268
pour;109;263;944;2876;3904
un;54;281;1011;2378;3945
d;23;165;978;2443;3931
qui;14;163;984;2397;3643
on;55;243;595;2046;3171
une;42;174;637;1858;3267
faire;51;247;654;1862;3277
il;31;212;749;1836;3115
vous;51;163;626;941;2474
je;45;253;338;1311;2979
ce;35;137;684;1499;3046
mais;27;205;492;1610;2764
plus;29;142;439;1857;2068
qu;16;126;626;1385;2461
ça;34;259;375;1356;2462
du;30;166;657;1446;2067
dans;16;113;499;1449;2383
ils;17;126;543;1095;1527
sur;5;94;322;1087;1680
y;15;126;390;976;1664
si;6;94;290;1032;1730
au;26;103;406;1015;1519
se;8;65;392;850;1711
tout;49;104;330;941;1618
avec;30;109;325;1025;1559
pouvoir;9;74;322;1006;1591
par;7;60;502;1062;1244
bien;54;130;262;818;1500
ou;9;66;261;879;1372
tu;14;119;204;492;1299
dire;24;121;321;623;1441
comme;11;87;306;743;1380
j;48;165;128;607;1305
même;9;73;250;727;1249
s;11;71;296;660;1255
non;17;84;248;585;1008
nous;18;62;164;606;911
falloir;10;67;191;669;1001
quand;9;62;207;542;937
ces;10;36;269;552;907
personne;3;30;221;502;943
leur;2;20;200;546;802
devoir;3;40;168;548;894
vouloir;14;49;175;490;869
aussi;13;58;176;564;775
rien;7;57;173;453;897
donc;2;20;195;556;793
bon;43;84;142;432;806
oui;22;85;180;410;730
aux;16;34;168;568;683
savoir;8;53;143;381;820
cette;14;49;163;378;791
alors;2;56;170;456;692
tous;30;45;197;448;624
sans;5;39;152;456;672
elle;23;38;140;230;647
encore;4;91;140;379;608
t;5;81;113;252;637
votre;25;25;149;204;679
quoi;6;73;125;271;622
autres;2;24;122;364;583
très;16;32;69;344;589
son;8;25;139;286;608
juste;4;34;100;300;659
déjà;8;27;109;443;467
me;8;71;66;252;593
moins;7;19;75;440;371
où;2;22;128;313;498
toujours;7;38;129;265;472
pourquoi;3;38;154;237;431
là;5;34;101;252;519
contre;5;13;232;201;444
cela;2;15;88;306;471
mon;15;59;58;194;530
merci;124;52;108;149;416
car;2;14;96;316;415
jamais;10;38;134;235;413
moi;11;48;50;225;460
peu;2;33;72;240;464
parce_que;1;11;92;281;423
an;2;33;119;261;370
leurs;1;17;135;268;347
sa;13;24;109;213;429
trop;27;55;43;260;366
nos;3;12;40;355;337
après;5;17;105;238;405
notre;13;18;59;265;378
beaucoup;14;14;40;306;372
toi;24;60;55;127;435
autre;1;23;95;215;395
ceux;2;22;95;248;336
ses;5;12;101;202;393
depuis;5;14;192;231;252
avant;2;20;95;181;413
mieux;8;40;41;218;343
eux;12;12;96;228;300
2;19;31;89;221;217
te;6;36;47;118;357
croire;11;45;89;142;323
m;7;29;44;175;343
ton;2;26;40;113;392
entre;2;11;75;225;285
surtout;8;20;48;211;293
toute;10;16;93;197;265
comment;3;14;75;150;293
bravo;136;33;46;79;218
ni;0;7;84;87;184
1;28;26;41;208;163
chez;4;31;48;199;240
quel;14;28;68;123;289
vos;4;10;59;128;296
mal;4;39;49;122;275
deux;2;11;79;154;212
toutes;13;11;69;171;226
aucun;3;11;89;139;227
elles;1;5;32;133;215
chaque;0;10;43;201;183
tant;5;8;54;136;243
quelle;16;36;68;104;220
ici;3;19;48;125;241
lui;10;20;47;91;242
ah;5;52;60;77;221
sous;0;18;91;120;182
million;0;14;56;221;63
ma;7;22;10;109;250
certains;1;4;37;138;224
aucune;0;11;57;87;233
3;5;20;22;152;156
maintenant;4;16;76;119;160
point;0;6;36;96;224
mes;18;12;13;115;187
autant;0;10;33;138;157
ailleurs;0;7;56;111;175
assez;0;23;24;143;149
ta;4;18;24;74;198
pendant;0;3;53;159;115
4;31;14;13;104;114
50;0;9;19;192;62
5;22;14;29;124;93
enfin;26;16;47;101;126
dont;0;3;66;90;150
plein;5;11;25;116;149
peut_être;1;9;18;79;190
souvent;0;4;17;102;175
10;1;9;33;127;105
bah;2;20;29;88;149
aujourd_hui;2;3;50;69;163
cet;3;5;46;88;132
force;9;10;31;49;174
pourtant;2;3;44;104;113
000;1;6;56;103;36
tes;1;13;22;60;142
quelques;0;6;25;99;113
plusieurs;1;3;31;90;115
quelque;0;5;20;53;158
selon;0;4;27;93;100
mêmes;0;3;23;64;126
6;38;16;13;54;61
fort;13;17;22;52;115
voilà;1;18;30;44;123
sinon;3;6;21;66;132
ben;2;17;32;76;92
100;0;7;18;102;72
20;0;12;33;93;64
7;2;6;98;46;52
loin;0;10;22;60;111
combien;0;7;21;100;67
quelqu_un;1;6;15;54;131
sauf;0;8;24;68;102
puis;1;4;25;82;80
ensuite;0;1;24;76;95
partout;2;4;34;68;80
ok;0;12;15;56;92
ainsi;1;0;24;56;94
certaines;0;1;10;65;101
envers;0;4;23;38;96
hein;2;14;15;47;87
dommage;5;8;12;46;87
chacun;1;3;8;60;85
30;0;7;6;84;50
jusqu_à;1;6;28;63;47
e;3;6;14;25;83
plupart;0;4;19;55;66
vers;2;3;11;60;64
dès;0;2;21;49;71
2025;0;3;13;62;49
15;0;2;6;79;46
monsieur;17;4;21;17;74
devant;0;3;26;37;76
vite;0;4;7;57;66
dessus;0;2;12;49;75
longtemps;1;7;14;51;61
derrière;0;4;17;31;78
celui;1;3;19;46;65
attention;2;8;17;37;66
vive;15;16;10;36;43
grâce;2;10;11;62;46
ouais;2;14;17;32;56
hors;0;0;6;51;72
presque;1;3;11;52;60
parfois;1;1;6;45;77
0;0;7;6;60;42
oh;13;13;14;24;60
celle;0;9;18;27;69
lors;0;3;19;21;68
or;6;12;12;38;31
certain;1;5;8;29;63
tiens;1;8;9;20;61
lorsqu;0;0;8;35;59
malgré;2;1;17;32;46
tard;2;3;6;33;54
celles;2;2;10;31;52
lorsque;0;0;18;32;46
2000;1;8;22;27;31
puisque;0;3;9;31;50
80;0;3;11;47;30
merde;0;10;1;40;41
200;1;2;24;39;25
tel;0;2;11;26;48
1948;0;0;37;1;2
environ;1;1;6;53;22
concernant;0;1;7;27;53
25;1;3;9;35;36
autour;0;1;7;38;41
afin;0;1;13;37;35
anti;0;2;11;21;47
8;1;5;4;40;20
madame;3;4;5;14;53
soi;1;2;4;16;53
d_abord;1;1;7;29;37
40;0;2;3;39;29
dehors;1;3;4;31;34
60;0;3;7;31;25
certes;0;0;11;30;28
12;0;1;4;31;27
moindre;0;1;5;21;40
18;1;6;7;18;32
trois;1;2;7;28;26
durant;0;1;9;22;34
ceci;2;3;11;23;24
9;0;2;5;23;25
hier;1;2;19;16;25
90;0;5;7;27;24
16;1;0;0;23;33
parmi;0;1;10;16;32
telle;0;0;5;17;34
eh;1;6;4;17;30
demain;0;4;6;25;25
2023;0;0;21;21;12
quels;0;2;11;16;28
pardon;0;6;14;10;26
laquelle;0;0;4;20;31
certaine;0;2;2;13;40
x;3;2;7;11;25
quelles;0;1;6;9;36
différents;0;0;2;13;36
11;2;1;17;7;21
voire;0;1;5;22;23
2026;1;6;2;19;18
70;0;0;17;17;14
jusqu_au;0;3;7;15;24
davantage;0;0;3;22;25
quant;0;2;8;18;19
gare;0;1;1;16;27
via;0;8;6;14;18
dedans;0;4;4;19;18
cependant;0;0;2;10;34
nul;1;3;7;10;19
lequel;0;0;2;12;31
17;1;1;4;18;18
ci;1;1;9;11;21
2024;0;0;8;23;10
haha;1;6;1;7;25
500;1;2;3;28;7
quasi;0;2;0;22;13
