"";"";"";"";"être";""
"1";"être";"-0.0934237492606304";"0.0056811905465848";"1.69432193409841";"15"
"2";"et";"-0.133015979105455";"0.0607007364767893";"1.67644029833514";"16"
"3";"votre";"0.0144293268820155";"0.272394146520982";"1.59816195996028";"19"
"4";"ce";"-0.15833574167085";"0.0810245009495401";"1.59586210081511";"20"
"5";"ne";"-0.196053127876444";"0.101106505201108";"1.43707945597709";"26"
"6";"on";"-0.12363042421844";"-0.169415968204894";"1.40953194633662";"27"
"7";"que";"-0.168757112415367";"-0.0172388492515701";"1.37065139584825";"28"
"8";"c";"-0.090545483699792";"-0.082478480917197";"1.34484032604429";"30"
"9";"pas";"-0.181544731011675";"-0.00936795848981935";"1.3170711432332";"31"
"10";"par";"-0.213555117708741";"0.160581997529959";"1.31010229293186";"32"
"11";"faire";"-0.126032956302472";"-0.0798842014622242";"1.30184958551735";"33"
"12";"ton";"-0.168173526657142";"-0.0939972728498933";"1.26599395016972";"35"
"13";"combien";"-0.25572468045927";"-0.344690472577712";"1.2455861638996";"38"
"14";"avoir";"-0.134789426741896";"0.064989219864852";"1.23353730343824";"39"
"15";"mais";"-0.157607523254497";"-0.150830846695988";"1.22957489551343";"40"
"16";"aux";"-0.131010263506869";"-0.0945634690149345";"1.21436719237075";"44"
"17";"déjà";"-0.159250089832923";"-0.258259840499225";"1.20916710924331";"46"
"18";"le";"-0.113480997661989";"0.0579577113224818";"1.20415637194911";"47"
"19";"dire";"-0.101451375931546";"0.0662490073218428";"1.20006003648371";"48"
"20";"une";"-0.153256558107307";"-0.0442061842128787";"1.18474611494678";"49"
"21";"tu";"-0.124748761328796";"-0.0632493132556349";"1.16212621516152";"50"
"22";"ils";"-0.161343963354205";"0.119575532417304";"1.15469092756367";"51"
"23";"gare";"-0.243766543370293";"-0.222854374678461";"1.15357794351952";"52"
"24";"pendant";"-0.261055177678062";"-0.0187180859550642";"1.14860876994481";"53"
"25";"d";"-0.198717352462856";"0.0220105062188037";"1.13004826009652";"56"
"26";"100";"-0.251531765177312";"-0.42192341010213";"1.12602119749694";"57"
"27";"si";"-0.207713762839064";"-0.139499957666229";"1.1165723785993";"58"
"28";"tout";"-0.0513632513607601";"-0.0729761758140564";"1.10956658276953";"59"
"29";"nous";"-0.119204427771832";"-0.178657004673448";"1.09407716997252";"60"
"30";"donc";"-0.233297581625287";"0.00994546283525311";"1.08355231255917";"61"
"31";"leur";"-0.225888992029927";"0.00670844662987533";"1.07538273258365";"62"
"32";"vos";"-0.156199873504047";"0.12086772208756";"1.07488858614081";"63"
"33";"personne";"-0.215771790855274";"0.121601105610898";"1.07309210982058";"64"
"34";"qu";"-0.186053550622147";"0.072332485729581";"1.0714942157157";"65"
"35";"dans";"-0.190618845725293";"-0.053008595809114";"1.06687602466114";"67"
"36";"devoir";"-0.213286154059787";"-0.0888417185145745";"1.05608793035768";"68"
"37";"mon";"0.00151200498925061";"-0.221572773153575";"1.04534139977371";"71"
"38";"quelque";"-0.207192390928296";"-0.0367399064916234";"1.03779989378161";"72"
"39";"non";"-0.123169271884569";"0.0365445941597255";"1.03534301614058";"73"
"40";"chaque";"-0.243948124809793";"-0.332353187767668";"1.03077100699656";"74"
"41";"y";"-0.159312405980359";"-0.0284027011761329";"1.02269379084213";"77"
"42";"leurs";"-0.220145428612909";"0.196156864672129";"1.02176091624911";"78"
"43";"pouvoir";"-0.201183250825363";"-0.0692046888214208";"1.02151153393216";"79"
"44";"juste";"-0.180956771227199";"-0.0604991398270552";"1.0135082088346";"81"
