"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9"
"emji_visage_riant_aux_larmes";-89,181;11783,54;-224,837;-85,764;-0,245;-282,961;-233,228;-248,277;-106,65
"aller";-148,14;-71,884;-34,352;8,737;-1,643;29,913;-0,341;123,486;1,86
"suisse";-100,543;-125,973;-80,717;0,135;174,912;-23,242;-29,125;848,779;-0,331
"voir";-123,768;-103,137;-20,844;6,454;-12,157;119,992;82,495;-3,208;-4,124
"parler";-83,32;-99,531;17,799;-10,072;258,955;15,073;33,251;-1,891;-13,94
"pays";-59,991;-106,117;65,924;-7,384;42,09;0,216;-6,402;53,122;-0,266
"gens";-78,021;-109,499;-32,978;12,229;5,142;130,949;2,384;8,309;-2,895
"monde";-67,164;-79,431;-0,016;-15,697;-7,352;230,249;-19,987;19,855;-3,109
"emji_applaudissements";2001,864;-4,577;-32,054;-0,047;0,62;-13,41;-28,504;-41,708;-25,437
"prendre";-57,967;-57,672;-31,105;-0,259;-5,671;1,384;8,013;73,138;17,474
"enfant";-53,288;-65,259;53,768;-8,831;-1,599;132,514;-81,422;33,701;-11,29
"mettre";-57,781;-57,118;-10,717;0,017;-0,009;85,591;-13,3;8,761;23,979
"payer";-56,315;-74,421;-77,402;-10,032;-11,168;-125,117;-182,059;2574,257;-15,349
"emji_visage_qui_pleure";742,984;-1,123;-2,712;-9,562;-4,182;-0,012;-40,203;-6,577;-7,572
"femme";-44,651;-78,569;-29,333;-22,739;-10,291;1412,371;-52,784;-47,558;-77,276
"comprendre";-51,721;-47,536;-20,489;-0,107;3,185;79,929;71,692;-5,945;-14,936
"penser";-50,33;-46,886;-25,844;-4,226;-1,868;152,275;11,225;-0,81;-0,515
"passer";-51,268;-46,611;-0,758;0,21;-0,226;37,926;0,017;3,065;3,642
"problème";-49,813;-59,479;-49,961;-1,897;-3,768;75,876;9,938;12,86;2,387
"chose";-44,066;-56,724;-17,225;-1,619;-0,073;330,675;1,034;-14,838;-12,46
"temps";-38,64;-49,158;-22,944;-2,373;-0,001;199,313;-11,61;4,366;0,103
"emji_se_rouler_par_terre_de_rire";-19,977;1713,003;-37,385;-3,907;-2,148;-38,516;-50,663;-19,605;-15,816
"vraiment";-35,404;-21,206;-20,705;-10,749;-1,237;257,503;-3,549;-5,82;0,059
"droit";-39,214;-68,711;11,61;714,739;-0,274;0,114;8,655;-35,176;-39,408
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";5539,292;-22,707;-63,116;-19,319;-7,381;-51,046;-90,242;-78,49;-21,163
"rester";-34,725;-34,667;-18,607;-1,695;0,528;15,675;-0,176;48,733;2,892
"arrêter";-43,579;-43,718;47,457;4,814;-2,535;4,418;-6,767;2,162;2,273
"vie";-33,821;-45,994;-36,187;-5,836;-1,717;66,009;-11,144;142,103;-4,259
"police";-30,667;-51,373;-11,515;4084,584;-8,905;-1,676;-23,955;-120,18;-38,271
"grand";-21,839;-40,877;-19,895;-4,992;-4,901;1,663;-4,551;116,479;18,795
"vrai";-34,6;-19,822;-1,82;-3,083;-0,102;2,2;73,185;-6,547;1,761
"donner";-42,486;-56,357;-7,518;-0,226;0,099;31,959;64,365;0,119;-12,274
"emji_coeur_rouge";4214,133;-35,056;-25,463;-17,629;-3,529;-12,267;-86,622;-74,734;-30,649
"venir";-41,279;-30,63;-1,824;7,592;0,528;14,761;-0,112;6,68;1,694
"travail";-21,465;-54,125;-65,706;12,364;-0,185;10,775;-41,561;350,778;-5,968
"homme";-29,569;-44,323;-21,627;-1,702;-8,103;1145,621;-64,052;-65,006;-58,947
"jour";-33,723;-34,437;-1,303;-3,606;-0,829;5,816;-13,964;1,123;172,049
"trouver";-35,891;-48,423;-24,928;-2,037;-1,126;65,946;0,059;34,718;-0,65
"état";-34,749;-54,956;238,87;-0,016;-7,335;-25,105;-3,53;56,15;-19,889
"vivre";-33,779;-44,991;-11,052;-11,459;2,453;151,784;-22,675;29,447;-1,451
"fois";-33,551;-30,853;-1,751;-1,074;1,579;12,828;4,738;0,91;5,327
"commentaire";-30,708;-7,965;-36,642;-6,418;1,29;-20,733;863,928;-83,696;-40,883
"demander";-33,323;-48,033;-1,045;45,793;0,893;24,592;1,315;0,365;-4,162
"emji_mains_levées";3708,971;-26,819;-28,96;-13,677;0,326;-31,469;-56,228;-59,458;-24,206
"seul";-31,048;-41,963;0,767;0,343;-4,236;23,614;0,855;1,225;0,307
"cas";-32,81;-47,141;-15,796;8,882;-2,904;80,286;0,267;1,448;-0,345
"année";-33,266;-21,783;-7,413;-11,092;-3,002;-7,969;-20,393;215,592;35,934
"palestinien";-23,637;-57,036;3535,206;-18,692;-8,947;-128,391;-106,6;-106,778;-65,307
"israël";-32,467;-48,862;3631,469;-25,371;-8,673;-137,679;-102,232;-112,171;-61,041
"riche";-29,451;-34,005;-68,645;-22,606;-8,429;-105,968;-50,813;1573,933;-11,933
"question";-32,866;-45,532;-14,332;-4,192;-6,84;-8,437;403,876;-5,676;-5,388
"petit";-24,521;-25,886;-10,246;-0,147;-0,023;6,047;-0,857;25,425;15,048
"france";-32,467;-10,989;-42,344;-0,029;-0,247;-16,059;-2,374;243,818;6,98
"guerre";-29,679;-32,667;1817,495;-11,161;-8,49;-39,512;-57,978;-48,883;-39,89
"argent";-32,296;-31,834;-25,693;-16,052;-5;-46,85;-44,63;1057,712;-16,14
