"";"X";"V1"
"1";1;8
"2";2;0
"3";3;12
"4";4;8
"5";5;9
"6";6;6
"7";7;0
"8";8;8
"9";9;14
"10";10;2
"11";11;6
"12";12;6
"13";13;9
"14";14;13
"15";15;8
"16";16;7
"17";17;2
"18";18;14
"19";19;8
"20";20;8
"21";21;6
"22";22;13
"23";23;12
"24";24;13
"25";25;13
"26";26;7
"27";27;14
"28";28;2
"29";29;6
"30";30;9
"31";31;14
"32";32;9
"33";33;1
"34";34;6
"35";35;2
"36";36;13
"37";37;14
"38";38;8
"39";39;9
"40";40;8
"41";41;12
"42";42;14
"43";43;8
"44";44;8
"45";45;12
"46";46;12
"47";47;11
"48";48;4
"49";49;8
"50";50;1
"51";51;2
"52";52;14
"53";53;6
"54";54;14
"55";55;14
"56";56;2
"57";57;0
"58";58;6
"59";59;8
"60";60;8
"61";61;1
"62";62;1
"63";63;1
"64";64;2
"65";65;1
"66";66;6
"67";67;1
"68";68;1
"69";69;1
"70";70;1
"71";71;1
"72";72;1
"73";73;9
"74";74;2
"75";75;11
"76";76;1
"77";77;1
"78";78;7
"79";79;1
"80";80;0
"81";81;7
"82";82;1
"83";83;0
"84";84;1
"85";85;1
"86";86;1
"87";87;1
"88";88;1
"89";89;13
"90";90;11
"91";91;11
"92";92;11
"93";93;11
"94";94;11
"95";95;12
"96";96;11
"97";97;11
"98";98;11
"99";99;11
"100";100;10
"101";101;11
"102";102;11
"103";103;11
"104";104;11
"105";105;13
"106";106;11
"107";107;11
"108";108;11
"109";109;11
"110";110;11
"111";111;11
"112";112;11
"113";113;11
"114";114;11
"115";115;11
"116";116;10
"117";117;11
"118";118;11
"119";119;11
"120";120;11
"121";121;0
"122";122;12
"123";123;11
"124";124;11
"125";125;8
"126";126;11
"127";127;9
"128";128;2
"129";129;11
"130";130;11
"131";131;11
"132";132;11
"133";133;11
"134";134;11
"135";135;8
"136";136;7
"137";137;11
"138";138;11
"139";139;11
"140";140;11
"141";141;11
"142";142;2
"143";143;8
"144";144;11
"145";145;11
"146";146;11
"147";147;11
"148";148;7
"149";149;11
"150";150;13
"151";151;11
"152";152;12
"153";153;12
"154";154;11
"155";155;2
"156";156;2
"157";157;11
"158";158;11
"159";159;9
"160";160;11
"161";161;11
"162";162;2
"163";163;11
"164";164;13
"165";165;10
"166";166;11
"167";167;11
"168";168;11
"169";169;11
"170";170;9
"171";171;11
"172";172;6
"173";173;2
"174";174;7
"175";175;11
"176";176;13
"177";177;11
"178";178;10
"179";179;11
"180";180;11
"181";181;9
"182";182;10
"183";183;11
"184";184;2
"185";185;4
"186";186;11
"187";187;9
"188";188;11
"189";189;11
"190";190;11
"191";191;10
"192";192;2
"193";193;11
"194";194;11
"195";195;11
"196";196;11
"197";197;11
"198";198;11
"199";199;11
"200";200;11
"201";201;11
"202";202;11
"203";203;11
"204";204;11
"205";205;10
"206";206;11
"207";207;11
"208";208;11
"209";209;11
"210";210;11
