"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"14";"***";"";""
"**";"classe";"1";"**";"";""
"****";"2095";"40019";"5.24";"****";""
"13";"2977";"0.44";"-149.268";"aller";"2.506382e-34"
" 5";"2286";"0.22";"-122.976";"voir";"1.411368e-28"
"32";"2793";"1.15";"-101.210";"suisse";"8.275107e-24"
"40";"2820";"1.42";" -89.077";"emji_visage_riant_aux_larmes";"3.797369e-21"
" 2";"1534";"0.13";" -83.785";"parler";"5.517490e-20"
" 2";"1426";"0.14";" -77.368";"gens";"1.419243e-18"
" 5";"1399";"0.36";" -69.522";"monde";"7.557431e-17"
"10";"1446";"0.69";" -62.425";"pays";"2.768186e-15"
" 3";"1143";"0.26";" -58.644";"prendre";"1.889531e-14"
" 1";"1060";"0.09";" -58.001";"mettre";"2.619277e-14"
" 0";" 991";"0.00";" -56.135";"payer";"6.766294e-14"
" 2";"1011";"0.20";" -53.049";"enfant";"3.253838e-13"
" 1";" 952";"0.11";" -51.732";"passer";"6.362500e-13"
" 2";" 976";"0.20";" -51.022";"comprendre";"9.132491e-13"
" 2";" 963";"0.21";" -50.271";"penser";"1.339443e-12"
" 0";" 882";"0.00";" -49.822";"problème";"1.683849e-12"
" 4";" 932";"0.43";" -44.424";"femme";"2.643835e-11"
" 3";" 892";"0.34";" -44.132";"chose";"3.070376e-11"
" 0";" 771";"0.00";" -43.428";"arrêter";"4.397785e-11"
" 0";" 750";"0.00";" -42.223";"donner";"8.144285e-11"
" 0";" 734";"0.00";" -41.305";"venir";"1.302176e-10"
" 1";" 734";"0.14";" -39.183";"droit";"3.858213e-10"
" 4";" 827";"0.48";" -38.427";"temps";"5.683053e-10"
" 2";" 713";"0.28";" -35.920";"trouver";"2.056222e-09"
" 5";" 801";"0.62";" -35.027";"vraiment";"3.252185e-09"
" 4";" 762";"0.52";" -34.737";"vrai";"3.773521e-09"
" 5";" 795";"0.63";" -34.688";"rester";"3.870106e-09"
" 0";" 618";"0.00";" -34.675";"état";"3.895888e-09"
" 2";" 677";"0.30";" -33.870";"jour";"5.892075e-09"
" 1";" 640";"0.16";" -33.817";"vivre";"6.055545e-09"
" 1";" 638";"0.16";" -33.703";"fois";"6.420648e-09"
" 5";" 768";"0.65";" -33.166";"vie";"8.461129e-09"
" 1";" 628";"0.16";" -33.134";"cas";"8.603992e-09"
" 1";" 627";"0.16";" -33.077";"année";"8.859546e-09"
" 0";" 585";"0.00";" -32.796";"question";"1.023541e-08"
" 0";" 582";"0.00";" -32.625";"france";"1.117475e-08"
" 1";" 619";"0.16";" -32.621";"demander";"1.119695e-08"
" 0";" 580";"0.00";" -32.512";"israël";"1.184838e-08"
" 0";" 574";"0.00";" -32.170";"argent";"1.412282e-08"
" 2";" 638";"0.31";" -31.654";"seul";"1.841877e-08"
" 5";" 719";"0.70";" -30.414";"police";"3.490117e-08"
" 3";" 650";"0.46";" -30.348";"commentaire";"3.610958e-08"
" 0";" 532";"0.00";" -29.785";"laisser";"4.827805e-08"
" 1";" 564";"0.18";" -29.497";"guerre";"5.598897e-08"
" 0";" 525";"0.00";" -29.388";"devenir";"5.925520e-08"
" 1";" 562";"0.18";" -29.384";"riche";"5.936353e-08"
" 4";" 667";"0.60";" -29.378";"homme";"5.955920e-08"
" 1";" 542";"0.18";" -28.251";"politique";"1.065861e-07"
" 1";" 523";"0.19";" -27.175";"partir";"1.858657e-07"
" 0";" 468";"0.00";" -26.159";"français";"3.143951e-07"
" 0";" 453";"0.00";" -25.311";"travailler";"4.878759e-07"
" 0";" 451";"0.00";" -25.198";"arriver";"5.173194e-07"
" 0";" 448";"0.00";" -25.029";"hamas";"5.648527e-07"
" 0";" 444";"0.00";" -24.803";"plutôt";"6.350994e-07"
" 1";" 480";"0.21";" -24.744";"place";"6.545553e-07"
" 4";" 583";"0.69";" -24.677";"petit";"6.779238e-07"
" 2";" 505";"0.40";" -24.141";"accord";"8.955380e-07"
" 0";" 431";"0.00";" -24.069";"manifestation";"9.296659e-07"
" 1";" 464";"0.22";" -23.842";"raison";"1.045914e-06"
" 5";" 595";"0.84";" -23.513";"palestinien";"1.240630e-06"
" 0";" 420";"0.00";" -23.448";"utiliser";"1.283527e-06"
" 0";" 417";"0.00";" -23.279";"population";"1.401578e-06"
