"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"2";"***";"";""
"**";"classe";"1";"**";"";""
"****";"21730";"51332";"42.33";"****";""
" 123";"1290";" 9.53";"-583.065";"époque";"8.077956e-129"
" 252";"1439";"17.51";"-373.605";"homme";" 3.071591e-83"
" 147";" 981";"14.98";"-306.395";"beau";" 1.332117e-68"
" 409";"1819";"22.48";"-304.301";"femme";" 3.807782e-68"
" 125";" 890";"14.04";"-296.869";"aimer";" 1.584403e-66"
" 101";" 800";"12.62";"-293.787";"emji_visage_qui_pleure";" 7.437050e-66"
" 140";" 935";"14.97";"-292.006";"commentaire";" 1.817756e-65"
"  24";" 457";" 5.25";"-259.711";"emji_coeur_rouge";" 1.984247e-58"
"  49";" 534";" 9.18";"-243.001";"vidéo";" 8.714942e-55"
" 409";"1691";"24.19";"-235.841";"enfant";" 3.173421e-53"
"  85";" 632";"13.45";"-218.663";"animal";" 1.770543e-49"
"  15";" 352";" 4.26";"-210.433";"dieu";" 1.105317e-47"
"  16";" 338";" 4.73";"-197.026";"fille";" 9.308201e-45"
" 118";" 711";"16.60";"-195.615";"tellement";" 1.891393e-44"
"  14";" 327";" 4.28";"-195.186";"chat";" 2.346216e-44"
" 146";" 770";"18.96";"-174.909";"jeune";" 6.265731e-40"
"  38";" 395";" 9.62";"-174.487";"souvenir";" 7.750301e-40"
"  83";" 530";"15.66";"-156.058";"apprendre";" 8.221682e-36"
"  70";" 464";"15.09";"-142.385";"mot";" 8.010817e-33"
"   9";" 222";" 4.05";"-133.824";"renard";" 5.969807e-31"
"  28";" 294";" 9.52";"-130.379";"heureux";" 3.384776e-30"
"   1";" 170";" 0.59";"-121.751";"garçon";" 2.616519e-28"
"  29";" 280";"10.36";"-117.911";"emji_visage_souriant_avec_yeux_rieurs";" 1.813642e-27"
"  32";" 288";"11.11";"-115.646";"vieux";" 5.682627e-27"
" 106";" 540";"19.63";"-115.222";"école";" 7.036747e-27"
" 320";"1171";"27.33";"-110.524";"petit";" 7.521632e-26"
"  70";" 411";"17.03";"-108.640";"triste";" 1.945615e-25"
"  25";" 250";"10.00";"-107.579";"adorer";" 3.323579e-25"
" 105";" 523";"20.08";"-107.209";"lire";" 4.006399e-25"
"  43";" 315";"13.65";"-106.803";"écouter";" 4.917617e-25"
"  13";" 199";" 6.53";"-104.880";"amour";" 1.297711e-24"
"  34";" 278";"12.23";"-103.751";"jeu";" 2.294445e-24"
"  70";" 400";"17.50";"-101.832";"respect";" 6.042485e-24"
"   5";" 161";" 3.11";"-101.800";"archive";" 6.141261e-24"
"  22";" 229";" 9.61";"-100.911";"emji_visage_souriant_avec_yeux_en_forme_de_coeur";" 9.619795e-24"
"  41";" 299";"13.71";"-100.911";"plaisir";" 9.619505e-24"
" 243";" 926";"26.24";"-100.010";"connaître";" 1.516112e-23"
"  29";" 254";"11.42";" -99.936";"père";" 1.574273e-23"
"  86";" 446";"19.28";" -97.916";"jouer";" 4.365438e-23"
"  39";" 287";"13.59";" -97.676";"âge";" 4.926790e-23"
"  38";" 283";"13.43";" -97.391";"emji_visage_avec_bouche_ouverte";" 5.689587e-23"
" 136";" 601";"22.63";" -96.708";"emji_visage_faisant_un_clin_d_oeil";" 8.033407e-23"
"  21";" 211";" 9.95";" -90.994";"exprimer";" 1.441275e-21"
"  20";" 207";" 9.66";" -90.872";"adulte";" 1.532655e-21"
" 469";"1530";"30.65";" -88.108";"vie";" 6.197569e-21"
"  26";" 224";"11.61";" -87.002";"mec";" 1.084005e-20"
"  66";" 360";"18.33";" -85.534";"nom";" 2.277571e-20"
"  31";" 240";"12.92";" -85.467";"mère";" 2.356213e-20"
"  47";" 295";"15.93";" -84.709";"génération";" 3.456362e-20"
"  77";" 392";"19.64";" -83.302";"entendre";" 7.041515e-20"
"  31";" 235";"13.19";" -82.122";"coeur";" 1.279524e-19"
"  22";" 199";"11.06";" -80.054";"emji_mains_en_prière";" 3.642309e-19"
"1215";"3451";"35.21";" -76.939";"voir";" 1.763408e-18"
"   0";" 104";" 0.00";" -76.498";"élastique";" 2.203827e-18"
"   9";" 142";" 6.34";" -75.571";"gamin";" 3.525679e-18"
"  21";" 188";"11.17";" -75.058";"reportage";" 4.570014e-18"
"   7";" 131";" 5.34";" -73.606";"prof";" 9.535072e-18"
"  24";" 194";"12.37";" -71.607";"noir";" 2.625621e-17"
"  80";" 381";"21.00";" -71.571";"répondre";" 2.674612e-17"
" 138";" 557";"24.78";" -71.101";"ca";" 3.394442e-17"
"  12";" 147";" 8.16";" -70.506";"noël";" 4.589842e-17"
" 373";"1216";"30.67";" -69.340";"vraiment";" 8.287360e-17"
" 285";" 973";"29.29";" -69.099";"changer";" 9.366391e-17"
"  14";" 152";" 9.21";" -68.510";"phrase";" 1.262413e-16"
"   6";" 117";" 5.13";" -66.490";"bête";" 3.517585e-16"
"  71";" 343";"20.70";" -66.194";"réponse";" 4.086987e-16"
"  24";" 184";"13.04";" -64.890";"livre";" 7.920979e-16"
"  10";" 131";" 7.63";" -64.774";"parole";" 8.398858e-16"
"  16";" 154";"10.39";" -64.560";"gentil";" 9.363874e-16"
"  92";" 405";"22.72";" -64.346";"manger";" 1.043820e-15"
"   0";"  86";" 0.00";" -63.236";"georges";" 1.833535e-15"
"  10";" 128";" 7.81";" -62.636";"sauvage";" 2.486374e-15"
" 111";" 459";"24.18";" -62.492";"écrire";" 2.674779e-15"
"  65";" 317";"20.50";" -62.252";"tête";" 3.021736e-15"
"  13";" 139";" 9.35";" -62.099";"chien";" 3.266619e-15"
"  23";" 176";"13.07";" -61.954";"élève";" 3.515632e-15"
"  43";" 245";"17.55";" -61.928";"tuer";" 3.562799e-15"
" 468";"1449";"32.30";" -61.498";"temps";" 4.432505e-15"
"  25";" 182";"13.74";" -61.182";"journaliste";" 5.204786e-15"
"  55";" 282";"19.50";" -60.534";"fou";" 7.231353e-15"
"   2";"  91";" 2.20";" -60.151";"tristesse";" 8.785409e-15"
" 108";" 444";"24.32";" -59.495";"parent";" 1.226124e-14"
"   8";" 114";" 7.02";" -58.368";"maman";" 2.173562e-14"
"  60";" 294";"20.41";" -58.221";"ami";" 2.342402e-14"
"  49";" 256";"19.14";" -56.685";"nourrir";" 5.114628e-14"
"  18";" 148";"12.16";" -55.343";"photo";" 1.012150e-13"
"  47";" 247";"19.03";" -55.214";"raciste";" 1.081213e-13"
" 193";" 679";"28.42";" -54.524";"humain";" 1.535881e-13"
"   6";"  98";" 6.12";" -52.736";"insulter";" 3.816012e-13"
"   7";" 102";" 6.86";" -52.671";"emji_visage_pensif";" 3.944024e-13"
"  16";" 136";"11.76";" -52.193";"etait";" 5.031742e-13"
"   3";"  84";" 3.57";" -51.781";"wesh";" 6.204159e-13"
" 476";"1437";"33.12";" -51.344";"chose";" 7.753513e-13"
"  56";" 269";"20.82";" -51.273";"blanc";" 8.037125e-13"
"   0";"  69";" 0.00";" -50.719";"jésus";" 1.065749e-12"
"  11";" 115";" 9.57";" -50.692";"film";" 1.080413e-12"
"  41";" 219";"18.72";" -50.225";"nature";" 1.371043e-12"
"  12";" 117";"10.26";" -49.423";"éduquer";" 2.063135e-12"
"  11";" 113";" 9.73";" -49.295";"table";" 2.201767e-12"
"   7";"  97";" 7.22";" -49.090";"langage";" 2.444804e-12"
"  13";" 120";"10.83";" -48.886";"sympa";" 2.712721e-12"
" 107";" 419";"25.54";" -48.814";"emji_applaudissements";" 2.814403e-12"
"  19";" 141";"13.48";" -48.230";"date";" 3.791066e-12"
"  41";" 215";"19.07";" -47.860";"naître";" 4.578437e-12"
"   8";"  99";" 8.08";" -47.668";"emji_visage_souriant_avec_coeurs";" 5.048532e-12"
"  25";" 161";"15.53";" -47.533";"gars";" 5.408562e-12"
"   3";"  78";" 3.85";" -47.398";"écran";" 5.794586e-12"
" 104";" 407";"25.55";" -47.315";"espérer";" 6.043653e-12"
" 111";" 427";"26.00";" -47.075";"histoire";" 6.831044e-12"
"   5";"  86";" 5.81";" -47.059";"habiller";" 6.887775e-12"
" 500";"1485";"33.67";" -47.004";"comprendre";" 7.085653e-12"
"   6";"  90";" 6.67";" -46.979";"beauté";" 7.176901e-12"
"   9";" 101";" 8.91";" -46.304";"copain";" 1.012433e-11"
"   3";"  75";" 4.00";" -45.209";"training";" 1.771271e-11"
"  15";" 122";"12.30";" -45.197";"emji_visage_avec_un_léger_sourire";" 1.781994e-11"
"   1";"  66";" 1.52";" -45.101";"soeur";" 1.871620e-11"
"   4";"  78";" 5.13";" -44.293";"riz";" 2.827804e-11"
"  12";" 109";"11.01";" -43.901";"couleur";" 3.454095e-11"
"  40";" 204";"19.61";" -43.325";"mode";" 4.635657e-11"
"  15";" 119";"12.61";" -43.178";"cerveau";" 4.998769e-11"
"  39";" 200";"19.50";" -42.876";"vérité";" 5.830751e-11"
"  44";" 215";"20.47";" -42.290";"incroyable";" 7.867963e-11"
"  72";" 301";"23.92";" -42.045";"journée";" 8.917979e-11"
" 373";"1133";"32.92";" -42.031";"jour";" 8.982046e-11"
"   8";"  90";" 8.89";" -41.307";"mari";" 1.301220e-10"
"  12";" 105";"11.43";" -41.162";"fils";" 1.401302e-10"
"  35";" 184";"19.02";" -41.103";"sport";" 1.443887e-10"
"   2";"  65";" 3.08";" -41.082";"merveilleux";" 1.459374e-10"
"  54";" 244";"22.13";" -40.983";"heureusement";" 1.535451e-10"
"   3";"  69";" 4.35";" -40.836";"désoler";" 1.655776e-10"
"  10";"  97";"10.31";" -40.824";"cool";" 1.665990e-10"
"   1";"  60";" 1.67";" -40.692";"joie";" 1.782141e-10"
"  39";" 196";"19.90";" -40.564";"racisme";" 1.903010e-10"
"   6";"  81";" 7.41";" -40.536";"frère";" 1.930734e-10"
"   9";"  92";" 9.78";" -40.000";"leçon";" 2.540180e-10"
"  31";" 169";"18.34";" -39.971";"mourir";" 2.578051e-10"
" 287";" 896";"32.03";" -39.638";"question";" 3.056809e-10"
"   3";"  67";" 4.48";" -39.380";"interview";" 3.488433e-10"
"   4";"  71";" 5.63";" -39.224";"primaire";" 3.778846e-10"
"  12";" 102";"11.76";" -39.118";"poule";" 3.988648e-10"
" 183";" 610";"30.00";" -38.459";"regarder";" 5.590296e-10"
"  17";" 117";"14.53";" -37.131";"foot";" 1.104588e-09"
"  12";"  99";"12.12";" -37.085";"emji_visage_souriant";" 1.130769e-09"
"  11";"  95";"11.58";" -36.873";"enfance";" 1.260840e-09"
"   2";"  59";" 3.39";" -36.694";"chanson";" 1.382145e-09"
"   2";"  59";" 3.39";" -36.694";"adorable";" 1.382145e-09"
"  10";"  91";"10.99";" -36.686";"vocabulaire";" 1.387997e-09"
"  30";" 160";"18.75";" -36.563";"évoluer";" 1.478064e-09"
"  58";" 247";"23.48";" -36.127";"envie";" 1.848630e-09"
"  65";" 268";"24.25";" -36.069";"oeil";" 1.904835e-09"
"  28";" 152";"18.42";" -35.705";"joli";" 2.295609e-09"
"   4";"  65";" 6.15";" -34.895";"mignon";" 3.480412e-09"
"   5";"  69";" 7.25";" -34.841";"oreille";" 3.577113e-09"
