"";"X.rts_a";"X.rts_i"
"pre";-58,8838;58,8838
"con";-9,8086;9,8086
"nom";-0,7522;0,7522
"ver";-45,2422;45,2422
"art_def";-13,8065;13,8065
"adj_ind";-10,7823;10,7823
"pro_per";89,2899;-89,2899
"aux";94,6381;-94,6381
"pro_dem";18,1272;-18,1272
"nr";10,9922;-10,9922
"adv_sup";7,559;-7,559
"num";0,6503;-0,6503
"nom_sup";11,6001;-11,6001
"pro_ind";0,487;-0,487
"adj";-0,6431;0,6431
"art_ind";-18,4242;18,4242
"ver_sup";-4,8124;4,8124
"adv";-9,5647;9,5647
"ono";37,3738;-37,3738
"adj_pos";30,1261;-30,1261
"pro_rel";-33,1528;33,1528
"adj_sup";-2,7243;2,7243
"adj_num";1,6607;-1,6607
"adj_dem";24,3925;-24,3925
"adj_int";12,8459;-12,8459
"pro_pos";1,7513;-1,7513
