"";"";"";"";"emji_visage_souriant_avec_coeurs";""
"1";"emji_visage_souriant_avec_coeurs";"4.05184633849571";"1.55288718560942";"1.15728265871737";"19"
"2";"commentaire";"-0.265133375751957";"-0.221396799898869";"0.974188341195369";"42"
"3";"féministe";"-0.288191766782746";"0.0461090771601185";"0.904399751170007";"67"
"4";"emji_étincelles";"3.67995458087422";"1.47655423033248";"0.903871755742381";"68"
"5";"comprendre";"-0.200214493888279";"-0.00934099104274917";"0.891058856894652";"84"
"6";"apprendre";"-0.0430745662367146";"-0.308482584997751";"0.890512385180191";"86"
"7";"gens";"-0.37724475148226";"0.0347461947430349";"0.889987841366588";"88"
"8";"nourriture";"-0.383826559215086";"0.060770626277203";"0.886851339399284";"94"
"9";"touchant";"3.56689036440301";"1.44066215627046";"0.885795957652388";"99"
"10";"hérisson";"0.279607385550075";"-0.190517008476398";"0.882355815169022";"105"
"11";"pigeon";"-0.0636584465885966";"-0.207162459810871";"0.881858782749553";"106"
"12";"adopter";"-0.0984058429890752";"-0.139766423392697";"0.87903881409187";"115"
"13";"nuisible";"0.164444608691159";"-0.23331714360241";"0.878462394549846";"118"
"14";"sujet";"-0.450008124006546";"0.0914038487008694";"0.877897141994371";"119"
"15";"temps";"-0.0676637109768172";"-0.186596735149346";"0.877254329641414";"121"
"16";"chrétien";"-0.937389582996564";"2.19398024993917";"0.876774859846244";"122"
"17";"voiture";"-0.497369307127219";"-0.202048796181873";"0.875670749430772";"124"
"18";"russie";"-1.01066164673068";"2.54034692388261";"0.87517209272235";"126"
"19";"lire";"-0.376753734468719";"-0.0426540925570825";"0.875063062326413";"127"
"20";"année";"0.0336781798610813";"-0.34621479500377";"0.874120467143657";"128"
"21";"casseur";"-1.03459790303198";"2.70533150733406";"0.873834287733836";"129"
"22";"chose";"-0.290081283183622";"-0.033736855592287";"0.873625566603438";"131"
"23";"parler";"-0.306893012312402";"0.0666995317047907";"0.873174014274639";"132"
"24";"masculinisme";"-0.39126687990608";"0.349045805391672";"0.872818193475979";"133"
"25";"taxer";"-0.811037246959565";"0.109885377730415";"0.872559220906112";"135"
"26";"criminel";"-0.969855805246108";"2.13028513195488";"0.872055285258595";"136"
