"";"X";"V1"
"1";1;2
"2";2;6
"3";3;6
"4";4;2
"5";5;8
"6";6;1
"7";7;2
"8";8;2
"9";9;6
"10";10;1
"11";11;2
"12";12;3
"13";13;3
"14";14;6
"15";15;2
"16";16;2
"17";17;1
"18";18;1
"19";19;2
"20";20;6
"21";21;5
"22";22;5
"23";23;5
"24";24;2
"25";25;2
"26";26;1
"27";27;5
"28";28;6
"29";29;5
"30";30;1
"31";31;5
"32";32;1
"33";33;1
"34";34;2
"35";35;2
"36";36;2
"37";37;2
"38";38;1
"39";39;1
"40";40;8
"41";41;2
"42";42;1
"43";43;2
"44";44;2
"45";45;2
"46";46;6
"47";47;2
"48";48;2
"49";49;8
"50";50;5
"51";51;6
"52";52;2
"53";53;2
"54";54;2
"55";55;1
"56";56;5
"57";57;2
"58";58;2
"59";59;1
"60";60;2
"61";61;8
"62";62;1
"63";63;1
"64";64;8
"65";65;6
"66";66;8
"67";67;4
"68";68;2
"69";69;1
"70";70;8
"71";71;1
"72";72;0
"73";73;2
"74";74;6
"75";75;2
"76";76;2
"77";77;0
"78";78;6
"79";79;0
"80";80;1
"81";81;1
"82";82;0
"83";83;8
"84";84;5
"85";85;5
"86";86;8
"87";87;1
"88";88;1
"89";89;1
"90";90;1
"91";91;5
"92";92;1
"93";93;2
"94";94;8
"95";95;6
"96";96;6
"97";97;6
"98";98;3
"99";99;6
"100";100;1
"101";101;2
"102";102;8
"103";103;2
"104";104;8
"105";105;1
"106";106;8
"107";107;2
"108";108;2
"109";109;2
"110";110;2
"111";111;2
"112";112;2
"113";113;1
"114";114;2
"115";115;2
"116";116;5
"117";117;2
"118";118;8
"119";119;2
"120";120;6
"121";121;2
"122";122;0
"123";123;8
"124";124;5
"125";125;2
"126";126;1
"127";127;1
"128";128;1
"129";129;2
"130";130;2
"131";131;2
"132";132;2
"133";133;2
"134";134;2
"135";135;2
"136";136;8
"137";137;6
"138";138;0
"139";139;5
"140";140;1
"141";141;6
"142";142;2
"143";143;2
"144";144;2
"145";145;2
"146";146;2
"147";147;2
"148";148;2
"149";149;6
"150";150;1
"151";151;0
"152";152;2
"153";153;2
"154";154;2
"155";155;2
"156";156;6
"157";157;5
"158";158;1
"159";159;6
"160";160;0
"161";161;4
"162";162;6
"163";163;6
"164";164;2
"165";165;2
"166";166;6
"167";167;2
"168";168;2
"169";169;1
"170";170;6
"171";171;2
"172";172;6
"173";173;5
"174";174;6
"175";175;1
"176";176;5
"177";177;1
"178";178;5
"179";179;6
"180";180;1
"181";181;1
"182";182;1
"183";183;5
"184";184;1
"185";185;3
"186";186;1
"187";187;1
"188";188;1
"189";189;1
"190";190;1
"191";191;1
"192";192;1
"193";193;1
"194";194;2
"195";195;2
"196";196;1
"197";197;1
"198";198;8
"199";199;4
"200";200;1
"201";201;2
"202";202;2
"203";203;2
"204";204;2
"205";205;8
"206";206;2
"207";207;1
"208";208;1
"209";209;1
"210";210;1
"211";211;2
"212";212;2
"213";213;1
"214";214;8
"215";215;1
"216";216;8
"217";217;1
"218";218;1
"219";219;1
"220";220;1
"221";221;1
"222";222;3
"223";223;2
"224";224;8
"225";225;3
"226";226;1
"227";227;8
"228";228;8
"229";229;6
"230";230;2
