"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
"****";"12332";"86408";"14.27";"****";""
" 83";"4609";" 1.80";"-618.888";"aller";"1.304837e-136"
"108";"4270";" 2.53";"-506.244";"voir";"4.163806e-112"
"138";"4063";" 3.40";"-412.140";"suisse";" 1.254108e-91"
"689";"9311";" 7.40";"-402.785";"emji_visage_riant_aux_larmes";" 1.363719e-89"
" 36";"2429";" 1.48";"-334.142";"gens";" 1.204272e-74"
" 79";"2724";" 2.90";"-297.279";"parler";" 1.289789e-66"
" 24";"1852";" 1.30";"-260.450";"prendre";" 1.369066e-58"
" 61";"2264";" 2.69";"-254.702";"monde";" 2.451426e-57"
" 20";"1641";" 1.22";"-232.947";"mettre";" 1.357285e-52"
" 33";"1770";" 1.86";"-227.364";"pays";" 2.239905e-51"
" 37";"1690";" 2.19";"-205.671";"chose";" 1.208642e-46"
" 37";"1683";" 2.20";"-204.494";"passer";" 2.183744e-46"
" 50";"1836";" 2.72";"-204.479";"penser";" 2.199973e-46"
"  5";"1193";" 0.42";"-189.734";"payer";" 3.634179e-43"
" 78";"2058";" 3.79";"-189.312";"enfant";" 4.493040e-43"
"  6";"1172";" 0.51";"-183.859";"problème";" 6.964756e-42"
" 25";"1348";" 1.85";"-172.570";"venir";" 2.032067e-39"
"  5";"1067";" 0.47";"-168.236";"arrêter";" 1.796749e-38"
" 25";"1277";" 1.96";"-160.642";"donner";" 8.190044e-37"
"  8";"1055";" 0.76";"-159.412";"demander";" 1.520610e-36"
" 12";"1097";" 1.09";"-157.706";"france";" 3.588982e-36"
" 12";"1095";" 1.10";"-157.367";"seul";" 4.256306e-36"
" 32";"1341";" 2.39";"-157.274";"trouver";" 4.459450e-36"
"  9";"1012";" 0.89";"-149.888";"question";" 1.833742e-34"
"  5";" 957";" 0.52";"-149.524";"droit";" 2.203053e-34"
" 30";"1262";" 2.38";"-148.098";"rester";" 4.515616e-34"
" 79";"1806";" 4.37";"-147.686";"comprendre";" 5.554888e-34"
" 73";"1715";" 4.26";"-143.447";"temps";" 4.692716e-33"
"  8";" 938";" 0.85";"-139.565";"cas";" 3.313690e-32"
" 42";"1346";" 3.12";"-138.971";"jour";" 4.469030e-32"
" 23";"1110";" 2.07";"-136.785";"commentaire";" 1.344028e-31"
" 23";"1091";" 2.11";"-133.619";"fois";" 6.618387e-31"
"  0";" 778";" 0.00";"-130.696";"utiliser";" 2.885265e-30"
" 32";"1168";" 2.74";"-128.697";"connaître";" 7.901940e-30"
" 41";"1268";" 3.23";"-128.159";"vivre";" 1.036227e-29"
"124";"2107";" 5.89";"-124.155";"femme";" 7.792730e-29"
"  4";" 745";" 0.54";"-115.869";"état";" 5.078594e-27"
"  2";" 706";" 0.28";"-113.844";"argent";" 1.409887e-26"
" 10";" 800";" 1.25";"-111.910";"laisser";" 3.738370e-26"
" 22";" 938";" 2.35";"-110.245";"travail";" 8.659174e-26"
" 40";"1145";" 3.49";"-110.180";"changer";" 8.948876e-26"
" 21";" 913";" 2.30";"-108.092";"sentir";" 2.565799e-25"
"  7";" 738";" 0.95";"-107.995";"coup";" 2.694739e-25"
" 41";"1139";" 3.60";"-107.446";"français";" 3.554939e-25"
"  4";" 694";" 0.58";"-107.254";"guerre";" 3.917103e-25"
" 11";" 776";" 1.42";"-105.748";"besoin";" 8.372181e-25"
"  7";" 712";" 0.98";"-103.618";"plutôt";" 2.453740e-24"
"  8";" 711";" 1.13";"-101.271";"partir";" 8.022205e-24"
"  4";" 649";" 0.62";" -99.662";"etc";" 1.807347e-23"
" 91";"1605";" 5.67";" -98.905";"année";" 2.649161e-23"
" 16";" 795";" 2.01";" -98.561";"police";" 3.151365e-23"
"  2";" 613";" 0.33";" -98.134";"importer";" 3.909234e-23"
"  8";" 686";" 1.17";" -97.073";"travailler";" 6.680994e-23"
"  1";" 592";" 0.17";" -96.900";"israël";" 7.293665e-23"
"  7";" 670";" 1.04";" -96.556";"appeler";" 8.676439e-23"
" 32";" 967";" 3.31";" -96.059";"devenir";" 1.114871e-22"
"  9";" 691";" 1.30";" -95.763";"place";" 1.294691e-22"
" 19";" 807";" 2.35";" -94.561";"arriver";" 2.376937e-22"
"  8";" 665";" 1.20";" -93.551";"part";" 3.959515e-22"
"  6";" 636";" 0.94";" -93.029";"niveau";" 5.152215e-22"
"  4";" 608";" 0.66";" -92.754";"palestinien";" 5.920530e-22"
"  5";" 611";" 0.82";" -91.031";"politique";" 1.414249e-21"
"  2";" 566";" 0.35";" -90.209";"cause";" 2.142730e-21"
" 11";" 682";" 1.61";" -90.036";"rendre";" 2.338659e-21"
" 24";" 838";" 2.86";" -90.008";"exister";" 2.371758e-21"
"  9";" 653";" 1.38";" -89.403";"riche";" 3.220817e-21"
"  5";" 598";" 0.84";" -88.845";"lire";" 4.268982e-21"
"  0";" 524";" 0.00";" -87.767";"population";" 7.365449e-21"
"  6";" 585";" 1.03";" -84.467";"compte";" 3.907738e-20"
"  6";" 582";" 1.03";" -83.963";"sujet";" 5.040272e-20"
" 16";" 704";" 2.27";" -83.526";"ca";" 6.289565e-20"
"  0";" 495";" 0.00";" -82.881";"lieu";" 8.713405e-20"
"  7";" 579";" 1.21";" -81.296";"sortir";" 1.942873e-19"
"114";"1696";" 6.72";" -80.601";"homme";" 2.762197e-19"
" 94";"1502";" 6.26";" -80.228";"vraiment";" 3.335635e-19"
" 12";" 631";" 1.90";" -79.498";"sûr";" 4.827862e-19"
"  2";" 499";" 0.40";" -78.928";"faux";" 6.442289e-19"
" 28";" 805";" 3.48";" -77.373";"humain";" 1.415603e-18"
