"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
"****";"12332";"86408";"14.27";"****";""
"2603";"2936";" 88.66";"13745.196";"emji_visage_souriant_avec_yeux_en_forme_de_coeur";" 0.000000e+00"
"2547";"3105";" 82.03";"12085.431";"emji_coeur_rouge";" 0.000000e+00"
"1339";"1883";" 71.11";" 5082.708";"emji_applaudissements";" 0.000000e+00"
" 900";"1139";" 79.02";" 3954.521";"emji_mains_levées";" 0.000000e+00"
" 855";"1097";" 77.94";" 3681.247";"emji_feu";" 0.000000e+00"
" 722";" 841";" 85.85";" 3556.345";"emji_visage_souriant_avec_coeurs";" 0.000000e+00"
" 664";" 898";" 73.94";" 2640.743";"emji_mains_en_prière";" 0.000000e+00"
" 583";" 747";" 78.05";" 2504.790";"magnifique";" 0.000000e+00"
" 322";" 371";" 86.79";" 1601.631";"emji_visage_avec_des_étoiles_à_la_place_des_yeux";" 0.000000e+00"
" 348";" 498";" 69.88";" 1265.920";"emji_pouce_vers_le_haut";"2.880145e-277"
" 553";"1074";" 51.49";" 1231.225";"souvenir";"9.983631e-270"
" 237";" 301";" 78.74";" 1025.974";"emji_étincelles";"4.059485e-225"
" 756";"1930";" 39.17";" 1000.308";"beau";"1.539143e-219"
" 206";" 271";" 76.01";"  847.042";"touchant";"3.196446e-186"
" 387";" 782";" 49.49";"  799.923";"adorer";"5.607052e-176"
" 149";" 164";" 90.85";"  787.621";"emji_coeur_cartes";"2.651601e-173"
" 208";" 327";" 63.61";"  653.028";"génial";"4.903281e-144"
" 175";" 250";" 70.00";"  636.421";"mignon";"2.005476e-140"
" 117";" 127";" 92.13";"  630.091";"emji_chat_souriant_aux_yeux_en_coeurs";"4.776611e-139"
" 164";" 229";" 71.62";"  617.105";"emji_visage_retenant_ses_larmes";"3.186884e-136"
" 262";" 496";" 52.82";"  605.961";"emji_drapeau_suisse";"8.459052e-134"
" 120";" 142";" 84.51";"  573.468";"emji_colombe";"9.883101e-127"
" 111";" 126";" 88.10";"  562.069";"emji_coeur_blanc";"2.982730e-124"
"  91";"  95";" 95.79";"  516.537";"emji_rose";"2.398588e-114"
" 109";" 133";" 81.95";"  498.744";"emji_mains_en_prière_peau_moyennement_claire";"1.783629e-110"
" 513";"1504";" 34.11";"  492.302";"emji_visage_qui_pleure";"4.496149e-109"
" 106";" 131";" 80.92";"  476.268";"emji_renard";"1.385858e-105"
" 100";" 120";" 83.33";"  468.440";"émouvant";"7.003046e-104"
" 132";" 201";" 65.67";"  435.038";"merveilleux";" 1.301142e-96"
"  87";" 102";" 85.29";"  421.017";"emji_trèfle_à_quatre_feuilles";" 1.466030e-93"
" 125";" 190";" 65.79";"  413.065";"adorable";" 7.887447e-92"
"  78";"  89";" 87.64";"  391.972";"emji_notes_de_musique";" 3.079999e-87"
"  85";" 109";" 77.98";"  362.063";"emji_deux_coeurs";" 1.000768e-80"
" 117";" 186";" 62.90";"  360.312";"emji_mains_en_prière_peau_claire";" 2.407472e-80"
"  84";" 111";" 75.68";"  342.507";"sagesse";" 1.815198e-76"
"  83";" 109";" 76.15";"  341.508";"emji_mains_qui_forment_un_coeur";" 2.994745e-76"
" 103";" 160";" 64.38";"  328.891";"emji_coeur_brisé";" 1.676060e-73"
"  59";"  65";" 90.77";"  311.122";"emji_étoile_brillante";" 1.244086e-69"
"  65";"  78";" 83.33";"  304.338";"emji_coeur_étincelant";" 3.738961e-68"
"  86";" 126";" 68.25";"  300.539";"chou";" 2.513389e-67"
"  89";" 137";" 64.96";"  288.191";"emji_biceps_contracté";" 1.232547e-64"
" 127";" 247";" 51.42";"  279.346";"enfance";" 1.042775e-62"
"  65";"  84";" 77.38";"  273.705";"rip";" 1.767749e-61"
"  97";" 170";" 57.06";"  254.873";"témoignage";" 2.249126e-57"
" 232";" 666";" 34.83";"  231.956";"emji_visage_avec_bouche_ouverte";" 2.232962e-52"
"  41";"  43";" 95.35";"  231.141";"emji_drapeau_sénégal";" 3.361369e-52"
"  53";"  67";" 79.10";"  230.354";"emji_applaudissements_peau_moyennement_claire";" 4.990004e-52"
"  45";"  52";" 86.54";"  222.094";"claudia";" 3.159253e-50"
" 364";"1283";" 28.37";"  211.596";"tellement";" 6.160463e-48"
"  44";"  52";" 84.62";"  210.431";"emji_étourdissement";" 1.106043e-47"
"  98";" 197";" 49.75";"  203.088";"âme";" 4.426378e-46"
"  34";"  35";" 97.14";"  196.538";"emji_drapeau_algérie";" 1.189513e-44"
"  58";"  87";" 66.67";"  195.403";"formidable";" 2.104332e-44"
"  55";"  80";" 68.75";"  194.238";"emji_mains_qui_forment_un_coeur_peau_claire";" 3.778496e-44"
"  36";"  39";" 92.31";"  194.199";"mimi";" 3.854108e-44"
"  38";"  43";" 88.37";"  193.073";"emji_coeur_bleu";" 6.786384e-44"
"  41";"  50";" 82.00";"  187.567";"emji_coeur_vert";" 1.079864e-42"
"  72";" 128";" 56.25";"  184.628";"emji_visage_avec_lunettes_de_soleil";" 4.731451e-42"
"  51";"  73";" 69.86";"  184.543";"extraordinaire";" 4.937000e-42"
"  38";"  45";" 84.44";"  181.205";"emji_partition";" 2.643945e-41"
"  30";"  31";" 96.77";"  172.523";"carrie";" 2.080285e-39"
"  50";"  74";" 67.57";"  171.943";"emji_applaudissements_peau_claire";" 2.784244e-39"
"  39";"  49";" 79.59";"  170.975";"emji_coeur_violet";" 4.532019e-39"
"  32";"  35";" 91.43";"  170.368";"emji_fleur_de_cerisier";" 6.148063e-39"
"  33";"  37";" 89.19";"  169.805";"emji_coeur_avec_ruban";" 8.162723e-39"
