"";"X.rts_a";"X.rts_i"
"con";49,79;54,51
"pro_per";70,36;62,72
"ver";82,52;93,76
"pro_ind";14,2;15,79
"nr";44,66;35,58
"nom";182,01;177,46
"pro_dem";29,09;26,48
"aux";61,44;52,07
"art_def";90,73;93,84
"adj";55,05;57,71
"adv_sup";62,45;65,36
"pre";118,71;120,18
"adj_pos";10,55;9,57
"num";14,05;12,46
"ono";9,63;7,31
"pro_rel";21,8;27,23
"adv";10,36;12,77
"art_ind";32,07;34,98
"adj_ind";3,98;4,81
"ver_sup";22,37;22,79
"adj_dem";3,89;4,13
"nom_sup";5,81;4,76
"adj_num";1,47;1,05
"adj_sup";1,46;1,59
"adj_int";1,38;1
"pro_pos";0,17;0,11
