"";"X.rts_a";"X.rts_i"
"il";11,39;10,28
"y";4,12;4,37
"avoir";27,26;25,06
"des";19,21;20,92
"gens";2,1;1,54
"qui";11,67;11,7
"mourir";0,86;1,42
"de";33,99;43,14
"faim";0,58;1,89
"pour";12,64;15,84
"leur";4,86;3,07
"contre";0,39;0,59
"une";8,24;10,28
"maladie";0,51;0,35
"et";25,24;28,49
"faire";9,96;10,99
"la";18,63;26,24
"comme";5,37;5,32
"bête";1,83;1,3
"sauvage";4,51;0,83
"bravo";0,82;0,83
"l";12,68;12,65
"être";47,09;49,41
"humain";4,43;3,78
"vraiment";0,93;0,95
"devenir";1,13;1,3
"avec";5,87;4,49
"les";41,34;33,81
"c";16,37;17,85
"je";11,32;10,76
"que";13,61;16,08
"on";11,86;13,24
"m";1,01;0,95
"donc";1,94;2,25
"après";0,97;1,54
"emji_visage_qui_pleure";2,41;1,89
"pauvre";2,41;3,31
"comment";0,93;1,42
"s";3,34;4,14
"appeler";0,51;0,12
"le";17,77;18,56
"chien";2,8;5,56
"aller";4,63;6,5
"ta";0,27;0,59
"ailleurs";0,58;0,24
"place";0,27;0,83
"femme";0,89;0,47
"ne";18,74;16,43
"plus";8,21;8,51
"à";14,35;15,72
"depuis";1,4;1,18
"mais";7,19;8,04
"homme";1,17;0,71
"toujours";1,56;1,18
"se";5,37;4,73
"nourrir";7,04;1,42
"sans";1,4;2,25
"emji_visage_riant_aux_larmes";1,87;3,07
"tu";2,26;4,26
"peut_être";0,27;0,71
"falloir";2,57;3,19
"arrêter";0,54;1,77
"d";9,26;14,18
"enterrer";0,39;0
"vivant";0,89;1,65
"emji_visage_en_pleine_réflexion";0,39;0,35
"bouffer";0,82;0,47
"bien";5,6;2,96
"pas";20,77;21,28
"aujourd_hui";1,21;0,12
"grand";1,24;1,54
"élevage";0,62;0,47
"nos";1,36;1,89
"jour";1,79;1,3
"penser";1,83;0,83
"aux";2,49;1,54
"animal";12,76;16,55
"aussi";3,19;2,96
"vie";1,32;0,95
"emji_visage_déçu";0,58;1,42
"emji_visage_démoralisé_avec_goutte_de_sueur";0,27;0,95
"elle";7,16;2,25
"du";8,52;6,38
"abattre";0,43;0,24
"en";13,73;16,67
"raison";1,32;0,71
"son";2,49;0,95
"mettre";1,05;1,3
"bas";0,39;0,35
"dire";3,58;4,85
"domestique";0,58;0,71
"ça";8,32;8,16
"mes";1,13;1,3
"sous";0,23;0,47
"un";14,16;19,5
"petit";2,92;2,01
"dans";6,88;7,8
"jardin";1,28;1,3
"enfant";0,78;1,77
"emji_mains_en_prière";1,05;0,47
"sa";1,4;1,3
"mort";0,78;0,83
"ses";1,48;1,06
"nous";2,92;2,96
"parent";0,31;0,24
"devoir";2,53;2,36
"emji_jeune_pousse";0,19;0,59
"rien";2,02;1,54
"car";1,36;0,83
"ils";10,54;7,09
"sur";2,49;4,96
"1";0,23;0,71
"jamais";1,17;1,42
"parler";1,36;1,89
"ce";8,09;7,68
"j";6,81;4,02
"prendre";1,98;1,54
"puis";0,47;0,59
"sucre";0,35;0,35
"vous";7,43;7,33
"ni";0,51;1,54
"coeur";0,74;0,59
"maintenant";1,01;0,59
"tenir";0,43;0
"ramasser";0,35;0,24
"bon";2,84;3,43
"nature";1,59;0,83
"an";1,21;1,06
"même";3,5;3,43
"quand";3,85;3,19
"t";1,01;1,18
"toi";0,7;0,35
"si";4,59;5,56
"tout";4,71;5,67
"monde";1,17;1,06
"rester";1,44;1,65
"autant";0,74;0,95
"qu";8,79;7,45
"pouvoir";4,32;4,96
"madame";1,63;0
"empoisonner";0,51;0,35
"essayer";0,47;0,47
"me";2,33;1,3
"croire";0,7;1,3
"valoir";0,58;0,12
"juste";1,13;1,42
"chat";10,03;3,07
"tellement";0,89;0,95
"pourtant";0,35;0,59
"adorer";0,89;0,24
"mal";1,21;1,77
"retrouver";0,47;0,59
"cette";4,2;2,48
"emji_visage_avec_bouche_ouverte";0,66;0,35
"comprendre";1,32;1,06
"amour";1,13;0,12
"moi";2,76;1,18
"alors";1,83;2,84
"sortir";0,31;0,71
"décéder";0,43;0,47
"rat";0,35;0,95
"savoir";2,37;2,01
"monsieur";0,39;0,24
"encore";1,48;2,84
"non";2,26;3,78
"longtemps";0,31;0,59
"vrai";0,89;1,18
"cochon";0,47;0,83
"très";3,15;1,65
"intelligent";0,54;0
"10";0,31;0,47
"trouver";1,05;1,18
"terre";0,35;0,24
"sauf";0,43;0
"certains";0,51;0,83
"autres";1,21;2,13
"trop";1,63;1,18
"voir";4,16;3,78
"souvent";0,39;0,71
"parfois";0,58;0,12
