"";"*rts_a";"*rts_i"
"avec";461;808
"ou";404;734
"sans";219;346
"drogue";7;17
"à";1666;2768
"voir";570;844
"la";2799;4403
"tête";93;40
"de";4210;7010
"certains";84;120
"je";1597;2077
"me";357;348
"poser";124;127
"question";297;346
"quand";308;461
"on";1190;1858
"avoir";3382;4012
"lancer";7;30
"ce";1221;1819
"truc";40;39
"jamais";189;205
"penser";308;396
"qu";937;1303
"en";1578;2323
"parler";529;665
"40";17;13
"an";166;142
"plus";725;1071
"tard";19;23
"elles";124;141
"même";503;667
"couleur";43;29
"tout";617;791
"cas";112;221
"les";2397;3745
"petit";83;105
"être";5768;8190
"juste";229;380
"des";1552;2660
"enfant";135;119
"pouvoir";493;836
"peut_être";60;99
"remettre";62;82
"le";2409;3459
"système";12;58
"plutôt";75;156
"que";2009;3251
"juger";40;47
"coup";58;98
"terme";68;107
"sexiste";10;12
"deuxième";10;13
"slide";2;9
"rts";78;203
"qui";1363;2065
"dire";786;852
"aller";377;735
"bleu";4;9
"emji_homme_avec_la_paume_sur_le_visage";5;6
"c";2185;2979
"bien";671;776
"merci";240;237
"pr";8;15
"réponse";140;131
"et";2660;4011
"cet";70;71
"échange";13;19
"très";274;310
"constructif";6;18
"un";1491;2284
"plaisir";20;25
"vous";1095;2109
"aussi";300;366
"prendre";149;261
"pas";2504;3748
"mal";112;144
"une";1136;1835
"analyse";20;36
"correct";13;26
"peu";170;250
"moins";114;176
"maintenant";116;74
"comme";543;676
"ça";1045;1318
"elle";508;352
"aimer";161;106
"j";746;719
"adorer";50;11
"genre";101;245
"bravo";66;67
"par";365;640
"contre";61;191
"il";1320;1667
"y";574;807
"faute";96;93
"dans";720;1182
"traduction";8;4
"super";30;38
"ego";12;18
"se";457;841
"au";419;718
"sur";575;1016
"moi";225;233
"emji_visage_faisant_un_clin_d_oeil";136;94
"correction";6;4
"faire";1018;1721
"croire";138;184
"religieux";13;9
"historien";4;6
"ne";2219;3254
"s";405;594
"représenter";8;34
"l";1720;2546
"histoire";88;156
"emji_visage_riant_aux_larmes";450;454
"ptn";6;7
"gêner";17;20
"t";306;391
"fier";21;18
"clairement";39;86
"apprendre";53;75
"relire";20;47
"avant";171;229
"publier";14;37
"enfin";42;50
"d";1396;2298
"autres";158;268
"explication";16;28
"ils";454;787
"pour";1134;1972
"oui";283;401
"déjà";144;220
"ces";241;410
"français";276;167
"vocabulaire";47;8
"choisir";45;69
"phrase";60;57
"complexe";18;28
"voyage";4;11
"compte";96;165
"recommander";4;9
"chacun";53;44
"cela";184;257
"donner";123;242
"goût";11;15
"du";711;1073
"hasard";18;21
"découverte";6;10
"intéressant";70;55
"entendre";111;88
"son";274;295
"regard";11;14
"homme";589;467
"aujourd_hui";271;59
"sa";209;185
"jeunesse";11;1
"ses";125;199
"réflexion";44;43
"alors";209;380
"gros";41;65
"problème";104;285
"besoin";66;125
"montrer";55;147
"reconnaître";19;27
"suffire";27;68
"taper";15;18
"nom";147;45
"facebook";4;6
"savoir";348;439
"devenir";91;105
"etait";17;9
"ancien";35;8
"lol";43;28
"mon";198;326
"véritable";9;8
"intelligence";57;35
"gars";22;34
"écrire";134;231
"devoir";208;411
"là";159;251
"parce_que";116;194
"vraiment";150;247
"triste";23;37
"ok";44;54
"ca";65;101
"mais";997;1473
"ya";12;15
"tous";171;289
"monde";189;296
"commentaire";312;478
"car";164;193
"remarquer";45;35
"plusieurs";39;52
"vidéo";128;83
"essayer";63;105
"effort";19;33
"hyper";11;21
"sensible";14;6
"différence";50;61
"drôle";20;21
"pensée";32;25
"culturel";7;18
"si";591;936
"qqn";8;18
"vouloir";244;449
"faux";106;197
"passer";92;191
"important";37;67
"préciser";12;19
"personne";291;504
"aux";161;284
"cheveu";13;9
"presque";23;24
"oublier";32;58
"chouette";9;2
"sujet";117;283
"mr";8;8
"georges";48;1
"tu";738;950
"mettre";122;271
"post";13;76
"projet";4;10
"non";334;491
"conclusion";13;21
"chef";16;18
"oeuvre";9;12
"seulement";43;58
"emji_visage_qui_pleure";102;103
"toute";72;109
"façon";62;76
"suisse";158;352
"exister";173;132
"politiquement";4;19
"diviser";11;13
"habiter";12;15
"peuple";12;63
"différents";15;20
"accorder";3;14
"te";190;241
"coucher";9;8
"pays";60;246
"fonctionner";14;31
"mieux";131;165
"3";40;69
"langue";81;124
"sérieux";41;71
"beaucoup";158;200
"votre";197;478
"page";15;37
"svp";45;55
"après";107;160
"médiocrité";1;9
"cher";25;20
"inclure";4;10
"vos";79;181
"posts";4;6
"lien";22;35
"trouver";207;240
"version";6;4
"long";35;60
"celle_ci";5;7
"oeil";29;40
"emji_drapeau_suisse";17;26
"moment";49;79
"archive";79;0
"rester";97;191
"ma";104;133
"manquer";54;83
"culte";11;4
"radio";14;2
"romand";5;5
"regarder";116;130
"emji_visage_avec_bouche_ouverte";61;38
"emji_visage_souriant_avec_yeux_rieurs";60;22
"marrant";24;20
"ceux";90;174
"crier";10;17
"scandale";7;19
"direct";14;16
"tour";6;11
"chien";7;4
"mauvais";65;77
"eux";66;120
"leur";240;397
"sembler";70;84
"aberrant";3;9
"selon";25;43
"aucune";63;129
"logique";31;50
"exprimer";90;55
"bêtement";4;7
"suivant";7;8
"pauvre";40;37
"bête";31;11
"servir";30;83
"justement";57;133
"demander";128;184
"quel";114;139
"jour";51;92
"emji_coeur_rouge";95;32
"mdrrr";13;9
"hein";35;47
"quoi";208;369
"comprendre";365;471
"grave";42;49
"éclater";4;6
"ton";166;276
"signe";10;9
"hauteur";10;8
"tel";18;30
"voix";29;41
"perdre";39;68
"connerie";27;38
"présenter";30;43
"insta";22;26
"emji_se_rouler_par_terre_de_rire";57;80
"bah";51;78
"tort";21;19
"raison";186;199
"quelle";94;105
"profondeur";6;6
"diversité";8;8
"attitude";7;4
"excellent";25;11
"refaire";18;13
"interview";27;12
"auprès_de";5;6
"mes";74;89
"e";14;43
"dernier";45;55
"meilleur";36;55
"avis";76;145
"exactement";97;100
"m";169;167
"falloir";268;485
"25";12;19
"traumatisme";12;3
"eau";14;18
"où";142;254
"sortir";40;84
"cacher";11;42
"développer";12;15
"purée";3;12
"pousser";19;32
"image";27;51
"voilà";43;67
"pourquoi";161;235
"bébé";11;9
"réflexe";4;10
"naturel";39;12
"balancer";11;24
"choquer";55;34
"moyen";19;42
"cool";8;12
"autre";153;204
"fois";92;175
"haha";11;13
"ni";96;127
"peur";39;58
"également";26;53
"importer";98;178
"connaître";154;180
"participer";6;13
"cours";14;29
"confondre";18;39
"ami";48;33
"inculte";5;10
"venir";163;193
"toujours";249;236
"comment";104;158
"parent";15;18
"imposer";13;25
"propre";44;75
"idiot";16;5
"souvenir";37;9
"mdr";29;52
"instruire";9;2
"emji_pouce_vers_le_haut";23;24
"définir";15;12
"type";39;59
"parisien";9;5
"changer";124;95
"conversation";9;9
"donc";207;395
"excuser";32;33
"mélanger";9;24
"premier";91;127
"classe";41;30
"con";35;11
"nan";22;22
"intéresser";29;44
"bout";8;31
"arrêter";77;171
"blâmer";6;12
"mec";51;40
"mtn";20;6
"croiser";6;8
"meuf";13;7
"rue";11;33
"connaissance";32;37
"agression";11;28
"bon";275;422
"insulter";43;41
"gens";266;442
"élevé";11;11
"femme";643;601
"traiter";46;88
"notre";108;182
"société";77;188
"entre";83;138
"insulte";6;7
"sexisme";5;8
"violence";24;175
"conjugal";2;14
"viol";6;12
"etc";45;84
"bcp";16;21
"trop";124;190
"vérité";66;87
"dur";7;17
"accepter";34;53
"courage";18;38
"toi";201;236
"emji_visage_souriant_aux_yeux_rieurs";23;15
"souvent";39;92
"réussir";11;34
"adapter";12;22
"irrespectueux";6;4
"ta";91;117
"manière";74;117
"vulgaire";7;3
"courir";27;38
"lieu";39;97
"beau";163;91
"reprocher";10;26
"draguer";16;4
"nos";79;137
"p";11;23
"déranger";33;56
"expliquer";64;104
"discuter";18;51
"réaction";18;26
"mot";228;146
"comportement";32;40
"signaler";5;11
"plaire";40;49
"parole";22;25
"point";63;148
"rien";309;440
"harcèlement";3;8
"activité";9;6
"deux";60;108
"thème";11;8
"commencer";26;87
"ressentir";22;11
"relation";6;34
"amour";18;8
"rencontre";12;4
"simple";57;59
"mari";21;10
"offrir";6;19
"âme";17;9
"partager";36;62
"coeur";34;27
"riche";14;23
"fou";48;54
"tant";54;113
"travailler";32;64
"salaire";4;18
"lire";134;274
"part";73;138
"absolument";68;103
"emji_mains_levées";38;30
"péjoratif";36;1
"préférer";39;44
"aborder";3;13
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";49;13
"info";35;80
"côté";45;89
"supposer";12;10
