"";"X.rts_a";"X.rts_i"
"avec";-2,542;2,542
"ou";-3,1474;3,1474
"sans";-0,5753;0,5753
"drogue";-0,7256;0,7256
"à";-3,6502;3,6502
"voir";0,3389;-0,3389
"la";-1,8886;1,8886
"tête";11,4441;-11,4441
"de";-8,4154;8,4154
"certains";0,3901;-0,3901
"je";4,6931;-4,6931
"me";7,964;-7,964
"poser";2,7371;-2,7371
"question";2,9746;-2,9746
"quand";-0,305;0,305
"on";-0,9587;0,9587
"avoir";22,5265;-22,5265
"lancer";-2,2853;2,2853
"ce";0,304;-0,304
"truc";1,4215;-1,4215
"jamais";3,0101;-3,0101
"penser";1,5526;-1,5526
"qu";1,2723;-1,2723
"en";0,4541;-0,4541
"parler";2,7264;-2,7264
"40";1,3033;-1,3033
"an";6,1296;-6,1296
"plus";0,3653;-0,3653
"tard";0,5223;-0,5223
"elles";1,7854;-1,7854
"même";1,5994;-1,5994
"couleur";3,2096;-3,2096
"tout";2,5722;-2,5722
"cas";-2,0725;2,0725
"les";-1,4346;1,4346
"petit";0,8307;-0,8307
"être";2,7328;-2,7328
"juste";-0,9684;0,9684
"des";-5,2584;5,2584
"enfant";4,7257;-4,7257
"pouvoir";-1,913;1,913
"peut_être";-0,5278;0,5278
"remettre";0,5787;-0,5787
"le";1,112;-1,112
"système";-4,5077;4,5077
"plutôt";-2,0122;2,0122
"que";-2,7279;2,7279
"juger";0,8003;-0,8003
"coup";-0,5997;0,5997
"terme";-0,4028;0,4028
"sexiste";0,4192;-0,4192
"deuxième";0,3474;-0,3474
"slide";-0,9317;0,9317
"rts";-5,0058;5,0058
"qui";-0,481;0,481
"dire";10,1526;-10,1526
"aller";-4,9926;4,9926
"bleu";-0,457;0,457
"emji_homme_avec_la_paume_sur_le_visage";0,3269;-0,3269
"c";3,1424;-3,1424
"bien";6,072;-6,072
"merci";5,3602;-5,3602
"pr";-0,4168;0,4168
"réponse";4,088;-4,088
"et";-0,4803;0,4803
"cet";1,8572;-1,8572
"échange";0,2638;-0,2638
"très";3,2835;-3,2835
"constructif";-1,0287;1,0287
"un";-0,6717;0,6717
"plaisir";0,4836;-0,4836
"vous";-11,8015;11,8015
"aussi";2,2469;-2,2469
"prendre";-1,1965;1,1965
"pas";-0,3498;0,3498
"mal";0,8771;-0,8771
"une";-1,7635;1,7635
"analyse";-0,527;0,527
"correct";-0,615;0,615
"peu";0,3346;-0,3346
"moins";-0,3863;0,3863
"maintenant";8,3097;-8,3097
"comme";3,012;-3,012
"ça";4,5427;-4,5427
"elle";28,4846;-28,4846
"aimer";10,6126;-10,6126
"j";16,3716;-16,3716
"adorer";10,5859;-10,5859
"genre";-4,836;4,836
"bravo";1,7773;-1,7773
"par";-2,1534;2,1534
"contre";-7,1445;7,1445
"il";5,4637;-5,4637
"y";0,8352;-0,8352
"faute";2,7124;-2,7124
"dans";-1,6661;1,6661
"traduction";1,2328;-1,2328
"super";0,5361;-0,5361
"ego";-0,2425;0,2425
"se";-3,8499;3,8499
"au";-1,9081;1,9081
"sur";-3,2479;3,2479
"moi";4,2192;-4,2192
"emji_visage_faisant_un_clin_d_oeil";8,3143;-8,3143
"correction";0,7731;-0,7731
"faire";-3,1373;3,1373
"croire";0,7592;-0,7592
"religieux";1,2467;-1,2467
"historien";-0,201;0,201
"ne";0,5618;-0,5618
"s";0,3871;-0,3871
"représenter";-2,5102;2,5102
"l";0,3853;-0,3853
"histoire";-0,9661;0,9661
"emji_visage_riant_aux_larmes";8,5583;-8,5583
"ptn";0,3667;-0,3667
"gêner";0,5407;-0,5407
"t";1,6249;-1,6249
"fier";1,2368;-1,2368
"clairement";-1,6122;1,6122
"apprendre";0,379;-0,379
"relire";-1,2705;1,2705
"avant";0,8087;-0,8087
"publier";-1,3797;1,3797
"enfin";0,7814;-0,7814
"d";-2,7621;2,7621
"autres";-0,9676;0,9676
"explication";-0,439;0,439
"ils";-2,262;2,262
"pour";-4,7837;4,7837
"oui";0,5729;-0,5729
"déjà";-0,3638;0,3638
"ces";-1,2532;1,2532
"français";20,3683;-20,3683
"vocabulaire";11,2798;-11,2798
"choisir";-0,3164;0,3164
"phrase";2,0208;-2,0208
"complexe";-0,294;0,294
"voyage";-0,6696;0,6696
"compte";-0,8298;0,8298
"recommander";-0,457;0,457
"chacun";2,5661;-2,5661
"cela";0,5785;-0,5785
"donner";-2,1829;2,1829
"goût";0,3146;-0,3146
"du";-0,3852;0,3852
"hasard";0,5665;-0,5665
"découverte";-0,2819;0,2819
"intéressant";3,6105;-3,6105
"entendre";5,2201;-5,2201
"son";4,1926;-4,1926
"regard";0,3768;-0,3768
"homme";24,1046;-24,1046
"aujourd_hui";54,5103;-54,5103
"sa";6,8156;-6,8156
"jeunesse";3,4806;-3,4806
"ses";-0,5177;0,5177
"réflexion";1,5053;-1,5053
"alors";-1,9458;1,9458
"gros";-0,3767;0,3767
"problème";-7,6738;7,6738
"besoin";-1,1827;1,1827
"montrer";-4,0661;4,0661
"reconnaître";0,3082;-0,3082
"suffire";-1,9279;1,9279
"taper";0,4881;-0,4881
"nom";23,9816;-23,9816
"facebook";-0,201;0,201
"savoir";1,959;-1,959
"devenir";1,3652;-1,3652
"etait";2,0866;-2,0866
"ancien";7,4284;-7,4284
"lol";3,3922;-3,3922
"mon";-0,8376;0,8376
"véritable";0,6939;-0,6939
"intelligence";4,7069;-4,7069
"gars";-0,296;0,296
"écrire";-1,0037;1,0037
"devoir";-3,3353;3,3353
"là";-0,5155;0,5155
"parce_que";-0,7475;0,7475
"vraiment";-0,7397;0,7397
"triste";-0,3544;0,3544
"ok";0,7098;-0,7098
"ca";-0,3658;0,3658
"mais";0,379;-0,379
"ya";0,4055;-0,4055
"tous";-0,979;0,979
"monde";-0,5001;0,5001
"commentaire";-0,4325;0,4325
"car";1,8243;-1,8243
"remarquer";2,5854;-2,5854
"plusieurs";0,4754;-0,4754
"vidéo";8,8366;-8,8366
"essayer";-0,5706;0,5706
"effort";-0,4535;0,4535
"hyper";-0,4983;0,4983
"sensible";2,1733;-2,1733
"différence";0,7719;-0,7719
"drôle";0,7798;-0,7798
"pensée";1,9762;-1,9762
"culturel";-0,8234;0,8234
"si";-0,8842;0,8842
"qqn";-0,6553;0,6553
"vouloir";-2,3697;2,3697
"faux";-1,4288;1,4288
"passer";-2,3154;2,3154
"important";-0,7027;0,7027
"préciser";-0,2898;0,2898
"personne";-1,6526;1,6526
"aux";-1,3183;1,3183
"cheveu";1,2467;-1,2467
"presque";0,8537;-0,8537
"oublier";-0,6604;0,6604
"chouette";2,2153;-2,2153
"sujet";-5,4245;5,4245
"mr";0,5407;-0,5407
"georges";17,5565;-17,5565
"tu";2,8289;-2,8289
"mettre";-3,9387;3,9387
"post";-6,8233;6,8233
"projet";-0,5597;0,5597
"non";0,3632;-0,3632
"conclusion";-0,3151;0,3151
"chef";0,5907;-0,5907
