"";"X.rts_a";"X.rts_i"
"emji_visage_avec_un_sourire_malin";1,69;1,89
"emji_visage_riant_aux_larmes";215,3;132,23
"vide_aucun_emji";517,26;636,38
"emji_visage_souriant_avec_yeux_rieurs";8,1;2,38
"emji_se_rouler_par_terre_de_rire";32,88;20,4
"emji_visage_souriant_avec_une_goutte_de_sueur";17,18;9,87
"emji_feu";17,95;14,19
"emji_yeux";1,27;2,01
"emji_visage_avec_lunettes_de_soleil";1,88;0,9
"emji_ok";2,57;1,23
"emji_trinquer";0,28;0,26
"emji_applaudissements";40,04;34,02
"emji_ok_peau_claire";0,58;0,4
"emji_homme_avec_la_paume_sur_le_visage";0,46;1,13
"emji_visage_qui_hurle_de_peur";3,5;3,02
"emji_applaudissements_peau_claire";1,13;1,68
"emji_drapeau_suisse";5,65;7,7
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";0,58;0,92
"emji_visage_souriant_aux_yeux_rieurs";6,23;2,38
"emji_visage_envoyant_un_bisou";2,78;1,68
"emji_visage_avec_bouche_ouverte";10,54;9,23
"emji_visage_avec_un_doigt_sur_la_bouche";0,53;0,52
"emji_soleil";0,72;0,26
"emji_visage_rieur";1,51;0,24
"emji_pouce_vers_le_haut";8,87;3
"emji_pouce_vers_le_haut_peau_moyennement_claire";0,92;0,5
"emji_cornes_avec_les_doigts";0,74;0,59
"emji_v_de_la_victoire_peau_moyennement_claire";0,09;0,19
"emji_visage_avec_masque";0,19;0,09
"emji_visage_qui_pleure";21,67;25,66
"emji_visage_avec_une_main_sur_la_bouche";2,09;0,9
"emji_visage_souriant";2,71;0,94
"emji_couronne";0,56;0,19
"emji_feuille";0,42;0,42
"emji_visage_de_clown";1,37;3,14
"emji_visage_de_geek";0,97;1,51
"emji_cotillons";0,63;0,61
"emji_papillon";0,37;0,05
"emji_notes_de_musique";2,57;0,33
"emji_visage_roulant_des_yeux";4,44;6,78
"emji_fondue";0,39;0,24
"emji_visage_souriant_avec_une_larme";2,24;2,12
"emji_miam";0,81;0,24
"emji_visage_souriant_avec_de_grands_yeux";1,53;0,61
"emji_visage_qui_vomit";1,23;1,16
"emji_visage_qui_bave";0,14;0,09
"emji_drapeau_belgique";0,16;0,02
"emji_cerveau";0,11;0,14
"emji_visage_qui_rougit";1,65;1,46
"emji_visage_boudeur";2,57;7,11
"emji_singe_ne_rien_voir";1,48;1,18
"emji_colombe";0,79;3
"emji_visage_implorant";1,32;0,45
"emji_abeille";0,4;0,05
"emji_chat_qui_sourit_avec_des_yeux_rieurs";0,09;0,14
"emji_cent_points";0,62;0,28
"emji_applaudissements_peau_moyennement_claire";1,43;1,37
"emji_explosion";0,42;0,42
"emji_visage_festif";1,06;2,05
"emji_pouce_vers_le_haut_peau_claire";1,67;1,37
"emji_ok_peau_moyennement_claire";0,56;0,26
"emji_visage_avec_des_symboles_dans_la_bouche";1,25;4,96
"emji_signe_de_la_main";0,79;0,28
"emji_tulipe";0,28;0
"emji_nuage_avec_neige";0,35;0,05
"emji_flocon";0,74;0,24
"emji_part_de_fromage";0,05;0,28
