"";"V1"
"1";2
"2";0
"3";0
"4";3
"5";1
"6";0
"7";2
"8";3
"9";0
"10";0
"11";2
"12";0
"13";0
"14";0
"15";3
"16";3
"17";2
"18";0
"19";0
"20";0
"21";0
"22";0
"23";0
"24";1
"25";3
"26";1
"27";0
"28";0
"29";0
"30";0
"31";0
"32";0
"33";0
"34";3
"35";3
"36";3
"37";3
"38";1
"39";1
"40";0
"41";3
"42";2
"43";3
"44";3
"45";0
"46";0
"47";3
"48";3
"49";0
"50";0
"51";2
"52";3
"53";2
"54";0
"55";0
"56";1
"57";3
"58";3
"59";1
"60";3
"61";0
"62";3
"63";1
"64";0
"65";2
"66";3
"67";0
"68";0
"69";0
"70";0
"71";3
"72";0
"73";2
"74";2
"75";0
"76";0
"77";0
"78";1
"79";0
"80";0
"81";1
"82";0
"83";0
"84";1
"85";1
"86";0
"87";1
"88";1
"89";0
"90";0
"91";0
"92";0
"93";0
"94";0
"95";0
"96";0
"97";0
"98";0
"99";2
"100";1
"101";3
"102";0
"103";0
"104";0
"105";3
"106";2
"107";3
"108";3
"109";3
"110";3
"111";0
"112";3
"113";3
"114";0
"115";3
"116";1
"117";3
"118";3
"119";3
"120";0
"121";0
"122";0
"123";3
"124";0
"125";3
"126";2
"127";3
"128";3
"129";2
"130";2
"131";3
"132";3
"133";3
"134";0
"135";0
"136";0
"137";0
"138";3
"139";0
"140";3
"141";3
"142";2
"143";3
"144";3
"145";2
"146";2
"147";3
"148";3
"149";0
"150";3
"151";3
"152";2
"153";3
"154";0
"155";0
"156";3
"157";3
"158";0
"159";0
"160";0
"161";0
"162";3
"163";3
"164";0
"165";2
"166";0
"167";2
"168";3
"169";3
"170";0
"171";0
"172";0
"173";1
"174";1
"175";0
"176";0
"177";0
"178";3
"179";1
"180";0
"181";1
"182";0
"183";1
"184";3
"185";1
"186";0
"187";1
"188";0
"189";0
"190";0
"191";2
"192";0
"193";0
"194";0
"195";0
"196";0
"197";2
"198";3
"199";3
"200";0
"201";0
"202";3
"203";2
"204";0
"205";0
"206";1
"207";3
"208";2
"209";1
"210";0
"211";0
"212";1
"213";1
"214";0
"215";1
"216";0
"217";0
"218";3
"219";0
"220";0
"221";2
"222";0
"223";0
"224";0
"225";1
"226";0
"227";0
"228";0
"229";0
"230";0
"231";0
"232";1
"233";0
"234";0
"235";3
"236";0
"237";0
"238";0
"239";0
"240";0
"241";0
"242";0
"243";0
"244";0
"245";2
"246";0
"247";0
"248";3
"249";0
"250";0
"251";0
"252";0
"253";1
"254";0
"255";0
"256";3
"257";0
"258";1
"259";3
"260";0
"261";2
"262";2
"263";2
"264";0
"265";3
"266";1
"267";0
"268";0
"269";0
"270";0
"271";0
"272";1
"273";1
"274";0
"275";0
"276";1
"277";3
"278";0
"279";0
"280";0
"281";3
"282";0
"283";0
"284";3
"285";3
"286";2
"287";0
"288";0
"289";3
"290";3
"291";0
"292";3
"293";2
"294";1
"295";0
"296";1
"297";0
"298";0
"299";0
"300";0
"301";0
"302";1
"303";0
"304";0
"305";0
"306";0
"307";2
"308";0
"309";0
"310";0
"311";0
"312";1
"313";0
"314";0
"315";3
"316";0
"317";3
"318";0
"319";0
"320";2
"321";0
"322";2
"323";0
"324";0
"325";0
"326";0
"327";0
"328";2
"329";2
"330";0
"331";0
"332";3
"333";2
"334";0
"335";3
"336";0
"337";3
"338";2
"339";2
"340";3
"341";3
"342";0
"343";0
"344";3
"345";0
"346";2
"347";1
"348";0
"349";0
"350";0
"351";1
"352";0
"353";0
"354";0
"355";0
"356";0
"357";0
"358";0
"359";1
"360";0
"361";1
"362";1
"363";0
"364";0
"365";0
"366";0
"367";3
"368";0
"369";0
"370";1
"371";2
"372";0
"373";3
"374";1
"375";1
"376";1
"377";1
"378";0
"379";0
"380";1
"381";2
"382";3
"383";0
"384";3
"385";0
"386";0
"387";3
"388";0
"389";0
"390";0
"391";0
"392";1
"393";0
"394";0
"395";0
"396";1
"397";0
"398";1
"399";1
"400";0
"401";1
"402";0
"403";0
"404";0
"405";0
"406";0
"407";0
"408";0
"409";0
"410";0
"411";1
"412";3
"413";3
"414";3
"415";0
"416";0
"417";2
"418";0
"419";0
"420";0
"421";1
"422";0
"423";3
"424";0
"425";1
"426";2
"427";1
"428";3
"429";3
"430";3
"431";0
"432";3
"433";0
"434";0
"435";0
"436";0
"437";1
"438";3
"439";3
"440";3
"441";0
"442";0
"443";3
"444";1
"445";3
"446";3
"447";3
"448";0
"449";0
"450";0
"451";0
"452";0
"453";0
"454";0
"455";3
"456";0
"457";3
"458";0
"459";3
"460";0
"461";3
"462";2
"463";0
"464";3
"465";0
"466";3
"467";3
"468";0
"469";3
"470";0
"471";0
"472";3
"473";2
"474";3
"475";0
"476";0
"477";3
"478";3
"479";0
"480";0
"481";0
"482";0
"483";3
"484";3
"485";0
"486";3
"487";0
"488";0
"489";3
"490";0
"491";0
"492";3
"493";0
"494";0
"495";3
"496";2
"497";0
"498";3
"499";3
"500";3
"501";0
"502";3
"503";2
"504";3
"505";3
"506";3
"507";3
"508";0
"509";0
"510";2
"511";3
"512";3
"513";0
"514";0
"515";0
"516";0
"517";0
"518";0
"519";0
"520";0
"521";3
"522";0
"523";0
"524";0
"525";3
"526";0
"527";3
"528";0
"529";0
"530";0
"531";0
"532";0
"533";0
"534";0
"535";0
"536";0
"537";1
"538";0
"539";0
"540";3
"541";0
"542";1
"543";1
"544";2
"545";2
"546";3
"547";2
"548";0
"549";0
"550";0
"551";0
"552";0
"553";0
"554";3
"555";0
"556";0
"557";2
"558";0
"559";0
"560";2
"561";0
"562";0
"563";0
"564";0
"565";0
"566";0
"567";0
"568";0
"569";0
"570";3
"571";2
"572";0
"573";0
"574";0
"575";0
"576";0
"577";0
"578";0
"579";0
"580";3
"581";0
"582";2
"583";0
"584";3
"585";0
"586";0
"587";0
"588";0
"589";0
"590";0
"591";0
"592";0
"593";0
"594";0
"595";0
"596";0
"597";3
"598";2
"599";0
"600";0
"601";3
"602";0
"603";0
"604";3
"605";1
"606";2
"607";0
"608";0
"609";0
"610";0
"611";0
"612";0
"613";0
"614";0
"615";0
"616";0
"617";0
"618";0
"619";0
"620";0
"621";1
"622";0
"623";0
"624";0
"625";0
"626";0
"627";0
"628";1
"629";1
"630";0
"631";0
"632";0
"633";0
"634";0
"635";0
"636";0
"637";0
"638";0
"639";0
"640";0
"641";0
"642";0
"643";3
"644";0
"645";0
"646";1
"647";0
"648";0
"649";0
"650";0
"651";0
"652";0
"653";0
"654";0
"655";0
"656";3
"657";3
"658";2
"659";0
"660";2
"661";0
"662";0
"663";1
"664";0
"665";2
"666";0
"667";0
"668";0
"669";0
"670";0
"671";0
"672";0
"673";0
"674";0
"675";0
"676";0
"677";0
"678";1
"679";0
"680";0
"681";0
"682";0
"683";0
"684";0
"685";0
"686";0
"687";0
"688";0
"689";0
"690";0
"691";3
"692";3
"693";0
"694";3
"695";3
"696";0
"697";0
"698";0
"699";0
"700";1
"701";0
"702";0
"703";0
"704";3
"705";0
"706";3
"707";3
"708";0
"709";0
"710";0
"711";0
"712";0
"713";0
"714";0
"715";0
"716";2
"717";0
"718";1
"719";0
"720";0
"721";3
"722";0
"723";2
"724";2
"725";0
"726";3
"727";0
"728";3
"729";0
"730";3
"731";3
"732";0
"733";2
"734";0
"735";0
"736";0
"737";0
"738";3
"739";0
"740";1
"741";0
"742";0
"743";0
"744";0
"745";0
"746";0
"747";3
"748";3
"749";2
"750";0
"751";0
"752";0
"753";3
"754";0
"755";0
"756";0
"757";0
"758";0
"759";0
"760";0
"761";3
"762";0
"763";1
"764";3
"765";0
"766";0
"767";0
"768";0
"769";0
"770";3
"771";0
"772";0
"773";0
"774";2
"775";0
"776";0
"777";0
"778";0
"779";0
"780";0
"781";0
"782";0
"783";0
"784";0
"785";0
"786";0
"787";0
"788";0
"789";0
"790";3
"791";3
"792";0
"793";0
"794";3
"795";0
"796";0
"797";0
"798";0
"799";0
"800";0
"801";0
"802";3
"803";0
"804";0
"805";0
"806";0
"807";0
"808";0
"809";0
"810";0
"811";2
"812";0
"813";0
"814";1
"815";0
"816";2
"817";0
"818";0
"819";0
"820";0
"821";0
"822";0
"823";0
"824";0
"825";0
"826";0
"827";0
"828";0
"829";0
"830";0
"831";0
"832";0
"833";0
"834";0
"835";0
"836";0
"837";1
"838";0
"839";0
"840";1
"841";0
"842";0
"843";0
"844";0
"845";0
"846";0
"847";0
"848";0
"849";0
"850";0
"851";0
"852";0
"853";0
"854";0
"855";0
"856";0
"857";0
"858";0
"859";1
"860";0
"861";0
"862";0
"863";1
"864";0
"865";0
"866";0
"867";0
"868";0
"869";0
"870";0
"871";3
"872";0
"873";3
"874";0
"875";0
"876";0
"877";0
"878";1
"879";2
"880";0
"881";0
"882";3
"883";0
"884";2
"885";0
"886";0
"887";0
"888";0
"889";1
"890";0
"891";0
"892";0
"893";2
"894";3
"895";0
"896";3
"897";2
"898";0
"899";0
"900";1
"901";3
"902";0
"903";0
"904";0
"905";0
"906";0
"907";1
"908";0
"909";0
"910";0
"911";0
"912";0
"913";0
"914";0
"915";0
"916";0
"917";0
"918";0
"919";0
"920";0
"921";0
"922";0
"923";0
"924";0
"925";3
"926";2
"927";0
"928";3
"929";3
"930";3
"931";3
"932";3
"933";3
"934";0
"935";0
"936";0
"937";0
"938";3
"939";3
"940";2
"941";3
"942";0
"943";0
"944";0
"945";2
"946";0
"947";0
"948";0
"949";1
"950";0
"951";3
"952";3
"953";0
"954";0
"955";1
"956";0
"957";0
"958";1
"959";0
"960";0
"961";0
"962";0
"963";0
"964";0
"965";0
"966";0
"967";0
"968";0
"969";1
"970";3
"971";1
"972";0
"973";0
"974";0
"975";0
"976";0
"977";1
"978";0
"979";2
"980";0
"981";1
"982";0
"983";2
"984";0
"985";0
"986";3
"987";1
"988";0
"989";0
"990";0
"991";0
"992";3
"993";3
"994";0
"995";3
"996";0
"997";0
"998";0
"999";1
"1000";0
"1001";0
"1002";3
"1003";2
"1004";0
"1005";0
"1006";0
"1007";0
"1008";2
"1009";2
"1010";0
"1011";0
"1012";0
"1013";0
"1014";0
"1015";0
