"";"";"";"";"manger";""
"1";"manger";"0.625542887070976";"-0.617833633805898";"1.1207411051761";"34"
"2";"emji_mains_levées";"-2.9452429616782";"0.387214033083347";"1.10066140385714";"38"
"3";"science";"0.740646797373495";"-0.909190595973512";"0.977329736541608";"67"
"4";"question";"0.574702374488508";"-0.566504309037105";"0.967974968386487";"70"
"5";"humain";"0.340690478463598";"-0.990597326867073";"0.957627642762004";"75"
"6";"concours";"0.197084805979417";"-0.285324328675758";"0.957412658712517";"76"
"7";"emji_visage_avec_des_étoiles_à_la_place_des_yeux";"-3.20540981860042";"0.410305373693982";"0.955434614360309";"78"
"8";"chien";"0.709140632706143";"-1.09990131641945";"0.952980165354439";"79"
"9";"foi";"0.445418323016578";"-0.819310317033679";"0.948631945743759";"83"
"10";"wallah";"1.00885276971362";"-0.534892467091804";"0.946438344051265";"85"
"11";"emji_pouce_vers_le_haut";"-2.66143333119884";"0.387309785066489";"0.939344443709011";"90"
"12";"religion";"0.660838511019682";"-0.807543097613152";"0.938365836315749";"91"
"13";"créateur";"0.783778799215359";"-1.00950561684223";"0.938065240840333";"93"
"14";"terre";"0.407997556144406";"-0.864037663894955";"0.929112540631985";"98"
"15";"tuer";"0.602871265852536";"-0.990126464461331";"0.92726291341867";"100"
"16";"réchauffement";"0.758313120879313";"-1.10578670304841";"0.925933834250512";"102"
"17";"nourriture";"0.808332930435754";"-1.02377378591897";"0.923448427541515";"103"
"18";"hui";"0.127435908962792";"-0.47333586505241";"0.922877812099945";"104"
"19";"univers";"0.309918253321162";"-0.811749504900085";"0.922868448350234";"105"
"20";"chrétien";"0.720454853750415";"-0.744933022534641";"0.920482220949401";"108"
"21";"calculatrice";"0.0335387027316883";"-0.284968271850545";"0.916282674752499";"110"
"22";"croyant";"0.555417586110194";"-1.05260184630923";"0.915289543992338";"111"
"23";"insulter";"0.833432315858001";"-0.617926457640154";"0.912353912909484";"115"
"24";"prouver";"0.65346265523093";"-0.813425334579161";"0.908691349093966";"117"
"25";"aujourd";"0.0917344306327248";"-0.434524594612275";"0.908389415940021";"118"
"26";"migros";"0.773773659323142";"-1.24084983940473";"0.907533301680732";"120"
"27";"existence";"0.46423396813514";"-0.571675079085061";"0.899791773832958";"125"
"28";"lapin";"0.691912743140227";"-1.16826123494103";"0.89971686383527";"126"
"29";"pain";"0.609465755763378";"-0.714459834805927";"0.899317662342491";"128"
"30";"cheville";"0.214094330968408";"0.0942095546000905";"0.896400376565192";"131"
"31";"plastique";"0.778680218197663";"-0.139529222542545";"0.895014350511037";"135"
"32";"désigner";"1.01039091556154";"-0.53936825624883";"0.888277610336329";"140"
"33";"payer";"0.545831086673398";"-0.484315469580216";"0.886322306519133";"142"
"34";"population";"0.701746763081312";"-0.934556056421402";"0.886113246474566";"143"
"35";"emji_étincelles";"-2.89830576326455";"0.401546707205702";"0.885921002960092";"145"
"36";"niveau";"0.533418130027562";"-0.596447623916027";"0.885179164666664";"147"
"37";"poser";"0.604279837140107";"-0.472926428448551";"0.884214316252568";"149"
"38";"bête";"0.58977802491028";"-0.881832316796673";"0.883398523446117";"150"
"39";"emji_coeur_cartes";"-3.22011751208184";"0.377570935324594";"0.882976581418325";"151"
"40";"génération";"0.28556406974558";"-0.503444651440754";"0.882896893997315";"152"
"41";"lire";"0.583249232287287";"-0.526053458984367";"0.882486226688563";"154"
"42";"voiture";"0.531431694698609";"-0.354115773192388";"0.881789487271294";"156"
"43";"heureux";"-0.279556776515402";"-0.528758548393585";"0.881783563266375";"157"
"44";"humanité";"0.262608661793493";"-0.820332550274297";"0.881705977911627";"159"
"45";"fille";"0.163273814878549";"-0.38794322886589";"0.881402898176084";"161"
"46";"second";"0.728872260473583";"-0.847942956295458";"0.880542006493474";"162"
"47";"vérité";"0.325740078017126";"-0.510550952003291";"0.879926865466543";"163"
"48";"ardoise";"0.091734430632726";"-0.434524594612275";"0.879464793082847";"164"
"49";"imier";"0.091734430632726";"-0.434524594612275";"0.879464793082847";"165"
"50";"jeune";"0.199970845291686";"-0.495937141523713";"0.879354912346443";"166"
"51";"vidéo";"0.267867172792783";"-0.380224245098257";"0.878900483840062";"167"
"52";"vrai";"-0.119064994276092";"-0.186566434378644";"0.876687199163482";"174"
"53";"connotation";"1.20406776333676";"-0.569372222226672";"0.875942303319128";"175"
"54";"jour";"0.437034551901784";"-0.107784600508923";"0.875861278219588";"176"
"55";"poubelle";"0.530205820600924";"-1.17513921670528";"0.874295812145461";"177"
"56";"caisse";"0.527824044830404";"-0.467304297776536";"0.874120767354946";"178"
