"";"X";"V1"
"1";1;8
"2";2;6
"3";3;8
"4";4;8
"5";5;1
"6";6;8
"7";7;6
"8";8;1
"9";9;8
"10";10;1
"11";11;1
"12";12;8
"13";13;8
"14";14;8
"15";15;8
"16";16;6
"17";17;7
"18";18;6
"19";19;1
"20";20;6
"21";21;6
"22";22;6
"23";23;7
"24";24;1
"25";25;8
"26";26;8
"27";27;7
"28";28;1
"29";29;1
"30";30;8
"31";31;8
"32";32;8
"33";33;7
"34";34;8
"35";35;8
"36";36;1
"37";37;1
"38";38;8
"39";39;8
"40";40;8
"41";41;8
"42";42;6
"43";43;7
"44";44;3
"45";45;8
"46";46;1
"47";47;8
"48";48;0
"49";49;6
"50";50;1
"51";51;8
"52";52;8
"53";53;6
"54";54;8
"55";55;1
"56";56;1
"57";57;8
"58";58;5
"59";59;7
"60";60;8
"61";61;7
"62";62;1
"63";63;7
"64";64;5
"65";65;5
"66";66;5
"67";67;6
"68";68;0
"69";69;8
"70";70;1
"71";71;8
"72";72;8
"73";73;1
"74";74;7
"75";75;8
"76";76;8
"77";77;8
"78";78;1
"79";79;5
"80";80;7
"81";81;1
"82";82;5
"83";83;8
"84";84;1
"85";85;7
"86";86;7
"87";87;8
"88";88;1
"89";89;1
"90";90;1
"91";91;1
"92";92;0
"93";93;0
"94";94;8
"95";95;0
"96";96;0
"97";97;6
"98";98;1
"99";99;8
"100";100;8
"101";101;8
"102";102;8
"103";103;8
"104";104;8
"105";105;8
"106";106;0
"107";107;8
"108";108;6
"109";109;6
"110";110;7
"111";111;1
"112";112;8
"113";113;8
"114";114;7
"115";115;6
"116";116;6
"117";117;1
"118";118;6
"119";119;1
"120";120;1
"121";121;7
"122";122;8
"123";123;7
"124";124;1
"125";125;6
"126";126;1
"127";127;8
"128";128;1
"129";129;1
"130";130;8
"131";131;6
"132";132;6
"133";133;1
"134";134;1
"135";135;1
"136";136;1
"137";137;1
"138";138;1
"139";139;7
"140";140;1
"141";141;0
"142";142;2
"143";143;8
"144";144;2
"145";145;8
"146";146;8
"147";147;8
"148";148;2
"149";149;3
"150";150;1
"151";151;1
"152";152;1
"153";153;1
"154";154;8
"155";155;6
"156";156;2
"157";157;7
"158";158;1
"159";159;1
"160";160;8
"161";161;8
"162";162;8
"163";163;7
"164";164;8
"165";165;5
"166";166;0
"167";167;1
"168";168;1
"169";169;1
"170";170;6
"171";171;6
"172";172;7
"173";173;1
"174";174;1
"175";175;1
"176";176;8
"177";177;1
"178";178;1
"179";179;6
"180";180;8
"181";181;7
"182";182;1
"183";183;1
"184";184;0
"185";185;5
"186";186;8
"187";187;1
"188";188;1
"189";189;8
"190";190;1
"191";191;1
"192";192;8
"193";193;8
"194";194;0
"195";195;8
"196";196;8
"197";197;5
"198";198;8
"199";199;8
"200";200;7
"201";201;8
"202";202;1
"203";203;1
"204";204;7
"205";205;7
"206";206;1
"207";207;7
"208";208;3
"209";209;6
"210";210;3
"211";211;3
"212";212;6
"213";213;3
"214";214;6
"215";215;8
"216";216;1
"217";217;8
"218";218;0
"219";219;1
"220";220;8
"221";221;8
"222";222;0
"223";223;7
"224";224;8
"225";225;0
"226";226;1
"227";227;1
"228";228;5
"229";229;1
"230";230;8
"231";231;1
"232";232;1
"233";233;1
"234";234;1
"235";235;8
"236";236;6
"237";237;6
"238";238;6
"239";239;1
"240";240;1
"241";241;6
"242";242;1
"243";243;1
"244";244;1
"245";245;1
"246";246;5
"247";247;8
"248";248;6
"249";249;0
"250";250;8
"251";251;6
"252";252;6
"253";253;5
"254";254;5
"255";255;5
"256";256;5
"257";257;5
"258";258;8
"259";259;8
"260";260;8
"261";261;8
"262";262;5
"263";263;8
"264";264;1
"265";265;1
"266";266;1
"267";267;7
"268";268;7
"269";269;1
"270";270;1
"271";271;1
"272";272;1
"273";273;8
"274";274;1
"275";275;6
"276";276;5
"277";277;8
"278";278;6
"279";279;1
"280";280;1
"281";281;1
"282";282;1
"283";283;6
"284";284;1
"285";285;8
"286";286;7
"287";287;8
"288";288;7
"289";289;8
"290";290;1
"291";291;2
"292";292;8
"293";293;1
"294";294;8
"295";295;1
"296";296;7
"297";297;7
"298";298;2
"299";299;7
"300";300;8
"301";301;8
"302";302;7
"303";303;8
"304";304;0
"305";305;6
"306";306;1
"307";307;0
"308";308;5
"309";309;7
"310";310;1
"311";311;8
"312";312;1
"313";313;1
"314";314;1
"315";315;6
"316";316;1
"317";317;7
"318";318;7
"319";319;6
"320";320;7
"321";321;7
"322";322;7
"323";323;0
"324";324;7
"325";325;7
"326";326;6
"327";327;7
"328";328;8
"329";329;3
"330";330;8
"331";331;1
"332";332;1
"333";333;8
"334";334;8
"335";335;8
"336";336;1
"337";337;1
"338";338;1
"339";339;8
"340";340;8
"341";341;8
"342";342;1
"343";343;0
"344";344;7
"345";345;8
"346";346;1
"347";347;1
"348";348;8
"349";349;5
"350";350;5
"351";351;8
"352";352;8
"353";353;8
"354";354;0
"355";355;8
"356";356;0
"357";357;5
"358";358;0
"359";359;0
"360";360;8
"361";361;8
"362";362;8
"363";363;0
"364";364;8
"365";365;3
"366";366;7
"367";367;8
"368";368;8
"369";369;0
"370";370;8
"371";371;8
"372";372;6
"373";373;8
"374";374;0
"375";375;0
"376";376;0
"377";377;8
"378";378;8
"379";379;0
"380";380;8
"381";381;1
"382";382;0
"383";383;8
"384";384;0
"385";385;8
"386";386;6
"387";387;1
"388";388;6
"389";389;1
"390";390;1
"391";391;0
"392";392;0
"393";393;8
"394";394;0
"395";395;7
"396";396;1
"397";397;8
"398";398;0
"399";399;8
"400";400;8
"401";401;8
"402";402;7
"403";403;1
"404";404;0
"405";405;8
"406";406;8
"407";407;5
"408";408;1
"409";409;8
"410";410;8
"411";411;8
"412";412;8
"413";413;1
"414";414;8
"415";415;1
"416";416;8
"417";417;1
"418";418;8
"419";419;1
"420";420;6
"421";421;8
"422";422;1
"423";423;6
"424";424;5
"425";425;1
"426";426;1
"427";427;1
"428";428;6
"429";429;6
"430";430;1
"431";431;1
"432";432;7
"433";433;7
"434";434;8
"435";435;6
"436";436;1
"437";437;7
"438";438;7
"439";439;5
"440";440;7
"441";441;6
"442";442;8
"443";443;6
"444";444;6
"445";445;8
"446";446;7
"447";447;7
"448";448;0
