"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"mass";"chi.distance";"inertie"
"classe 1";0,540181351085623;-0,890412336429043;-0,844773444690363;3,11329599784181;-0,154290512354362;-0,9953808161609;-0,409732436063144;0,0409637418896843;-0,204994227298156;0,151476872093581;-0,249688137742522;-0,236890145822773;0,873025954536867;-0,0432659220059787;-0,279123246796629;-0,114896576280158;0,0114869931704003;-0,0574841843132109;0,0359530326806123;0,0778882733544988;0,0630489267287431;0,746549412975201;0,00164258019685493;0,0634331481652299;0,00962472764719584;8,68773956639391e-05;0,00177302085607697;0,0212724898152467;0,0577991547871194;0,0520259066930604;0,706610322587622;0,00173547192842284;0,0722300114377284;0,0122388283114958;0,000122331525882958;0,00306353194689535;0,0729019509665421;1,85669380403487;0,251315761783675
"classe 2";0,0597861842060992;-0,25287128820808;-0,235628289223854;-1,86156973081724;-4,05729015422097;-3,46462521188343;-1,01497853715714;-0,746868894835662;0,589226138257834;0,0102549209935767;-0,0433741526834768;-0,0404165196680296;-0,319308729383954;-0,695933191456429;-0,594275388068566;-0,17409581907488;-0,128107883297865;0,101067957010843;0,000192698366442177;0,00274858256221498;0,00214620922187021;0,116787497956038;0,496981565336898;0,336256169318978;0,025841723785804;0,0126361944961528;0,00640935895563415;0,000102157782163993;0,00182754814175931;0,00158680896055867;0,0990440524499245;0,470480814486854;0,343069655860166;0,0294430977972387;0,0159425772198501;0,00992278981396028;0,028580497487527;2,80692161902693;0,225180280125004
"classe 3";0,784728444912573;-0,331345772114036;0,230464360757906;-1,24641588961653;3,72827127637088;-3,50064882752234;1,06990694802801;-0,568974609184476;0,445559641440645;0,14290540500465;-0,0603407485322013;0,041969426528072;-0,226982427697936;0,678948393130242;-0,637496501776317;0,194838719962887;-0,10361488421887;0,081140019106732;0,0370942470805462;0,00527307587532382;0,00229412012911637;0,0584998967089182;0,468893879689258;0,383571419010255;0,0320841979476852;0,00819416562421907;0,00409499793469778;0,0197664334399878;0,00352413381650247;0,00170489279045963;0,0498672567184059;0,446174282377475;0,393356758167275;0,0367435860410634;0,0103914295181496;0,00637237339058467;0,0320988537400976;2,65542831067062;0,226338631748973
"classe 4";0,417634985610617;-0,253234608044034;0,026857957199768;-0,0984165340704164;-0,495339699896641;0,500854594443876;1,75376923922403;-0,466415691872447;-0,184414727015902;0,206952215769469;-0,125486285991107;0,0133090232979568;-0,0487687107066596;-0,245457521482098;0,248190337662755;0,869051785676171;-0,231124700344547;-0,0913837147064251;0,0857495863546462;0,0251372513408504;0,000254287538794498;0,00297670499909431;0,0675517098037204;0,0640830228207998;0,703581783399237;0,0449402816871255;0,00572537205572032;0,0343856879938723;0,0126424163392607;0,000142209931619273;0,00190950194757139;0,0483715769742821;0,0494546686931194;0,606357661688305;0,0428874553748181;0,00670463550967585;0,197144185547469;0,929499845574697;0,170326654678008
"classe 5";0,50187371620205;-0,682008937544031;-0,531012285403504;-0,534432859274182;0,691301814298799;1,33795139425601;-2,14697483556558;-4,1942946251732;-0,329042658630299;0,098686838816433;-0,134108051324365;-0,104416553661607;-0,105089164343014;0,135935372821452;0,263090473413052;-0,422174249617602;-0,824752650438576;-0,0647018936590533;0,0213903862906009;0,03149511800217;0,0171703717229217;0,0151627301192462;0,022727773978188;0,0789935759330197;0,182144068882727;0,627767441263676;0,00314853380744838;0,0093765386408924;0,0173154497484868;0,0104969416294692;0,0106326115944205;0,0177905361962258;0,0666398970125354;0,171596155135294;0,654894754845031;0,00403049192552831;0,037226623272116;2,2364212182305;0,186191929412845
"classe 6";0,16702066876415;-0,498214550352634;-0,358432893463488;-0,31068012235335;0,163793822529484;0,640019185514751;-0,428342424019372;0,717151712048988;2,00952776470679;0,0701201490946338;-0,209165002214032;-0,150480584924322;-0,130432578562587;0,0687654249113664;0,268698724797306;-0,179830645261085;0,301081209555907;0,843658377814441;0,0121793604386775;0,0864072620799324;0,0402198640357;0,0263434322113115;0,00655950198160183;0,0929290311440052;0,0372732814111281;0,0943533493397436;0,603734917357925;0,00418007056106608;0,0371942657875412;0,0192512481666568;0,0144633904782892;0,00402011255835844;0,061380321923983;0,0274932041155173;0,0770664324877118;0,605105636419406;0,149845317501475;0,986339538821141;0,14577936758127
"classe 7";0,391876635291223;-0,500341238887208;-0,224858765063713;-0,696179786034849;0,158080196770393;0,26569020715708;-0,672418721625085;1,05005492967022;-1,41756106951439;0,182734106728372;-0,233311713722037;-0,104852807933872;-0,324632243585757;0,0737136153239041;0,123892721073418;-0,313552336061782;0,489646057735528;-0,661016076087631;0,0729577925890108;0,0948285101292776;0,017223976413857;0,143938554991095;0,00664843863291992;0,0174263092357448;0,0999502625621316;0,220114258658325;0,326911896787633;0,0274278316460709;0,04471212731727;0,0090305120495523;0,0865636484098613;0,00446321357967808;0,0126079311624618;0,0807555403504682;0,196932217148201;0,358902339649716;0,178604638686719;0,94554454583494;0,159682278823735
"classe 8";1,23892445607258;4,56210808316685;-2,71442329953347;0,0272932423035214;0,1206053871441;0,0214556192089077;-0,117764934978073;0,0733969781760006;-0,0174386269052714;0,227139576516852;0,836399098391774;-0,497651778299701;0,00500383656824876;0,0221113211764359;0,00393358952366393;-0,0215905637574138;0,0134563156444276;-0,00319712982569994;0,0655106183528072;0,708249979908673;0,225485194498121;1,98743843395377e-05;0,000347654011815624;1,02090546721679e-05;0,000275413637811827;9,66116729279812e-05;4,44447885995522e-06;0,049914649766346;0,676814285340025;0,239603702803915;2,42241550702836e-05;0,000473011599108963;1,49699545549448e-05;0,000450993590369342;0,000175184120154544;9,88924072564103e-06;0,0325190894297312;3,15469547350991;0,323633344725002
"classe 9";0,288582795687615;1,02372559992322;2,24538005131289;0,476506337768582;-0,0511097692583579;0,0302218016599912;-0,508396293549554;0,0161460901353891;0,0867750382392315;0,111740819139233;0,396392088574299;0,869423298830988;0,18450583091909;-0,0197899790572692;0,0117020450415429;-0,196853794257615;0,00625185341809931;0,0335997640836014;0,0173470657176682;0,174054662694015;0,75301860413365;0,0295654088640558;0,000304708644904742;9,88569552334857e-05;0,0250507829348505;2,28176593277667e-05;0,000537092396252005;0,0108580801217525;0,136640454065792;0,657342767692168;0,029603941129559;0,000340580681192541;0,000119083851183696;0,033698992781447;3,39896673625088e-05;0,000981752004488724;0,130380358005043;1,42799238209544;0,265866703314769
"classe 10";-2,41813351587401;0,286268157990586;-0,250303357912625;0,0954197817771833;0,209077335243293;-0,0894869712568614;0,093192349980066;-0,105082118963863;-0,186742793114025;-0,978480553821997;0,115836377079034;-0,101283476146407;0,0386109370330472;0,0846016588569314;-0,0362102673903095;0,037709622575373;-0,0425207331545487;-0,0755641450023219;0,972521236689941;0,0108672087938725;0,00747158476042928;0,000946622350461682;0,00407140435983377;0,000692053288139721;0,000672094696788915;0,000771698008641641;0,00198609705186767;0,822716060232599;0,0115301646562421;0,00881500928254177;0,00128105052927631;0,00615039961840184;0,00112670193699231;0,00122194018880103;0,00155362809283918;0,00490656009901927;0,14069848536328;1,59808250019842;0,359325314034108
