"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"11";"***";"";""
"**";"classe";"1";"**";"";""
"****";"1327";"38138";"3.48";"****";""
"  4";"1626";"0.25";"-52.875";"emji_coeur_rouge";"3.555410e-13"
" 10";"1657";"0.60";"-42.663";"époque";"6.503737e-11"
"  5";"1410";"0.35";"-42.570";"beau";"6.818254e-11"
"  1";" 994";"0.10";"-34.695";"souvenir";"3.856543e-09"
"  8";"1332";"0.60";"-34.061";"emji_visage_souriant_avec_yeux_en_forme_de_coeur";"5.341729e-09"
"  6";"1019";"0.59";"-26.049";"enfant";"3.328084e-07"
"  6";" 989";"0.61";"-24.951";"homme";"5.881311e-07"
"  0";" 510";"0.00";"-18.634";"magnifique";"1.583559e-05"
"  0";" 443";"0.00";"-16.157";"animal";"5.829071e-05"
" 14";"1082";"1.29";"-15.839";"parler";"6.897258e-05"
"  9";" 843";"1.07";"-14.932";"temps";"1.114846e-04"
"  1";" 457";"0.22";"-14.643";"jouer";"1.299220e-04"
"  4";" 593";"0.67";"-14.111";"jeune";"1.722884e-04"
" 17";"1139";"1.49";"-13.801";"femme";"2.031786e-04"
"  1";" 434";"0.23";"-13.799";"commentaire";"2.034655e-04"
"  5";" 630";"0.79";"-13.759";"emji_visage_qui_pleure";"2.077936e-04"
" 13";" 971";"1.34";"-13.595";"aimer";"2.268026e-04"
"  1";" 419";"0.24";"-13.249";"emji_mains_en_prière";"2.727166e-04"
" 14";"1000";"1.40";"-13.222";"vie";"2.766168e-04"
"  3";" 519";"0.58";"-13.189";"vidéo";"2.816016e-04"
"  8";" 745";"1.07";"-13.093";"emji_applaudissements";"2.963314e-04"
"  0";" 358";"0.00";"-13.028";"humain";"3.068949e-04"
"  2";" 463";"0.43";"-12.961";"raison";"3.180323e-04"
"  1";" 391";"0.26";"-12.225";"emji_visage_souriant_avec_coeurs";"4.716486e-04"
"  1";" 383";"0.26";"-11.932";"regarder";"5.517064e-04"
" 14";" 952";"1.47";"-11.733";"année";"6.141752e-04"
"  7";" 651";"1.08";"-11.399";"changer";"7.348354e-04"
"122";"4631";"2.63";"-11.208";"emji_visage_riant_aux_larmes";"8.144524e-04"
"  4";" 508";"0.79";"-11.110";"donner";"8.584857e-04"
"  0";" 300";"0.00";"-10.900";"respect";"9.614106e-04"
" 12";" 842";"1.43";"-10.819";"monde";"1.004476e-03"
"  3";" 425";"0.71";" -9.845";"emji_feu";"1.703131e-03"
"  0";" 256";"0.00";" -9.291";"renard";"2.302936e-03"
"  1";" 307";"0.33";" -9.166";"tête";"2.465907e-03"
"  4";" 444";"0.90";" -8.894";"devenir";"2.861217e-03"
"  0";" 241";"0.00";" -8.743";"âge";"3.107826e-03"
"  1";" 293";"0.34";" -8.658";"archive";"3.255561e-03"
"  0";" 237";"0.00";" -8.597";"rendre";"3.367100e-03"
"  0";" 233";"0.00";" -8.451";"touchant";"3.648329e-03"
"  0";" 230";"0.00";" -8.342";"classe";"3.874794e-03"
"  0";" 230";"0.00";" -8.342";"écouter";"3.874794e-03"
" 12";" 759";"1.58";" -8.311";"vrai";"3.941378e-03"
"  0";" 228";"0.00";" -8.269";"coeur";"4.033647e-03"
"  1";" 277";"0.36";" -8.080";"pauvre";"4.476497e-03"
"  2";" 316";"0.63";" -7.688";"premier";"5.559221e-03"
"  0";" 206";"0.00";" -7.466";"emji_visage_avec_des_étoiles_à_la_place_des_yeux";"6.286026e-03"
"  1";" 259";"0.39";" -7.430";"père";"6.414468e-03"
"  1";" 259";"0.39";" -7.430";"génération";"6.414468e-03"
"  2";" 304";"0.66";" -7.264";"jeu";"7.033487e-03"
"  0";" 198";"0.00";" -7.175";"mignon";"7.392837e-03"
"  0";" 197";"0.00";" -7.139";"payer";"7.544506e-03"
" 46";"1917";"2.40";" -7.009";"voir";"8.111037e-03"
"  0";" 193";"0.00";" -6.993";"mec";"8.183612e-03"
" 15";" 827";"1.81";" -6.984";"tellement";"8.225999e-03"
"  3";" 337";"0.89";" -6.787";"fille";"9.180334e-03"
"  2";" 289";"0.69";" -6.737";"heureux";"9.442563e-03"
"  4";" 380";"1.05";" -6.731";"dieu";"9.475007e-03"
"  1";" 239";"0.42";" -6.710";"plaisir";"9.586018e-03"
"  2";" 287";"0.70";" -6.667";"arrêter";"9.821229e-03"
"  0";" 184";"0.00";" -6.665";"élastique";"9.831506e-03"
"  0";" 182";"0.00";" -6.592";"société";"1.024162e-02"
"  0";" 181";"0.00";" -6.556";"nature";"1.045320e-02"
"  3";" 330";"0.91";" -6.549";"dernier";"1.049657e-02"
"  2";" 282";"0.71";" -6.492";"malheureusement";"1.083621e-02"
"  0";" 179";"0.00";" -6.483";"mort";"1.088987e-02"
"  3";" 327";"0.92";" -6.447";"emji_mains_levées";"1.111693e-02"
"  0";" 178";"0.00";" -6.447";"compte";"1.111516e-02"
"  1";" 231";"0.43";" -6.423";"blanc";"1.126500e-02"
"  1";" 231";"0.43";" -6.423";"perdre";"1.126500e-02"
"  1";" 231";"0.43";" -6.423";"triste";"1.126500e-02"
