"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8"
"emji_visage_riant_aux_larmes";1;1;1;1;1;1;1;0
"emji_coeur_rouge";0;1;1;1;1;1;1;1
"voir";1;1;0,031;1;1;0;0;1
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";0;1;1;1;1;1;1;1
"époque";0;1;1;1;1;0;0,098;1
"aller";1;1;0,005;1;1;0,913;0;1
"beau";0;1;1;1;1;1;1;1
"aimer";0;1;0,001;1;1;1;1;1
"emji_applaudissements";0;1;1;1;1;1;1;1
"suisse";1;1;1;1;1;1;1;0
"femme";1;1;1;1;1;0;1;1
"emji_se_rouler_par_terre_de_rire";1;0,818;1;1;1;1;1;0
"parler";1;1;1;1;0,021;0;1;0
"enfant";1;1;1;1;1;0;0;1
"homme";1;1;1;1;0,786;0;1;1
"souvenir";0;1;1;1;1;1;1;1
"vie";0,465;1;1;1;1;1;0;1
"petit";1;0,255;0;1;1;1;0;1
"gens";1;1;0,045;1;0;0;0;1
"année";1;1;1;1;0,753;1;0,58;0
"temps";1;1;1;0,586;1;1;0;1
"penser";1;1;0,402;1;0,024;0;0,032;1
"monde";1;1;1;1;0;0;0;1
"tellement";0;1;1;1;1;1;1;1
"emji_visage_qui_pleure";0,927;1;1;1;1;1;0;1
"chose";1;1;1;1;0;0;0;1
"comprendre";1;1;1;1;1;0;1;1
"vrai";0,679;1;1;1;1;0;1;1
"emji_visage_souriant_avec_une_goutte_de_sueur";1;0,652;1;1;1;1;1;0
"passer";1;1;1;0;1;1;0;1
"grand";0,055;1;1;1;1;1;0;1
"français";1;0;1;1;0,006;0;1;0
"prendre";1;0;0,061;0,107;1;1;0;1
"connaître";1;1;1;1;0,728;0;0,011;1
"jour";1;0,226;0,007;1;1;1;0;1
"vraiment";1;1;1;1;1;0;0,003;1
"changer";1;1;1;0,368;0,267;0;0;1
"vivre";1;1;1;1;1;1;0;1
"trouver";1;0,114;0,379;1;1;0;0;1
"jeune";1;1;1;1;1;0;0;1
"emji_visage_faisant_un_clin_d_oeil";1;1;1;1;1;1;1;0
"venir";1;0,134;0;1;1;0,257;0,003;0
"mettre";1;1;0,092;0;0,683;0,176;0;1
"adorer";0;1;1;1;1;1;1;1
"emji_feu";0;1;1;1;1;1;1;1
"donner";1;1;0;1;0,009;0;0;1
"vidéo";1;1;1;1;1;0;1;0,002
"emji_mains_en_prière";0;1;1;1;1;1;1;1
"france";1;0;0,673;1;0,032;1;0,026;0
"magnifique";0;1;1;1;1;1;1;1
"emji_visage_souriant_avec_coeurs";0;1;1;1;1;1;1;1
"animal";1;1;0;1;1;1;1;1
"jouer";0;1;1;1;1;1;1;1
"rester";1;1;0;1;0;1;0;1
"raison";0;1;0;1;0;0,051;1;1
"exister";1;0,698;0;1;0;0,819;0;1
"devenir";1;1;0,016;1;1;0,819;0;1
"fois";1;0;1;0,006;1;0,604;0;1
"seul";1;1;0;1;0;0,334;0;1
"commentaire";1;1;1;1;0,095;0;1;1
"demander";1;1;1;0;0,104;0,098;0;1
"question";1;1;1;1;0;0;1;1
"mot";1;0,007;1;1;0;0;1;0,055
"appeler";1;0,016;1;1;0,593;1;1;0
"accent";1;1;1;1;1;1;1;0
"dieu";1;1;1;1;0;1;1;1
"école";1;1;1;1;1;0;0;1
"chat";1;1;0;1;1;1;1;1
"regarder";1;1;1;1;1;0,084;0;0,006
"sentir";1;1;1;0,801;0;0;1;1
"humain";1;1;0;1;0;0,241;0,231;1
"utiliser";1;0;0,253;1;0,001;0,008;1;1
"apprendre";1;1;1;1;0,534;0;0;1
"emji_mains_levées";0;1;1;1;1;1;1;1
"meilleur";0;1;1;1;1;1;1;1
"bidet";1;0;1;1;1;1;1;1
"vieux";1;1;1;1;1;1;1;0
"fille";1;1;1;1;1;1;0;1
"arriver";1;1;1;0,987;1;0,055;0;1
"entendre";1;1;1;1;1;0,005;1;0
"nom";1;1;1;1;0;0,033;0,179;0,118
"manger";1;1;0;1;1;1;1;0,313
"dernier";0;1;1;1;1;1;0,429;1
"premier";1;1;1;0,831;0,001;1;1;0
"parent";1;0,954;1;1;1;0;0;1
"ca";1;1;0,02;1;1;0,013;0;1
"emji_visage_souriant_avec_yeux_rieurs";0;1;1;1;1;1;1;1
"coup";1;1;0,506;0,837;0,924;0,208;0,273;0
"jeu";0;1;1;1;1;1;1;1
"emji_visage_avec_bouche_ouverte";1;1;1;0,98;1;0,051;0,042;0,002
"tête";1;1;1;1;1;1;1;0
"reportage";0;1;1;1;1;1;1;1
"pays";1;0,364;1;0,708;0;1;0,04;1
"cas";1;1;1;0,396;0,003;0;0,021;1
"respect";0,674;1;1;0,725;1;0;1;1
"problème";1;1;0;1;0;0;1;1
"archive";0;1;1;1;1;1;1;1
"moment";0,004;1;1;1;1;0,008;0,02;1
"heureux";0;1;0,1;1;1;1;0;1
"arrêter";1;1;0,242;0,146;0,389;0;0;1
"manquer";1;0,701;1;1;1;0;1;1
"malheureusement";1;1;0;1;1;0;0;1
"pauvre";1;1;0;0,01;1;1;0;1
"super";0;0,217;1;0,109;1;1;1;1
"niveau";1;1;1;1;1;0;0,986;1
"fin";1;1;1;1;0,221;1;0,613;0
"accord";1;1;0,41;0,991;0,003;0;1;1
"pareil";1;1;0,278;0,974;1;0,19;1;0
"emji_visage_qui_pleure_à_chaudes_larmes";1;1;1;1;1;1;1;0
"père";1;1;1;1;1;1;0,012;0
"besoin";1;0,001;0;1;0,006;0,019;0;1
"génération";1;1;1;1;1;0;1;1
"laisser";1;1;0;0,088;0,564;0;0;1
"renard";1;1;0;1;1;1;1;1
"plutôt";1;1;0,026;1;0,516;0,002;0;0,199
"sûr";1;1;0,98;1;1;0;0,986;1
"classe";1;1;1;1;1;0;0,786;1
"blanc";1;1;1;1;0;1;1;0
"heure";1;1;1;1;1;1;0;1
"etc";1;0,973;0;0;0;0,622;0;1
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";0;1;1;1;1;1;1;1
"maison";1;0;0,008;1;1;1;0;1
"incroyable";0;1;1;1;1;1;1;1
"hiver";0;1;1;1;1;1;1;1
"emji_visage_en_pleine_réflexion";1;1;0,047;1;0,008;0;1;1
"oublier";1;0,809;1;1;0,353;1;0;0,005
"rendre";1;1;0;1;0,86;0,282;0;1
"coeur";0;1;0,299;1;1;1;1;1
"âge";1;1;1;1;1;0;1;1
"mère";1;1;0,52;1;1;1;0;1
"emji_pouce_vers_le_haut";0;1;1;1;1;1;1;1
"part";1;1;1;1;1;0;0,021;1
"genre";1;1;1;0,368;1;0;1;1
"emji_visage_souriant_aux_yeux_rieurs";1;1;1;1;1;1;1;0
"travailler";1;1;1;0,135;1;0,054;0;1
"laver";1;0;1;1;1;1;1;1
"air";1;1;0,735;0,374;1;0,616;0;1
"plaisir";0;1;0,009;1;1;1;0,002;1
"écouter";0,021;1;1;1;0,016;0;1;1
"perdre";1;1;0,662;1;1;0,499;0;1
"simple";0,008;1;1;0,688;1;0,481;0;1
"travail";1;0,882;1;0;1;1;0;1
"touchant";0;1;1;1;1;1;1;1
"triste";1;1;1;1;1;0,002;0;1
"genève";1;1;1;1;1;1;1;0
"génial";0;1;1;1;1;1;1;1
"droit";1;1;1;0,59;0,004;0;0,437;1
"ami";1;1;0,68;1;0,133;1;0;1
"sortir";1;0,351;1;1;0,092;0,507;0;0,412
"gros";1;0,03;1;0,084;0,846;0,492;0,031;0,018
"famille";1;1;0,309;1;1;1;0;1
"histoire";1;1;1;1;0;0,207;0,488;1
"rire";1;1;1;1;1;1;1;0
"rappeler";0;1;1;1;1;1;0,476;1
"partie";1;0;0,181;1;0,038;0,165;0,321;1
"côté";1;0,002;0,543;1;1;0,82;0,002;0,015
"revenir";1;0,642;0,942;0,058;0;0,755;0,023;1
"nourrir";1;1;0;1;1;1;1;1
"importer";1;1;0;1;1;0;0;1
"réponse";1;1;1;1;0;0;1;1
"retrouver";0;1;0,3;1;1;1;0,321;1
"emji_visage_roulant_des_yeux";1;1;1;0,048;0,151;0;1;0,24
"amour";0;1;0,001;1;1;1;0,624;1
"heureusement";1;0,546;0,925;1;1;0,451;0;0,343
"emji_drapeau_suisse";0;1;1;1;1;1;1;1
"répondre";1;1;1;1;0,596;0;1;1
"espérer";0,03;1;1;1;1;0,91;0;1
"écrire";1;1;1;1;1;0;1;1
"toilette";1;0;1;1;1;1;1;1
"lire";1;1;1;1;0,13;0;1;1
"fou";1;1;1;1;0,022;1;0,854;0,002
"ancien";1;1;1;0,998;0,182;0;0,447;1
"préférer";1;0,663;0,001;0,937;1;0,153;0;1
"payer";1;1;0,092;0;0,001;1;0;1
"garçon";0;1;1;1;1;0,001;0,096;1
"journée";1;0,034;1;1;1;1;0;1
"cher";1;1;0;0,001;1;1;0;1
"place";1;0,109;1;1;1;0,003;0;1
"naître";1;1;1;1;1;1;1;0
"mignon";0;1;0,184;1;1;1;1;1
"pire";1;1;0,34;0;1;1;0;1
"mec";1;1;1;1;1;1;1;0
"poser";1;1;0,817;1;1;0;1;1
"truc";1;0,183;0,873;0;0,792;1;0,721;0
"finir";1;1;0;1;1;0,17;0;1
"eau";1;0;0;1;1;1;0,528;1
"idée";1;1;0,426;1;1;0;0,004;1
"garder";1;1;0;1;0,94;1;0;1
"façon";1;1;1;1;1;0;1;1
"élastique";0;1;1;1;1;1;1;1
"mort";1;1;0;1;0;0,606;0,009;1
"nature";0,163;1;0;1;0,813;1;0,541;1
"début";1;1;1;1;0,027;1;1;0
"enfance";0;1;1;1;1;1;1;1
"partir";1;1;1;1;0;1;0;0,636
"compte";1;1;1;1;0;0,007;0;1
"société";1;1;1;1;0,004;0;0;1
"mdr";1;0,119;1;1;1;1;1;0
"attendre";1;1;0,291;1;0,594;0,491;0;0,692
"noir";1;1;1;1;0;1;1;0
"exactement";1;1;1;0,793;1;0;1;1
"servir";1;0;0,093;0,694;0,606;1;0,95;1
"acheter";1;0,203;0;1;1;1;0,142;1
"mauvais";1;1;0,009;0,717;0;0,094;0;1
"dimanche";1;1;1;1;1;1;0,353;0
"bonheur";0;1;1;1;1;1;1;1
"valoir";1;1;0,003;1;1;1;1;0
"exprimer";1;1;1;1;1;0;1;1
"mode";1;0,156;1;1;1;0;1;0
"propre";1;0;1;1;0,164;0,054;0,545;1
"exemple";1;0,384;0,118;1;0,054;0,008;0;1
"cours";1;1;1;0,639;1;0,002;0;1
"sembler";1;1;0,541;0,095;0,637;0;0,042;1
"rts";0,011;1;1;1;1;1;1;0
"emji_visage_retenant_ses_larmes";0;1;1;1;1;1;1;1
"voiture";1;1;0,905;0,632;1;1;0;1
"merveilleux";0;1;1;1;1;1;1;1
"chercher";1;1;0,076;1;0;0;0,146;1
"joli";0;1;1;1;1;1;1;1
"oeil";0,033;1;1;1;1;1;0;1
"normal";1;1;1;0,616;0,912;0;0,056;1
"pied";1;0;1;1;1;1;0,153;1
"simplement";1;1;0,653;1;0,964;0;0,001;1
"recevoir";1;1;1;0,6;1;1;0;1
"couper";1;1;0,111;1;1;1;0,499;0
"pratique";1;0;0,828;0,592;0,255;1;1;1
"noël";0,844;1;1;1;0,667;1;0;0,439
"journaliste";1;1;1;1;1;0;1;1
"ville";1;1;0;1;1;1;0,001;0,26
"partager";0;1;1;1;1;1;1;1
"cause";1;1;0;0,045;0,994;0;0,875;1
"permettre";1;0,082;0,033;1;0,772;0,001;0;1
"sujet";1;1;0,297;1;0,205;0;1;1
"éducation";1;1;1;1;1;0;1;1
"georges";0;1;1;1;1;0,06;1;1
"foutre";1;1;0,987;1;1;1;0;0
"essayer";1;1;1;0,194;0,105;0,336;0;1
"seulement";1;0,635;1;1;0,285;0;0,069;1
"intéressant";0,002;1;1;1;1;0;0,904;1
"gentil";0,03;1;0;1;1;0,707;0,252;1
"battre";1;1;0,191;1;1;0;0,336;0,787
"adorable";0;1;0;1;1;1;1;1
"élève";1;1;1;0,343;0,539;0;0,473;1
"imaginer";1;0,684;1;1;0,522;0,336;0;1
"gamin";1;1;1;1;1;0;0,003;1
"continuer";1;1;0,065;1;0;1;0;1
"commencer";1;1;1;0,505;0;0,247;0;1
"terre";1;1;0;1;0;0,859;0,062;1
"naturel";0;1;0;1;0;0,419;1;1
"main";1;0;0,209;0,482;1;0,917;0,004;1
"lieu";1;0,598;0,019;0,035;1;0,142;0;1
"faux";1;1;0,266;1;0;1;1;1
"tuer";1;1;0;1;1;1;1;1
"chance";0;1;1;1;1;0,735;0,002;1
"tomber";1;1;0,098;0,474;1;0,397;0;1
"peur";1;1;0,005;1;0,053;0;0;1
"beauté";0;1;1;1;1;1;1;1
"raciste";1;1;1;1;0;0,915;1;1
"rapport";1;0,91;1;0,466;0,01;0;1;1
"italien";1;0;1;1;1;1;1;0,001
"guerre";1;1;1;1;0;0,333;0;1
"envie";1;1;0,808;1;1;1;0;1
"créer";1;1;0;1;0;1;1;1
"reconnaître";1;1;1;0,45;0,795;1;0,716;0
"prof";1;1;1;1;1;0;0,942;1
"jeunesse";0;1;1;1;1;0,467;1;1
"image";0,59;1;1;1;1;1;0;1
"actuel";1;1;1;0,131;1;0;0,006;1
"métier";1;1;1;0;0,373;0,004;0;1
"froid";0;1;0,725;1;1;1;1;0,765
"montrer";1;1;1;0,427;0,016;0;0;1
"drôle";1;1;1;0,957;1;1;1;0
"franc";1;0,64;1;1;1;1;1;0
"excellent";0;1;1;1;1;1;1;0,25
"argent";1;1;0,002;0,931;0;1;0;1
"social";1;1;1;1;1;0;0;1
"haut";1;1;1;1;0,647;0,074;1;0
"voix";0;1;1;1;1;1;1;1
"revoir";0;1;1;0,123;1;1;1;1
"possible";1;1;1;1;0,116;1;0;1
"gars";1;1;0,994;0,388;1;0,576;1;0
"effectivement";1;1;1;0,94;1;0,001;0;1
"langue";1;1;1;1;0,701;0;1;0
"emji_visage_envoyant_un_bisou";0;1;1;1;1;1;1;1
"porter";1;1;1;1;1;0;0,338;1
"faute";1;1;1;1;1;0;1;1
"âme";0;1;1;1;0,629;1;1;1
"témoignage";0;1;1;1;1;1;1;1
"rue";1;1;0;1;1;1;0,005;0,088
"date";1;1;1;1;0,071;0;1;0,007
"lol";1;1;1;1;1;1;1;0
"interdire";1;1;0;0,087;1;0,582;0;1
"absolument";1;1;1;0,87;0;0,001;0,695;1
"évoluer";1;1;0,191;0,35;0,096;0;1;1
"etait";1;1;1;1;0,76;1;0;1
"top";0;0,053;1;0,833;1;1;1;1
"ouvrir";1;1;1;0,35;0,556;0,207;0;1
"prix";1;1;0;0;0,355;1;0;1
"contraire";1;1;0,182;1;0;0,04;0,231;1
"sauvage";1;1;0;1;1;1;1;1
"nouveau";1;1;1;1;0,001;0;0,001;1
"moyen";1;0,063;1;1;0,017;0;0,103;1
"mois";1;1;1;0,313;1;1;0;0,729
"emji_étincelles";0;1;1;1;1;1;1;1
"adulte";1;1;1;1;1;0;0,044;1
"neige";0;1;1;1;1;1;1;0,215
"emji_visage_souriant";0;0,331;1;1;1;1;1;1
"soir";1;0,667;0;1;0,76;1;1;0,003
"également";1;0,585;1;0,777;0,403;0,007;0,28;1
"emji_coeur_cartes";0;1;1;1;1;1;1;1
"manière";1;1;1;1;0;0;0,005;1
"long";1;1;0,299;1;1;0,837;0;1
"copain";0;1;1;1;1;1;0,14;1
"bonjour";1;0,331;1;0,011;1;1;0;1
"suite";1;1;1;0,805;0,01;1;0;1
"maman";0,271;1;1;0,777;1;1;0;1
"lausanne";1;1;1;1;1;1;1;0
"honte";1;1;1;0;0,623;0;0,018;1
"esprit";1;1;1;1;0,1;0,011;0;1
"client";1;1;1;0;1;1;1;0,382
"cadeau";1;1;1;1;1;1;0;1
"bas";1;0,571;0,241;0,767;1;1;0;1
