moi j;6;10;4;6;16;3;4;17;5;28;42
j avais;9;8;8;15;29;6;19;38;7;55;119
avais un;3;2;2;2;3;3;0;4;0;0;20
avec des;4;32;7;13;36;7;10;23;11;50;45
partout et;1;4;0;2;2;1;0;1;0;7;1
et à;4;5;2;13;9;3;2;9;15;20;17
à partir;1;2;0;8;2;0;0;0;0;14;10
partir de;1;2;0;3;3;0;0;0;0;12;3
de la;52;132;38;264;256;142;16;250;152;419;316
la moitié;1;1;0;31;5;15;0;1;1;2;8
moitié du;1;0;0;4;0;0;0;0;1;0;0
jusqu_à l;1;0;0;0;0;0;0;2;0;1;1
l arrière;2;1;0;0;0;1;0;2;1;2;3
c était;39;57;19;60;177;78;132;307;95;302;344
était un;2;6;1;5;20;6;6;22;13;25;17
à part;5;1;0;1;13;6;0;0;4;15;13
part la;1;0;0;0;2;1;0;0;0;0;2
qui venait;2;2;0;0;0;0;0;1;0;0;1
d un;13;25;4;59;63;15;6;48;36;124;72
et aussi;3;0;1;4;5;4;0;5;0;5;7
aussi la;1;3;0;5;6;1;2;2;2;10;1
moi j avais;2;0;1;0;2;0;0;0;2;2;3
j avais un;1;2;2;1;3;1;0;1;0;0;16
à partir de;1;2;0;3;1;0;0;0;0;11;3
la moitié du;1;0;0;4;0;0;0;0;1;0;0
c était un;2;5;0;4;15;3;5;17;10;20;14
maxi puch;3;0;0;0;0;0;0;1;0;0;3
dans les;51;60;8;61;89;30;39;45;66;127;145
d la;1;0;0;0;1;0;0;1;1;0;4
qui allait;1;0;0;0;0;0;0;0;0;6;3
allait bien;1;2;0;0;0;0;0;0;0;1;0
bien à;1;1;0;0;9;0;1;5;5;5;7
à la;43;77;32;86;123;50;54;102;89;231;239
la montée;1;1;0;1;0;0;0;1;0;0;1
une fondue;4;0;0;0;1;2;0;0;1;3;2
fondue avec;2;0;0;0;1;0;0;0;0;0;1
avec user_utilisateurice;1;0;0;1;2;3;1;4;0;3;2
user_utilisateurice emji_visage_souriant;1;0;0;0;0;0;0;3;0;0;0
on dirait;6;6;0;5;15;18;3;13;6;12;60
dirait des;2;0;0;0;3;1;0;2;0;0;5
on dirait des;1;0;0;0;3;1;0;2;0;0;5
pourquoi les;2;0;0;3;7;2;2;3;4;4;6
les fribourgeois;2;0;0;0;0;2;0;0;0;0;1
la tête;1;1;0;2;11;0;2;7;2;15;56
tête dans;1;0;0;0;1;0;0;1;0;3;2
dans la;35;41;6;41;58;25;19;57;48;121;112
des wc;6;0;0;0;1;0;0;0;0;0;0
une fois;7;7;7;9;20;2;1;11;7;39;21
fois qu;8;3;1;1;3;1;0;1;1;1;5
qu ils;12;72;5;43;79;17;1;42;21;148;66
ils se;12;10;0;2;8;3;0;8;6;24;7
se sont;3;6;1;7;5;4;2;5;14;14;7
parce_que on;3;5;0;2;5;0;0;0;0;11;3
on leur;1;2;3;4;6;1;0;2;7;9;5
leur a;1;2;0;2;0;0;0;1;3;7;1
a dit;3;3;0;9;10;4;1;13;7;17;18
dit de;1;2;0;2;2;0;0;1;0;0;4
de mettre;1;2;2;0;6;1;0;2;3;15;5
