"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8"
"emji_visage_riant_aux_larmes";-497,215;-11,785;-159,226;-46,182;-372,178;7,717;6356,468;-868,89
"emji_coeur_rouge";3918,886;-52,968;-33,28;-26,525;-200,255;-69,618;-375,825;-418,254
"voir";-193,282;-6,349;3,564;-4,146;28,722;-3,978;-24,808;252,078
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";3357,23;-34,952;-54,609;-28,528;-186,362;-54,37;-280,837;-358,523
"époque";61,508;-42,568;-26,809;-4,604;-1,381;-9,207;-21,683;25,717
"aller";-318,42;-0,459;9,03;-2,361;0,016;-9,641;0,034;324,312
"beau";1783,699;-42,669;-24,678;-25,682;-82,921;-41,849;-236,755;-96,922
"aimer";162,167;-20,85;13,368;-8,802;-16,336;-5,313;-17,393;-10,439
"emji_applaudissements";1407,263;-11,604;-20,769;-13,363;-73,158;-34,015;-136,21;-130,153
"suisse";-119,228;-5,491;-37,234;-0,637;-22,032;6352,324;-127,054;-113,206
"femme";-61,47;-14,144;-34,883;-11,591;-6,158;-58,645;-175,524;983,499
"emji_se_rouler_par_terre_de_rire";-100,846;0,136;-30,174;-6,382;-51,368;-1,24;1152,365;-156,267
"parler";-122,64;-16,824;-4,36;-10,865;303,13;33,99;5,382;-15,202
"enfant";-46,206;-25,923;-26,557;-9,044;-0,249;-29,224;-149,498;717,714
"homme";-23,576;-25,194;-4,379;-11,595;-1,225;-34,785;-192,852;662,872
"souvenir";1358,028;-34,715;-31,878;-14,917;-109,811;-22,269;-93,21;-101,518
"vie";0,632;-12,158;-1,613;-7,55;-25,921;-38,872;-189,142;487,769
"petit";-0,956;1,132;26,822;-5,424;-12,605;-5,689;0,03;6,08
"gens";-111,432;-0,263;3,215;-0,008;51,9;-24,092;-124,069;288,481
"année";-5,714;-10,538;-2,276;-0,049;-0,224;-10,875;53,699;-0,116
"temps";-38,699;-15,081;-3,58;0,001;-16,862;-13,005;-51,466;412,295
"penser";-152,609;-5,408;0,813;-2,804;12,255;-10,497;2,305;112,944
"monde";-97,783;-9,649;-1,126;-7,223;60,118;-14;-119,51;340,453
"tellement";451,101;-5,996;-6,553;-8,302;-35,344;-11,025;-75,267;-10,232
"emji_visage_qui_pleure";0,007;-13,911;-0,369;-2,596;-34,729;-22,587;-104,951;353,083
"chose";-113,864;-5,764;-1,18;-0,157;76,111;-11,312;-62,093;207,689
"comprendre";-51,255;-5,025;-0,225;-0,895;352,957;-12,752;-51,668;6,118
"vrai";0,027;-8,277;-0,054;-0,298;-0,79;-0,496;-29,303;55,238
"emji_visage_souriant_avec_une_goutte_de_sueur";-65,018;0,324;-7,338;-3,123;-58,693;-0,454;810,996;-117,817
"passer";-58,144;-7,04;-2,076;10,133;-2,999;-5,868;-15,197;208,863
"grand";4,043;-5,83;-3,687;-1,242;-17,837;-0,091;-19,732;62,584
"français";-81,478;76,539;-27,238;-4,737;35,543;364,066;-0,894;-22,942
"prendre";-119,321;30,845;7,482;1,251;-3,429;-10,121;-7,772;150,742
"connaître";-70,154;0,368;-4,479;0,007;20,663;0,023;-0,233;33,864
"jour";-60,896;1,797;7,193;-3,925;-34,551;-17,148;-55,183;397,132
"vraiment";-10,094;-3,627;-0,968;-0,342;2,31;-1,215;-37,606;93,834
"changer";-89,752;-11,341;-5,665;-0,295;1,404;-3,096;-15,091;243,731
"vivre";-20,226;-3,483;-0,065;-2,328;-14,159;-0,036;-96,016;322,355
"trouver";-63,485;2,181;1,607;-0,872;26,532;-4,127;-34,903;88,522
"jeune";-26,861;-14,235;-21,651;-1,306;8,63;-7,038;-33,94;190,628
"emji_visage_faisant_un_clin_d_oeil";-38,701;-0,907;-7,946;-5,093;-0,006;14,322;143,674;-19,836
"venir";-109,342;2,687;18,621;-0,063;3,925;11,519;6,95;3,243
"mettre";-102,612;-0,462;1,698;24,973;8,991;-10,573;-5,112;87,905
"adorer";520,533;-4,793;-0,477;-9,507;-36,115;-3,154;-38,381;-76,506
"emji_feu";754,107;-9,923;-13,034;-8,768;-48,471;-16,983;-72,053;-55,291
"donner";-44,502;-11,245;131,227;-0,003;5,785;-3,973;-55,593;70,599
"vidéo";-22,478;-13,182;-8,867;-6,938;84,315;-0,054;11,616;-2,902
"emji_mains_en_prière";724,115;-13,257;-9,619;-6,663;-37,822;-20,415;-66,004;-61,354
"france";-129,517;107,882;0,265;-0,684;0,266;138,279;0,002;0,243
"magnifique";1229,917;-18,663;-17,253;-8,541;-63,344;-16,163;-114,339;-128,773
"emji_visage_souriant_avec_coeurs";843,998;-12,273;-3,829;-4,45;-47,208;-18,963;-73,054;-96,605
"animal";-36,526;-16,087;4466,122;-7,111;-35,79;-23,682;-111,696;-57,837
"jouer";271,838;-12,71;-11,359;-4,197;-24,091;-14,998;-19,862;-5,883
"rester";-55,92;-1,606;14,272;-0,506;0,795;-0,202;-17,245;92,608
"raison";37,909;-12,962;12,172;-0,165;27,155;-12,191;-39,702;-6,219
"exister";-62,692;0,107;14,952;-1,029;24,175;-8,888;-35,88;86,761
"devenir";-31,853;-10,873;8,792;-1,052;-6,32;-1,615;-42,066;207,367
"fois";-55,328;60,818;0,007;4,673;1,651;-2,421;-0,221;12,311
"seul";-50,716;-2,707;42,274;-0,885;79,437;-5,967;-24,346;13,653
"commentaire";-69,16;-13,914;-2,124;-7,029;767,708;-4,868;-10,601;-35,901
"demander";-90,464;-1,287;-1,961;12,465;12,597;-14,162;-8,049;123,881
"question";-95,536;-3,041;-4,703;-2,282;1217,84;-4,092;-59,541;-47,271
"mot";-46,166;7,032;-20,296;-2,962;288,84;38,171;-0,784;-49,915
"appeler";-73,106;5,338;-2,967;-1,912;-4,966;-0,033;281,475;-27,093
"accent";-5,66;-4,991;-19,295;-7,55;-45,619;3589,264;-68,743;-112,164
"dieu";-2,992;-6,745;-7,832;-5,873;532,094;-12,77;-40,327;-26,579
"école";-5,706;-0,08;-13,706;-2,72;-26,239;-1,916;-40,272;236,732
"chat";-10,051;-4,471;2614,306;-7,2;-26,382;-12,992;-45,002;-69,725
"regarder";-23,259;-11,982;-1,989;-5,954;4,596;-2,986;11,795;13,139
"sentir";-36,63;-2,169;-1,88;-0,044;143,205;-9,626;-12,008;7,987
