"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"emji_visage_riant_aux_larmes";1;1;1;1;1;1;0
"emji_coeur_rouge";0;1;1;1;1;1;1
"voir";1;1;0,045;1;0;0;1
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";0;1;1;1;1;1;1
"époque";0;1;1;1;1;0;1
"aller";1;1;0;1;0,688;0;1
"beau";0;1;1;1;1;1;1
"aimer";0;1;0,002;1;1;1;1
"emji_applaudissements";0;1;1;1;1;1;1
"suisse";1;1;1;1;1;1;0
"femme";1;1;1;1;1;0;1
"emji_se_rouler_par_terre_de_rire";1;0,305;1;1;1;1;0
"parler";1;1;1;1;0;1;0
"enfant";1;1;1;1;0;0;1
"homme";1;1;1;1;1;0;1
"souvenir";0;1;1;1;1;1;1
"vie";0,403;1;1;1;1;0;1
"petit";1;0,343;0;1;1;0;1
"gens";1;1;0,037;1;0;0;1
"année";1;1;1;1;1;0,322;0
"temps";1;1;1;1;1;0;1
"penser";1;1;0,257;1;0,01;0;1
"monde";1;1;1;1;0,32;0;1
"tellement";0;1;1;1;1;1;1
"emji_visage_qui_pleure";0,932;1;1;1;1;0;1
"chose";1;1;1;1;0;0;1
"comprendre";1;1;1;1;0;1;1
"vrai";0,847;1;1;1;0,635;0;1
"emji_visage_souriant_avec_une_goutte_de_sueur";1;0,668;1;1;1;1;0
"passer";1;1;1;0;1;0;1
"grand";0,033;1;1;1;1;0;1
"français";1;0;1;1;0;1;0
"prendre";1;0;0,035;0,491;1;0;1
"connaître";1;0,802;1;1;0,042;0;1
"jour";1;0,24;0,003;1;1;0;1
"vraiment";1;1;1;1;0;0;1
"changer";1;1;1;1;0,801;0;1
"vivre";1;1;1;1;1;0;1
"trouver";1;0,191;0,631;1;0;0;1
"jeune";1;1;1;0,931;0;0;1
"emji_visage_faisant_un_clin_d_oeil";1;1;1;1;0,714;1;0
"venir";1;0,091;0;1;0,113;0,057;0
"mettre";1;1;0,195;0;0,62;0;1
"adorer";0;1;1;1;1;1;1
"emji_feu";0;1;1;1;1;1;1
"donner";1;1;0;1;0,002;0;1
"vidéo";1;1;1;1;0;1;0,003
"emji_mains_en_prière";0;1;1;1;1;1;1
"france";1;0;0,524;1;1;0,027;0
"magnifique";0;1;1;1;1;1;1
"emji_visage_souriant_avec_coeurs";0;1;1;1;1;1;1
"animal";1;1;0;1;1;1;1
"jouer";0;1;1;1;1;1;1
"rester";1;1;0;0,261;1;0;1
"raison";0;1;0,001;1;0,009;1;1
"exister";1;0,84;0;1;0,002;0;1
"devenir";1;1;0;1;1;0;1
"fois";1;0;1;0,052;0,02;0,005;1
"seul";1;1;0;1;0;0;1
"commentaire";1;1;1;1;0;1;1
"demander";1;1;1;0,001;0;0;1
"question";1;1;1;1;0;1;1
"mot";1;0,013;1;1;0;1;0,085
"appeler";1;0,03;1;1;1;1;0
"accent";1;1;1;1;1;1;0
"dieu";1;1;1;1;0;1;1
"école";1;1;1;1;1;0;1
"chat";1;1;0;1;1;1;1
"regarder";1;1;1;1;0,039;0;0,037
"sentir";1;1;1;1;0;0,105;1
"humain";1;1;0;1;0,269;0;1
"utiliser";1;0;1;1;0;1;1
"apprendre";1;1;1;1;0;0;1
"emji_mains_levées";0;1;1;1;1;1;1
"meilleur";0;1;1;1;1;1;1
"bidet";1;0;1;1;1;1;1
"vieux";1;1;1;1;1;1;0
"fille";1;1;1;1;1;0;1
"arriver";1;1;1;1;1;0;1
"entendre";1;1;1;1;0;1;0
"nom";1;1;1;1;0;0,215;0
"manger";1;1;0;1;1;1;0,212
"dernier";0;1;1;1;1;0,447;1
"premier";1;1;1;0,245;0,002;1;0
"parent";1;1;1;1;1;0;1
"ca";1;1;0,009;1;0;0,116;1
"emji_visage_souriant_avec_yeux_rieurs";0;1;1;1;1;1;1
"coup";1;1;0,266;0,685;1;0,226;0
"jeu";0;1;1;1;1;1;1
"emji_visage_avec_bouche_ouverte";1;1;1;1;1;0;0,002
"tête";1;1;1;1;1;1;0
"reportage";0;1;1;1;1;1;1
"pays";1;0,459;1;0,166;1;0;1
"cas";1;1;1;0,834;0;0;1
"respect";0,62;1;1;1;0,955;0;1
"problème";1;1;0,001;1;0;0;1
"archive";0;1;1;1;1;1;1
"moment";0,03;1;1;1;1;0;1
"heureux";0;1;0,202;1;1;0;1
"arrêter";1;1;0,624;0,001;0;0;1
"manquer";1;0,828;1;1;0,056;0;1
"malheureusement";1;1;0;1;1;0;1
"pauvre";1;1;0;0,104;1;0;1
"super";0;0,293;0,922;0,373;1;1;1
"niveau";1;1;1;0,787;0,018;0;1
"fin";1;1;1;1;1;0,313;0
"accord";1;1;0,439;0,696;0;0,018;1
"pareil";1;1;0,222;1;1;1;0
"emji_visage_qui_pleure_à_chaudes_larmes";1;1;1;1;1;1;0
"père";1;1;1;1;1;0,072;0
"besoin";1;0,001;0;0,298;0;0;1
"génération";1;1;1;1;0;0;1
"laisser";1;1;0;0,298;0,677;0;1
"renard";1;1;0;1;1;1;1
"plutôt";1;1;0,038;0,515;0,001;0;0,293
"sûr";1;1;0,547;1;0;0,164;1
"classe";1;1;1;1;1;0;1
"blanc";1;1;1;1;0;1;0
"heure";1;1;1;0,586;1;0;1
"etc";1;1;0;0;0,443;0;1
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";0;1;1;1;1;1;1
"maison";1;0;0,203;0,352;1;0;1
"incroyable";0;1;1;1;1;1;1
"hiver";0;1;1;1;1;1;1
"emji_visage_en_pleine_réflexion";1;1;0,168;1;0;1;1
"oublier";1;0,93;1;1;1;0;0,007
"rendre";1;1;0;0,189;1;0;1
"coeur";0;1;0,288;1;1;1;1
"âge";1;1;1;1;0;0;1
"mère";1;1;0,988;1;1;0;1
"emji_pouce_vers_le_haut";0;1;1;1;1;1;1
"part";1;1;1;1;0,499;0;1
"genre";1;1;1;0,602;0;0;1
"emji_visage_souriant_aux_yeux_rieurs";1;1;1;1;1;1;0
"travailler";1;1;1;0,067;1;0;1
"laver";1;0;1;1;1;1;1
"air";1;1;0,535;0,626;1;0;0,97
"plaisir";0;1;0,006;1;1;0,677;1
"écouter";0,03;1;1;1;0;1;1
"perdre";1;1;0,475;1;1;0;1
"simple";0,008;1;1;1;0,844;0;1
"travail";1;0,697;1;0;1;0;1
"touchant";0;1;1;1;1;1;1
"triste";1;1;1;1;1;0;1
"genève";1;1;1;1;1;1;0
"génial";0;1;1;1;1;1;1
"droit";1;1;1;0,037;0,099;0;1
"ami";1;1;0,753;0,767;0;0,001;1
"sortir";1;0,252;1;1;0,056;0;0,759
"gros";1;0,017;1;1;0,125;0,332;0,003
"famille";1;1;0,186;1;1;0;1
"histoire";1;1;1;1;0;0,199;1
"rire";1;1;1;1;1;1;0
"rappeler";0;1;1;1;1;1;0,558
"partie";1;0;0,092;0,732;1;0,002;1
"côté";1;0,003;0,371;1;1;0;0,035
"revenir";1;0,786;1;0,174;1;0;1
"nourrir";1;1;0;1;1;1;1
"importer";1;1;0;0,416;0,602;0;1
"réponse";1;1;1;1;0;1;1
"retrouver";0;1;0,501;1;1;0,054;1
"emji_visage_roulant_des_yeux";1;1;1;0,043;0;1;0,208
"amour";0;1;0,002;1;1;0,69;1
"heureusement";1;0,4;0,192;1;1;0;1
"emji_drapeau_suisse";0;1;1;1;1;1;1
"répondre";1;1;1;1;0;1;1
"espérer";0,025;1;1;1;1;0,001;1
"écrire";1;1;1;1;0;1;1
"toilette";1;0;1;1;1;1;1
"lire";1;1;1;1;0;1;1
"fou";1;1;1;1;0,254;1;0
"ancien";1;1;1;1;0,875;0;1
"préférer";1;0,808;0;0,38;1;0;1
"payer";1;1;0,735;0;1;0,912;1
"garçon";0;1;1;1;1;0;1
"journée";1;0,051;1;1;0,744;0;1
"cher";1;1;0;0;0,803;0,409;1
"place";1;0,145;1;1;1;0;1
"naître";1;0,742;1;1;1;1;0
"mignon";0;1;0,021;1;1;1;1
