"";"";"";"";"emji_se_rouler_par_terre_de_rire";""
"1";"emji_se_rouler_par_terre_de_rire";"0.386367667376679";"0.248751220270299";"1.15881989789471";"34"
"2";"franc";"0.649924723889287";"0.414967261148381";"1.07733438455969";"48"
"3";"assurance";"0.750166561371147";"-1.56522340380743";"1.05055541650687";"51"
"4";"emji_visage_souriant_avec_une_goutte_de_sueur";"0.289635666057828";"0.225136212860512";"1.04516548728097";"53"
"5";"nourriture";"0.575385633081766";"-1.35748273269019";"1.03406507972059";"56"
"6";"emji_mains_en_prière";"-2.05436901908382";"1.53060329242338";"1.02194633317644";"58"
"7";"vérifier";"1.12706830226294";"-1.0964353907879";"1.01685584446309";"61"
"8";"prime";"0.496662108262189";"-1.24784489350155";"1.00446932030047";"63"
"9";"raciste";"0.429876981123953";"-1.03193503602526";"0.998829706538429";"64"
"10";"poser";"0.569633250733606";"-0.845220553087896";"0.99822811155098";"65"
"11";"humain";"0.00375157143734878";"-0.756929882436241";"0.99305409310755";"66"
"12";"japonais";"5.49090589430089";"5.85147618508332";"0.98667507538099";"72"
"13";"unique";"0.584782185168081";"-1.00436317083072";"0.986201338175335";"73"
"14";"québécois";"0.496094272086998";"0.388671729401405";"0.985774341432364";"74"
"15";"monde";"0.113125313877584";"-0.450308296793247";"0.983636643755159";"76"
"16";"répondre";"0.257868468724158";"-0.798998012054584";"0.977746139251489";"78"
"17";"chien";"0.324173700726168";"-0.947322355106845";"0.974391983339013";"80"
"18";"vaccin";"0.697142439458944";"-1.56178209616564";"0.972200307966192";"81"
"19";"exprimer";"-0.19969954668038";"-0.478558371036919";"0.972037771776601";"82"
"20";"jurer";"0.385950718631193";"0.329024182010616";"0.968182739034975";"84"
"21";"coop";"0.369710341690962";"-1.40656093093785";"0.964300265118484";"88"
"22";"emji_visage_avec_des_étoiles_à_la_place_des_yeux";"-2.44753490598902";"1.87586453555801";"0.963521961026952";"89"
"23";"gruyère";"5.26976472670649";"5.63765386021714";"0.963447176286658";"90"
"24";"hygiénique";"5.43790432458413";"5.86941186173839";"0.962475276214203";"91"
"25";"comprendre";"0.105176787225504";"-0.420055510245723";"0.957773487219568";"93"
"26";"viande";"0.460176070369382";"-1.32200582810831";"0.957695385414179";"94"
"27";"ménager";"0.443612394875137";"-0.99444106153611";"0.955825465355448";"95"
"28";"euro";"0.385872399320801";"0.0235389776269472";"0.955708764974424";"96"
