emji_visage_riant_aux_larmes;126;61;28;164;97;314;298;3073;514
emji_coeur_rouge;5;32;2;23;9;62;10;36;1456
voir;50;119;24;283;100;736;87;311;210
emji_visage_souriant_avec_yeux_en_forme_de_coeur;8;9;0;10;10;47;13;39;1229
époque;11;40;27;189;81;456;62;264;536
aller;51;107;23;163;93;667;61;329;85
beau;5;31;3;65;35;177;22;70;1012
aimer;15;88;10;92;55;206;39;185;461
emji_applaudissements;9;11;1;18;5;54;5;28;615
suisse;29;14;19;55;62;145;676;69;131
femme;18;14;8;107;675;101;3;65;167
emji_se_rouler_par_terre_de_rire;31;4;4;21;15;36;35;519;61
parler;14;42;4;312;71;202;150;209;113
enfant;6;17;8;156;62;552;14;51;155
homme;6;37;2;103;520;114;13;30;177
souvenir;1;13;8;20;10;109;20;83;733
vie;15;47;7;47;92;499;11;38;255
petit;40;84;8;86;36;252;36;197;218
gens;32;69;15;207;22;459;14;67;96
année;15;40;15;92;48;233;36;279;200
temps;9;33;21;59;49;443;23;92;128
penser;17;51;10;117;60;327;22;191;52
monde;14;34;7;95;66;479;21;47;83
tellement;16;27;4;56;31;140;25;71;460
emji_visage_qui_pleure;5;29;8;35;20;353;7;29;155
chose;16;33;16;133;37;388;21;77;63
comprendre;16;42;10;294;64;160;17;87;104
vrai;12;37;11;78;122;179;34;103;186
emji_visage_souriant_avec_une_goutte_de_sueur;26;20;4;20;18;43;34;431;73
passer;12;29;28;57;35;335;30;106;87
grand;13;30;10;43;41;242;38;97;195
français;71;3;3;123;29;98;147;103;57
prendre;54;51;19;53;48;296;20;111;47
connaître;25;22;7;91;33;256;38;127;65
jour;29;50;6;31;39;351;14;63;73
vraiment;14;30;9;93;35;250;26;77;125
changer;7;21;13;90;46;306;30;85;55
vivre;14;33;6;37;29;335;31;31;102
trouver;28;38;8;93;51;246;20;66;64
jeune;4;6;9;116;34;257;17;63;91
emji_visage_faisant_un_clin_d_oeil;16;16;4;71;22;87;122;167;77
venir;29;55;7;73;26;175;53;144;36
mettre;17;35;28;63;43;240;13;98;36
adorer;10;23;1;28;9;45;19;60;365
emji_feu;3;5;1;9;5;38;2;20;346
donner;5;83;9;79;32;192;14;40;60
vidéo;3;12;2;128;19;111;26;139;80
emji_mains_en_prière;1;7;2;8;6;36;1;22;337
france;58;28;5;43;28;124;83;98;10
magnifique;0;5;1;5;2;22;6;10;462
emji_visage_souriant_avec_coeurs;1;13;2;7;5;11;2;14;341
animal;0;338;1;8;7;32;0;4;53
jouer;2;7;5;22;22;75;6;58;261
rester;12;43;6;44;33;196;24;58;43
raison;2;39;8;78;42;78;8;41;169
exister;17;43;7;56;42;198;12;41;38
devenir;4;37;6;35;31;228;19;36;56
fois;47;21;16;63;35;115;19;82;40
seul;9;53;7;74;28;163;12;49;43
commentaire;1;16;1;276;10;25;14;65;32
demander;10;16;18;82;30;168;6;61;17
question;8;15;2;293;9;41;14;20;16
mot;23;2;3;164;11;43;39;68;37
appeler;22;14;3;31;14;54;18;215;23
accent;5;0;0;7;0;4;270;14;70
dieu;4;10;0;107;23;121;5;30;78
école;12;4;2;15;13;216;12;27;71
chat;5;228;0;8;1;24;4;23;60
regarder;1;13;3;47;28;120;12;109;53
sentir;9;14;8;119;29;102;8;52;42
humain;1;125;3;39;40;94;3;5;50
utiliser;98;22;5;86;12;51;40;38;2
apprendre;4;12;4;57;17;176;6;30;28
emji_mains_levées;3;3;3;17;10;30;8;23;237
meilleur;4;16;4;19;12;57;8;30;201
bidet;300;0;0;5;1;10;2;5;9
vieux;4;13;3;33;14;65;11;157;48
fille;3;2;2;11;39;136;8;69;70
arriver;8;13;9;36;19;164;13;63;25
entendre;6;9;2;67;13;52;25;115;60
nom;4;1;3;100;18;76;15;81;15
manger;8;164;1;3;8;28;3;89;19
dernier;3;9;6;34;15;82;16;55;114
premier;2;14;6;52;25;62;23;99;35
parent;11;5;1;23;5;207;9;35;19
ca;9;26;2;81;13;88;14;47;30
emji_visage_souriant_avec_yeux_rieurs;8;8;1;25;4;42;21;36;181
coup;6;20;10;31;19;86;15;117;17
jeu;2;4;4;19;10;60;3;30;172
emji_visage_avec_bouche_ouverte;7;11;5;20;13;92;7;88;34
tête;2;5;3;31;8;38;2;199;19
reportage;7;4;2;15;5;36;16;23;201
pays;13;6;10;23;28;124;35;22;37
cas;9;14;4;68;23;124;13;38;10
respect;0;9;6;42;29;131;2;5;76
problème;5;28;4;60;57;102;4;15;8
archive;1;3;1;16;5;32;29;33;175
moment;3;7;3;24;20;107;14;30;87
heureux;2;21;4;23;21;96;2;22;100
arrêter;3;19;10;57;21;132;10;25;9
manquer;11;13;0;34;12;125;11;19;64
malheureusement;2;35;1;29;20;150;6;9;31
pauvre;1;40;9;17;11;136;6;42;17
super;13;13;8;22;4;57;6;48;101
niveau;2;7;6;40;11;159;5;14;15
fin;3;9;1;32;18;63;3;103;44
accord;6;12;3;54;15;60;6;16;36
pareil;7;19;5;33;14;58;7;109;24
emji_visage_qui_pleure_à_chaudes_larmes;3;6;4;7;4;19;6;124;21
père;1;4;1;16;13;73;24;87;40
besoin;19;57;6;36;33;84;4;12;15
génération;1;6;1;58;13;118;7;22;35
laisser;4;35;8;31;12;132;4;17;18
renard;0;210;0;1;0;0;1;6;38
plutôt;6;23;3;40;24;83;17;59;4
sûr;4;14;3;91;15;73;10;32;17
classe;0;0;2;27;8;110;8;37;41
blanc;0;6;0;48;8;24;5;133;8
heure;1;8;5;15;12;103;6;32;51
etc;8;35;17;27;30;74;7;23;10
emji_visage_avec_des_étoiles_à_la_place_des_yeux;0;1;0;3;0;6;0;5;193
maison;37;20;4;10;25;67;6;43;25
incroyable;5;4;0;24;13;40;8;23;133
hiver;0;8;1;4;0;27;3;20;175
emji_visage_en_pleine_réflexion;3;19;4;100;10;19;11;36;9
oublier;9;6;2;20;19;76;13;70;30
rendre;1;36;4;31;30;97;5;18;17
coeur;0;16;3;12;7;46;9;7;131
âge;0;5;1;55;9;108;3;19;41
mère;7;14;2;13;19;87;8;48;40
emji_pouce_vers_le_haut;2;6;0;9;3;18;9;25;140
part;8;12;2;31;22;95;17;38;17
genre;2;7;5;42;29;81;3;48;18
emji_visage_souriant_aux_yeux_rieurs;4;4;4;12;1;25;21;130;25
travailler;2;7;6;7;24;130;12;23;21
laver;205;1;1;4;2;12;0;2;1
air;4;14;7;17;11;91;2;59;33
plaisir;1;21;0;23;12;56;5;19;103
écouter;0;0;0;90;4;35;9;23;70
perdre;1;14;3;19;28;83;14;43;26
simple;5;8;4;27;10;94;4;6;73
travail;9;5;8;9;27;123;6;8;27
touchant;0;0;0;1;1;14;0;1;217
triste;1;7;1;15;8;144;3;10;42
genève;3;3;0;0;3;25;139;30;15
génial;6;2;1;10;2;22;2;18;165
droit;2;9;7;33;72;66;1;15;10
ami;3;13;3;36;2;94;8;12;44
sortir;11;11;1;29;13;82;7;55;11
gros;14;9;6;28;18;50;4;69;14
famille;4;15;0;11;7;113;12;26;27
histoire;5;8;1;46;10;73;14;20;35
rire;4;1;1;16;4;12;4;120;51
rappeler;2;4;3;15;8;41;9;49;85
partie;28;17;2;23;26;54;16;22;25
côté;16;14;3;17;12;70;21;51;17
revenir;8;9;6;6;16;96;7;36;20
nourrir;1;171;0;1;5;16;0;2;11
importer;1;23;4;26;11;111;7;19;8
réponse;2;1;1;122;4;29;2;16;31
retrouver;1;14;2;14;13;52;9;31;78
emji_visage_roulant_des_yeux;2;8;6;66;9;40;3;53;5
amour;4;20;0;16;15;45;5;6;95
heureusement;10;13;4;5;18;101;12;44;9
emji_drapeau_suisse;0;1;1;3;5;15;15;12;118
répondre;1;6;1;130;1;24;7;13;12
espérer;4;10;2;22;6;73;3;27;65
écrire;1;1;2;109;6;35;8;26;12
toilette;181;1;1;2;1;8;3;0;0
lire;3;0;2;131;7;29;6;19;7
fou;4;6;2;45;14;27;7;66;34
ancien;3;5;3;28;3;81;11;26;48
préférer;8;21;2;18;31;56;3;26;41
payer;0;12;46;11;26;68;7;22;5
garçon;1;2;0;17;19;55;5;21;80
journée;12;4;2;17;9;72;4;30;45
cher;2;25;22;18;11;56;6;29;20
place;11;9;2;19;19;102;7;17;15
naître;8;5;2;19;10;43;21;63;29
mignon;0;16;3;11;0;17;1;5;146
pire;3;14;9;8;10;92;12;29;10
mec;0;1;3;17;11;24;4;126;10
poser;6;13;1;134;6;16;5;7;2
truc;10;10;9;25;10;48;9;67;10
finir;1;24;1;10;20;80;5;28;21
eau;61;21;6;7;6;42;5;30;8
idée;2;13;1;29;8;80;5;36;20
garder;3;28;2;8;14;72;8;26;28
façon;3;4;2;50;8;61;7;21;29
élastique;0;2;0;1;3;19;0;5;154
mort;1;24;5;19;7;89;1;25;8
nature;0;57;1;16;5;49;0;1;52
début;3;4;1;14;10;35;6;96;17
enfance;3;1;2;5;0;28;4;9;133
partir;5;8;1;18;7;82;2;48;12
compte;0;9;2;34;27;75;4;13;14
société;0;9;1;22;27;102;2;1;18
mdr;11;3;2;9;5;15;10;121;6
attendre;3;15;4;24;5;78;5;40;6
noir;0;4;0;45;5;22;3;80;9
exactement;1;6;7;69;11;34;8;29;17
servir;54;12;6;19;9;35;5;24;6
acheter;9;56;5;6;8;44;6;29;12
mauvais;2;17;4;41;13;71;3;10;10
dimanche;0;3;0;10;4;45;3;62;33
bonheur;1;3;1;9;2;28;2;4;124
valoir;3;16;0;4;3;27;46;53;20
exprimer;0;0;0;118;2;10;2;3;34
mode;9;9;4;26;6;36;1;66;9
propre;46;5;1;21;15;47;10;16;8
exemple;8;13;2;15;29;63;8;10;26
cours;1;2;3;13;12;71;2;37;21
sembler;3;11;6;43;7;57;17;17;10
rts;0;1;2;8;4;18;65;15;55
emji_visage_retenant_ses_larmes;1;1;1;3;2;6;2;3;126
voiture;1;8;4;5;6;88;9;25;14
merveilleux;0;1;1;1;3;6;3;3;150
chercher;1;13;1;34;32;52;3;19;10
joli;2;0;2;9;3;17;10;14;111
oeil;1;5;2;18;8;61;4;15;51
normal;3;9;3;31;33;59;5;10;6
pied;48;4;1;8;7;43;4;30;5
simplement;4;10;1;47;19;43;5;11;21
recevoir;1;3;3;8;1;100;3;18;20
couper;4;14;0;11;8;38;9;61;12
pratique;78;8;4;10;3;28;4;13;6
noël;0;3;1;4;1;62;14;22;36
journaliste;1;1;0;70;2;19;5;27;25
ville;1;24;0;4;7;53;27;24;8
partager;0;3;0;16;9;17;4;7;98
cause;1;26;7;15;44;36;4;14;2
permettre;9;14;4;15;6;82;1;8;12
sujet;2;11;0;93;6;18;5;12;4
éducation;1;3;2;15;13;94;2;8;7
georges;0;0;0;10;76;6;2;9;33
foutre;0;8;4;7;4;59;5;53;8
