"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9"
"emji_visage_riant_aux_larmes";1;1;1;1;1;1;0,022;0;1
"emji_coeur_rouge";1;1;1;1;1;1;1;1;0
"voir";1;0,046;1;0;1;0;1;1;1
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";1;1;1;1;1;1;1;1;0
"époque";1;1;1;1;1;0;1;1;0
"aller";1;0,004;1;1;0,879;0;1;0,652;1
"beau";1;1;1;1;1;1;1;1;0
"aimer";1;0;1;1;1;1;1;1;0
"emji_applaudissements";1;1;1;1;1;1;1;1;0
"suisse";1;1;1;1;1;1;0;1;1
"femme";1;1;1;1;0;1;1;1;1
"emji_se_rouler_par_terre_de_rire";0,316;1;1;1;1;1;1;0;1
"parler";1;1;1;0;0,421;1;0;1;1
"enfant";1;1;1;0;0,708;0;1;1;1
"homme";1;1;1;1;0;1;1;1;1
"souvenir";1;1;1;1;1;1;1;1;0
"vie";1;1;1;1;0;0;1;1;0,356
"petit";0,316;0;1;1;1;0,001;1;0,878;1
"gens";1;0,009;1;0;1;0;1;1;1
"année";1;1;1;1;1;0,067;1;0;1
"temps";1;1;0,361;1;1;0;1;1;1
"penser";1;0,284;1;0,029;0,107;0;1;0,114;1
"monde";1;1;1;1;0,012;0;1;1;1
"tellement";1;1;1;1;1;1;1;1;0
"emji_visage_qui_pleure";1;1;1;1;1;0;1;1;0,913
"chose";1;1;0,961;0;1;0;1;1;1
"comprendre";1;0,921;1;0;0,006;1;1;1;1
"vrai";1;1;1;1;0;0,285;1;1;0,788
"emji_visage_souriant_avec_une_goutte_de_sueur";0,672;1;1;1;1;1;1;0;1
"passer";1;1;0;1;1;0;1;1;1
"grand";1;1;1;1;1;0;1;1;0,027
"français";0;1;1;0;1;1;0;1;1
"prendre";0;0,012;0,183;1;0,224;0;1;1;1
"connaître";0,801;1;1;0,065;1;0;0,935;1;1
"jour";0,245;0,005;1;1;0,874;0;1;1;1
"vraiment";1;1;1;0,03;1;0;1;1;1
"changer";1;1;1;0,058;0,171;0;1;1;1
"vivre";1;0,886;1;1;1;0;1;1;1
"trouver";0,19;0,272;1;0,004;0,007;0;1;1;1
"jeune";1;1;1;0;1;0;1;1;1
"emji_visage_faisant_un_clin_d_oeil";1;1;1;0,564;1;1;0;0;1
"venir";0,094;0;1;0,555;1;0;0,001;0,024;1
"mettre";1;0,331;0;1;0,079;0;1;1;1
"adorer";1;1;1;1;1;1;1;1;0
"emji_feu";1;1;1;1;1;1;1;1;0
"donner";1;0;1;0,005;0,679;0;1;1;1
"vidéo";1;1;1;0;1;1;1;0;1
"emji_mains_en_prière";1;1;1;1;1;1;1;1;0
"france";0;0,515;1;1;0,949;0,03;0;0,932;1
"magnifique";1;1;1;1;1;1;1;1;0
"emji_visage_souriant_avec_coeurs";1;1;1;1;1;1;1;1;0
"animal";1;0;1;1;1;1;1;1;1
"jouer";1;1;1;1;1;1;1;1;0
"rester";1;0;1;1;0,201;0;1;1;1
"raison";1;0,002;1;0;0,003;1;1;1;0
