"";"";"";"";"*postReposts_40";""
"1";"*postReposts_40";"-1.02414534937706";"0.325708802751493";"2.75623336926698";"3"
"2";"*postDate_15-11-2025";"-1.03391444326561";"0.24040455923013";"2.10658909435";"4"
"3";"*postComments_263";"-1.43503276399056";"-0.283977612646397";"1.26785251733075";"10"
"4";"*postDate_19-11-2025";"-1.07006945542728";"-0.343739158118341";"1.16260872891094";"12"
"5";"*postComments_380";"-1.25304167243461";"-0.792255736804763";"1.13150650442264";"14"
"6";"-*massimooscarcarbone";"-1.60687582655148";"0.0902674881638097";"1.06909566909398";"16"
"7";"*commentDate_19-11-2025";"-0.867467583429614";"-0.206346361985246";"1.00264887080043";"19"
"8";"*postReposts_116";"-0.0632371701403747";"0.309202379286316";"1.0013663270412";"21"
"9";"*postComments_260";"-1.34600165251509";"-0.903631415149113";"0.990458824898813";"23"
"10";"*postDate_31-10-2025";"-0.95696556936787";"-0.295494154292014";"0.974997571880981";"28"
"11";"*postReposts_61";"-1.2308353672536";"0.0719676997085184";"0.969378430141623";"29"
"12";"*postComments_208";"0.0717793511947824";"0.416953363542797";"0.966879763913047";"31"
"13";"-*pascal_baihao";"-1.02073008221926";"-0.0901616966785778";"0.952810045199906";"32"
"14";"*postReposts_26";"-0.528239143673399";"-0.00399542850918216";"0.950385088382779";"33"
"15";"*postComments_144";"-1.10755303491273";"0.0590629548067821";"0.949483017697938";"34"
"16";"*postReposts_25";"-0.703772639859594";"-0.249530520208438";"0.931763275185467";"37"
"17";"*i_0526";"-1.15793871689604";"0.312002177816404";"0.925037664078731";"41"
"18";"*postComments_255";"-1.15793871689604";"0.312002177816404";"0.925037664078731";"42"
"19";"*postReposts_184";"-1.15793871689604";"0.312002177816404";"0.925037664078731";"43"
"20";"*postComments_156";"-0.327408259972498";"0.388191009990195";"0.915580663770191";"46"
"21";"*commentDate_15-11-2025";"-0.623375550261633";"0.29752445421133";"0.914876366202812";"47"
"22";"*postLikes_13100";"-1.19265326537368";"-0.555230890510068";"0.914549560205531";"49"
"23";"*postReposts_422";"-1.19265326537368";"-0.555230890510068";"0.914549560205531";"50"
"24";"*postDate_5-11-2025";"-0.771259861494305";"0.0169868195014174";"0.912369749296147";"51"
"25";"*commentDate_31-10-2025";"-0.791732089379765";"-0.142050967368428";"0.909820894412134";"54"
"26";"*i_0487";"-0.539737775532118";"-0.173514563243222";"0.909543614513782";"56"
"27";"*postLikes_16000";"-1.06234782167728";"0.355115444144716";"0.906515896914038";"58"
"28";"*postReposts_2";"-0.931301695776631";"-0.358176748577489";"0.904723350283235";"59"
"29";"*postComments_412";"-0.430850930586894";"0.024591086032291";"0.903172636777638";"61"
"30";"*postComments_362";"-0.319637692640411";"0.229970116050874";"0.900732109882588";"65"
"31";"*postReposts_13";"-0.936449229859815";"-0.146780437459411";"0.896522557112747";"67"
"32";"*i_0939";"-0.218312137795775";"0.236831125662436";"0.895122575212587";"68"
"33";"*postComments_132";"-0.218312137795775";"0.236831125662436";"0.895122575212587";"69"
"34";"*postReposts_79";"-0.231223093647419";"0.383747967784964";"0.891441742535661";"72"
"35";"*postComments_492";"2.31405382467818";"-0.131604880272688";"0.88885860035239";"74"
"36";"*i_0164";"-0.972078005363426";"0.291027128729681";"0.885711125663931";"79"
"37";"*postComments_250";"-0.972078005363426";"0.291027128729681";"0.885711125663931";"80"
"38";"*postComments_202";"-0.952406813132748";"-0.344728353611446";"0.879759380557852";"86"
"39";"*postLikes_1100";"-0.676613910343609";"-0.538070953857102";"0.875004709421539";"88"
"40";"*commentDate_13-10-2025";"1.16949408128408";"0.204226526588763";"0.873011076890737";"89"
"41";"*postLikes_9600";"-1.22351280245583";"-0.830649441964355";"0.872878731228381";"91"
"42";"*postComments_258";"-1.22351280245583";"-0.830649441964355";"0.872878731228381";"92"
"43";"*postReposts_125";"-1.22351280245583";"-0.830649441964355";"0.872878731228381";"93"
"44";"*i_0029";"-1.44851712150915";"-0.881819715444891";"0.871467154589341";"95"
"45";"*commentDate_14-10-2025";"1.16752282553421";"0.0836339446751741";"0.870675565202111";"96"
"46";"*i_0157";"-1.24910202975623";"-0.25824327751237";"0.87058346984758";"97"
"47";"*postComments_194";"-1.2140967732024";"-0.616544165998061";"0.869780616999724";"100"
"48";"*postDate_25-10-2025";"-0.728570194958767";"0.169518704637731";"0.869589138169082";"101"
"49";"-*fed_369";"-1.77590030324281";"0.17614102966236";"0.868919956096597";"105"
"50";"*postLikes_9100";"-0.668899774005581";"-0.0701459903929042";"0.867989561121064";"106"
"51";"*postComments_273";"2.4073340220595";"-0.264240603349695";"0.865894226166374";"109"
"52";"*postReposts_376";"2.4073340220595";"-0.264240603349695";"0.865894226166374";"110"
"53";"*postComments_326";"2.62307186882068";"-0.116832600682394";"0.865218584167941";"112"
"54";"*i_0550";"-1.06851583902055";"-0.619455306323765";"0.863616356893893";"114"
"55";"*postComments_28";"-1.03086760390007";"-0.212118397403358";"0.862421104954522";"116"
"56";"*i_0035";"-1.14610844752227";"-0.0631792310597892";"0.861906795465644";"117"
"57";"*postComments_134";"-1.14610844752227";"-0.0631792310597892";"0.861906795465644";"118"
"58";"*postComments_300";"2.34230076859881";"-0.0556399405121117";"0.860529506125862";"120"
"59";"*i_0407";"-0.516995292525739";"0.648266586652316";"0.859568302272735";"121"
"60";"*postComments_353";"-0.516995292525739";"0.648266586652316";"0.859568302272735";"122"
"61";"*postReposts_127";"-0.516995292525739";"0.648266586652316";"0.859568302272735";"123"
"62";"*postComments_223";"1.75857683326128";"-0.113427608277575";"0.85895643133814";"124"
"63";"*postDate_2-11-2025";"-0.134057048034106";"-0.197779095072978";"0.858669544370431";"126"
"64";"*i_0211";"-0.803217184303743";"-0.267439182716415";"0.856661501235593";"127"
"65";"*postLikes_6800";"-0.267569148250839";"0.12387254796015";"0.856652059805362";"128"
"66";"-*yoann2j";"-1.77590030324281";"0.17614102966236";"0.855134474125136";"130"
"67";"-*dxrixne_";"-1.47891742845298";"-0.704051736656011";"0.854897444534609";"131"
"68";"-*richiecrdvr";"-1.35464821217966";"0.178915323510445";"0.854481193408828";"132"
"69";"*i_0776";"-1.0723135023996";"-0.350827719083932";"0.854247807879092";"133"
"70";"*postComments_188";"-1.0723135023996";"-0.350827719083932";"0.854247807879092";"134"
"71";"*i_0332";"-0.0930697122981151";"0.367501243263577";"0.854232900357675";"135"
"72";"*postComments_310";"-0.0930697122981151";"0.367501243263577";"0.854232900357675";"136"
"73";"*i_0523";"-1.10664420866388";"-0.319152320500193";"0.854129541542519";"137"
"74";"*postLikes_3700";"-0.859065576774271";"0.604473308292096";"0.853283291243427";"138"
"75";"-*ant_1d";"-1.11202238942566";"-0.841561354291499";"0.851820200835936";"140"
"76";"*postDate_20-11-2025";"-0.808764787849063";"0.509145330622617";"0.851786907371438";"141"
"77";"-*sansdec_";"-0.150034687207879";"0.213214122809866";"0.851726117811883";"142"
"78";"*postComments_236";"2.21980471174905";"-0.178270234826102";"0.850838126452825";"144"
"79";"*postLikes_4500";"-0.581716569830305";"0.235829806759558";"0.850458315934951";"145"
"80";"*postComments_337";"2.21780004424244";"-0.0448514974243993";"0.850105007677374";"147"
"81";"*postReposts_195";"2.21780004424244";"-0.0448514974243993";"0.850105007677374";"148"
"82";"*i_0488";"-1.1698035746992";"-0.779084057802265";"0.84963674586576";"149"
"83";"-*gabi_casa92";"-1.27548349396929";"0.20325300610759";"0.848759024132567";"151"
"84";"*postReposts_20";"-0.40930168544822";"-0.00866752478607109";"0.846761250623594";"152"
"85";"*postLikes_3100";"0.896501564309305";"0.144957401735143";"0.846627579848223";"153"
"86";"-*ge_conduis_mal";"-0.0880336932503754";"-0.0922473625925715";"0.846419371465769";"154"
"87";"*postComments_747";"1.36174776825023";"0.103704548082719";"0.84609985359007";"156"
"88";"*postLikes_5500";"1.07077527858054";"0.20001771931205";"0.846088093212063";"157"
"89";"*commentDate_5-11-2025";"-0.494095176108598";"0.180565736404254";"0.845785304888176";"158"
"90";"*postLikes_2000";"-0.867420205448348";"0.294577007376446";"0.84565560945185";"161"
"91";"*postLikes_6200";"1.69129715872627";"-0.089594930003059";"0.844924478345922";"162"
"92";"*postLikes_7600";"1.24588260057742";"0.139109318025392";"0.844105558502761";"165"
"93";"*i_0152";"-0.708960277295791";"-0.147048782823914";"0.844070277368741";"166"
"94";"*postReposts_49";"-0.708960277295791";"-0.147048782823914";"0.844070277368741";"167"
"95";"*postLikes_5100";"-0.720493556081919";"-0.00498082720505248";"0.844040793604161";"168"
"96";"*i_0283";"-0.997630795095107";"-0.22984379963958";"0.843790015966106";"170"
"97";"*postDate_14-10-2025";"0.919228173933308";"0.0393913678996731";"0.843370286418661";"171"
"98";"*postComments_109";"2.15261926017605";"-0.245426396806366";"0.843263946099221";"172"
"99";"-*thomxs_rxemy";"-1.22711013931485";"0.0482047475264251";"0.842459436860097";"173"
"100";"*postLikes_4900";"-1.01872777968376";"-0.236272800758988";"0.842450657986373";"174"
"101";"*postComments_70";"-0.855779513823787";"0.288772984216527";"0.841740066132174";"175"
"102";"*commentDate_12-10-2025";"0.875925276206415";"0.45762275167085";"0.841620971599967";"176"
"103";"-*benoitdelaloye";"-1.77590030324281";"0.17614102966236";"0.841349820349309";"178"
"104";"-*smith_of_ardmore";"-1.77590030324281";"0.17614102966236";"0.841349820349309";"179"
"105";"*postDate_12-11-2025";"-0.334358304687982";"0.224297713945669";"0.841129851588848";"181"
"106";"*postLikes_2700";"-0.59222485426963";"0.73044712632099";"0.841004297130694";"182"
"107";"*postDate_24-10-2025";"-0.342328882569838";"0.00392296070913154";"0.840860025451205";"183"
"108";"*postLikes_7100";"2.41722705407494";"-0.226122156245927";"0.840756500996922";"185"
"109";"*postReposts_51";"-0.631849119901376";"0.159945358621868";"0.839710158632592";"188"
"110";"*postLikes_6300";"-0.39429266283969";"0.297238568317275";"0.839635124108127";"189"
"111";"*postComments_86";"-1.08063172613896";"0.187179988037983";"0.839267570885641";"190"
"112";"*i_0097";"-0.677293098956722";"-0.428880697981023";"0.83924868802518";"191"
"113";"*postDate_27-10-2025";"0.951320593784133";"0.490430665157138";"0.838957328801045";"192"
"114";"*postComments_102";"-1.10812826932338";"-0.111402061626436";"0.838545053014308";"193"
"115";"*postReposts_139";"2.19766810277452";"0.00773491334056064";"0.83822073160393";"195"
"116";"*postDate_11-10-2025";"0.885325707614138";"0.453613485633221";"0.837629399921065";"196"
"117";"-*ks_softly";"-0.066289790143389";"0.21415944026707";"0.837269631737541";"197"
"118";"*i_0531";"-0.0826989004249035";"0.509276300009084";"0.837202050973785";"198"
"119";"*postComments_162";"-0.0826989004249035";"0.509276300009084";"0.837202050973785";"199"
"120";"*postReposts_303";"-0.0826989004249035";"0.509276300009084";"0.837202050973785";"200"
"121";"*i_0412";"-1.40127107004122";"-0.515006277645402";"0.837179192774279";"201"
"122";"*i_0310";"-0.630570801015145";"-0.304054594519157";"0.837107636671479";"202"
"123";"*postReposts_140";"-0.630570801015145";"-0.304054594519157";"0.837107636671479";"203"
"124";"*i_0358";"2.05092567301012";"-0.167445053692802";"0.836816608725598";"205"
"125";"*i_0476";"-1.16235308384867";"-0.45785663896101";"0.836799216617279";"206"
"126";"*postComments_81";"-1.16235308384867";"-0.45785663896101";"0.836799216617279";"207"
"127";"*postReposts_105";"-1.16235308384867";"-0.45785663896101";"0.836799216617279";"208"
"128";"*i_0942";"-1.18742020111123";"-0.367576490938896";"0.8363317830013";"209"
"129";"*postDate_25-12-2025";"0.0413338381458066";"0.482874498577441";"0.835929776840428";"210"
"130";"*postDate_28-10-2025";"0.917900599347324";"0.388465079577543";"0.835708979884333";"211"
"131";"*commentDate_17-11-2025";"-0.982500042564019";"0.0106914124204659";"0.835601977008386";"212"
"132";"*postLikes_12300";"-0.341633993918045";"0.646350743970504";"0.835589057156491";"213"
"133";"*i_0207";"-1.60916845444503";"-1.0138610111492";"0.835378364187134";"215"
"134";"*commentDate_11-10-2025";"0.866152972223041";"0.246258178003863";"0.834591909612837";"216"
"135";"*postComments_43";"-0.888874611972286";"-0.0554432925565192";"0.834446809737713";"217"
"136";"*commentDate_27-10-2025";"0.820343106958171";"0.286372092900966";"0.834386185817285";"218"
"137";"*i_0081";"-1.19030722381276";"-0.729231626782162";"0.834312476405836";"219"
"138";"*commentDate_24-10-2025";"-0.330928257618404";"0.105722644587783";"0.833766861121982";"220"
"139";"-*maxx_shmd";"-1.20462817725438";"-0.887357895144746";"0.83340063301251";"222"
