"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"emji_visage_riant_aux_larmes";-166,379;-7,149;4367,462;-30,797;-324,165;-14,834;-318,65
"aller";-47,56;-66,328;126,359;-1,158;3,313;-0,168;-0,065
"suisse";-65,083;-29,537;-24,792;-8,884;-39,611;-1,145;460,54
"voir";-36,902;-52,404;-6,073;0,231;260,542;0,024;-34,565
"parler";8,378;-68,625;-81,625;37,825;59,633;-5,249;-0,897
"pays";33,712;-11,939;-32,743;-5,149;-16,878;-2,847;49,082
"gens";-17,024;-57,651;-36,373;-17,313;147,426;-4,915;5,768
"monde";-14,328;-21,861;-18,246;-0,058;40,037;-9,792;14,203
"prendre";-31,489;-31,986;-14,044;0,684;0,342;9,028;70,38
"enfant";22,673;-10,277;-23,77;48,537;-25,348;-13,254;22,03
"mettre";-20,903;-34,447;-1,134;-0,728;26,882;1,68;5,064
"payer";-105,621;-44,675;-105,562;-15,721;-265,225;-5,012;1523,626
"femme";-56,019;-19,719;-76,132;6060,411;-99,892;-20,58;-51,908
"penser";-30,446;-33,358;-11,988;0,13;154,827;-0,096;-5,43
"comprendre";-28,321;-33,62;-18,168;0,978;187,413;-3,606;-7,789
"passer";-0,922;-22,292;-5,577;-5,288;59,109;6,941;-7,476
"problème";-55,743;-34,166;-24,235;0,987;1,362;-1,549;141,997
"chose";-25,453;-18,52;-33,512;-0,078;284,742;-6,306;-24,584
"emji_applaudissements";-30,094;4908,157;-53,226;-13,982;-97,2;-11,277;-114,03
"temps";-46,41;-12,325;-9,444;-0,005;72,492;0,004;1,869
"droit";433,662;-30,482;-65,26;14,958;-22,679;-12,83;-18,095
"vraiment";-32,459;-11,126;1,37;-0,583;100,73;-0,69;-15,219
"arrêter";43,855;-15,033;-6,881;-2,966;-0,703;-0,076;0
"rester";-27,502;-10,843;-1,701;6,948;-0,003;-0,172;37,613
"vie";-68,092;-6,318;-17,08;-0,354;-4,619;-3,995;215,068
"police";216,972;-6,056;-15,394;-2,277;5,108;-0,629;-91,307
"donner";-18,989;-17,848;-29,08;0,507;137,829;-4,381;-1,761
"vrai";-5,795;-10,474;-13,578;-0,073;60,545;-0,019;-1,275
"grand";-52,823;0,363;-12,165;-0,801;-9,964;-0,401;154,891
"venir";-1,797;-18,446;9,026;-0,435;3,551;-1,223;-0,115
"travail";-56,218;-3,608;-29,973;-6,919;-35,761;-1,481;370,197
"homme";-32,375;-13,944;-57,69;6334,206;-134,941;-19,985;-83,287
"jour";-13,53;-7,377;7,2;-0,002;-1,248;0,023;11,662
"trouver";-27,661;-17,335;-13,775;4,891;19,462;-1,44;19,848
"état";201,854;-12,165;-63,625;-12,49;-46,823;-11,339;31,212
"vivre";-25,864;-26,927;-10,351;-0,485;42,604;-3,761;14,8
"commentaire";-65,291;-2,844;-7,347;0,241;536,311;-9,191;-157,022
"fois";-4,421;-18,083;-1,06;-0,234;35,159;-2,107;-0,296
"demander";12,381;-17,586;-32,633;6,154;1,816;-2,677;2,902
"emji_visage_qui_pleure";-9,301;843,654;-4,879;-1,117;-16,816;-1,55;-21,81
"année";-23,754;-5,744;-8,262;0,88;-28,178;0;156,211
"cas";-4,823;-26,503;-39,998;13,566;21,221;-0,467;11,204
"seul";1,186;-21,083;-11,207;10,635;-4,387;-4,593;29,199
"riche";-112,684;-18,323;-67,331;-18,335;-128,086;-11,336;1030,109
"palestinien";2506,004;-29,322;-98,544;-21,564;-191,743;-17,984;-212,763
"israël";2494,568;-30,566;-98,064;-24,927;-193,026;-17,493;-203,764
"emji_se_rouler_par_terre_de_rire";-49,686;-3,727;823,877;-15,535;-58,671;-2,983;-31,533
"question";-23,181;-24,437;-53,007;-0,281;203,361;-5,888;-0,926
"france";-49,375;-14,636;6,617;-11,321;0,21;7,907;33,335
"petit";-21,413;-2,014;-0,296;-2,419;9,225;-0,152;8,019
"guerre";1345,344;-25,589;-54,064;-8,92;-101,48;-14,975;-101,352
"argent";-43,608;-28,091;-46,996;-9,251;-95,35;-9,924;671,986
"politique";-0,025;-14,054;-50,641;-2,376;80,337;-10,689;0,207
"laisser";-3,571;-21,957;-1,671;2,692;20,231;0,189;-0,262
"sentir";-33,64;-8,786;-21,894;9,909;90,459;0,308;-1,205
"accord";17,069;-6,401;-12,09;-0,031;0,256;-1,211;0,187
"partir";-20,162;-20,696;-11,65;-2,241;15,075;-0,498;32,891
"devenir";-29,711;-12,802;-0,616;-0,447;0,199;0,308;43,914
"besoin";-19,121;-12,372;-11,65;0,988;-0,241;-5,326;81,569
"place";-6,285;-12,274;-19,498;2,102;3,7;40,171;5,597
"hamas";1914,861;-23,619;-75,25;-15,272;-141,162;-13,517;-168,84
"travailler";-69,632;-14,12;-12,579;-1,028;-59,973;-6,437;436,554
"français";-47,281;-10,911;35,302;-2,154;2,709;3,144;1,197
"connaître";-13,13;-15,23;-1,923;-0,534;144,469;-5,648;-23,082
"peuple";299,111;-8,917;-39,494;-13,998;-2,518;-11,906;-14,263
"changer";-20,996;-9,231;-3,593;-0,521;23,342;-3,298;9,03
"continuer";45,68;-0,044;-9,099;-4,427;-19,98;0,025;4,372
"raison";-0,115;-6,16;-24,646;3,296;29,039;-1,328;-0,146
"manifestation";1020,887;-16,724;-41,373;-7,991;-49,765;-7,471;-116,009
"etc";-13,219;-19,363;-16,161;0,011;-11,784;20,462;102,101
"arriver";-18,817;-3,737;-1,909;-8,334;14,686;0,007;9,646
"humain";2,576;-6,703;-42,677;-3,64;38,618;-1,799;0,018
"palestine";1587,893;-22,554;-56,365;-18,393;-100,64;-12,908;-152,833
"plutôt";-18,968;-19,129;-22,974;-0,505;33,884;-0,044;17,162
"utiliser";2,656;-21,916;-18,487;-0,056;0,025;2,125;13,475
"rendre";4,216;-16,724;-14,622;-0,016;2,783;-2,484;4,916
"sujet";-37,38;-14,18;-37,216;2,31;265,617;-10,516;-16,035
"gauche";-16,812;-12,319;-9,61;-4,818;182,978;0,842;-28,51
"population";19,773;-17,919;-48,483;0;-14,512;-0,099;59,316
"cause";10,488;-6,651;-14,213;0,007;-0,082;5,854;0,657
"part";-1,814;-15,686;-13,289;-0,463;0,618;-0,307;31,973
"moment";-0,372;-6,778;-5,836;-0,039;32,162;-4,19;-1,353
