emji_visage_riant_aux_larmes;157;80;24;26;46;38;68;35;98;89;56;61;1395
aller;379;53;28;66;142;70;178;58;302;190;191;368;923
suisse;316;73;16;40;136;57;151;54;249;132;228;786;448
voir;294;40;15;54;93;82;113;52;492;262;102;272;406
parler;292;4;22;20;95;67;57;47;240;183;92;180;148
pays;319;40;49;21;79;30;49;31;135;50;135;296;174
gens;190;9;2;27;42;21;60;45;370;76;121;242;203
monde;185;30;48;16;74;47;56;29;237;68;81;286;220
prendre;127;15;13;44;49;40;124;25;131;100;72;218;172
enfant;234;28;1;6;40;57;76;18;106;37;60;218;122
mettre;128;11;12;32;62;38;50;25;200;68;39;202;183
payer;53;4;1;17;36;10;393;2;16;12;196;200;50
femme;78;17;2;4;13;443;29;19;63;40;22;148;54
penser;104;9;6;22;41;34;48;19;259;84;57;124;149
comprendre;107;9;3;18;52;41;44;17;247;130;52;117;118
passer;152;15;12;36;40;16;43;14;189;44;45;115;213
problème;70;6;4;13;75;37;51;22;92;75;46;287;98
chose;98;16;9;12;46;28;30;15;320;46;39;109;110
emji_applaudissements;42;363;0;3;6;5;8;5;19;10;5;19;18
temps;71;19;5;20;37;22;48;15;225;50;28;152;125
droit;340;4;4;4;9;48;23;16;56;45;32;103;45
vraiment;79;19;5;15;40;24;29;6;228;65;37;89;162
arrêter;205;15;7;19;49;20;43;19;99;51;41;97;113
rester;79;18;8;16;40;32;38;7;100;59;54;198;125
vie;49;23;0;9;40;21;65;9;97;26;69;269;92
police;273;21;1;17;13;18;9;11;100;45;6;95;91
donner;86;12;3;10;21;25;41;12;143;131;43;111;105
vrai;107;18;5;16;52;24;28;30;161;65;35;120;89
grand;58;41;7;14;63;22;28;15;75;36;121;176;102
venir;114;11;6;13;42;22;29;10;65;60;35;104;223
travail;49;24;1;11;25;10;48;6;54;31;69;307;68
homme;61;12;0;0;10;388;11;2;33;12;13;90;28
jour;82;18;3;13;58;21;18;10;61;34;24;142;190
trouver;71;11;4;7;24;27;34;13;117;68;30;192;112
état;243;12;5;5;34;5;46;11;40;24;59;109;33
vivre;62;3;4;7;36;14;19;12;145;20;41;148;125
commentaire;37;23;0;4;7;31;12;28;112;281;4;26;82
fois;90;8;9;7;27;19;22;10;98;65;39;104;135
demander;141;8;2;13;34;27;39;13;74;48;28;108;81
emji_visage_qui_pleure;51;150;4;8;12;12;30;7;38;9;8;31;67
année;64;18;5;14;41;16;124;9;63;24;46;114;92
cas;88;3;10;14;38;35;33;12;78;53;39;142;69
seul;119;6;15;7;34;31;37;17;59;46;36;149;71
riche;4;6;0;2;30;2;33;9;12;11;405;31;15
palestinien;566;1;0;0;1;2;1;3;7;4;1;6;3
israël;556;0;2;0;2;0;1;1;3;5;0;5;6
emji_se_rouler_par_terre_de_rire;13;10;3;1;9;2;9;4;10;16;13;20;256
