être;3598;535;218;455;1266;769;1097;614;2479;1624;1150;3129;3175
de;3120;385;200;457;1234;623;1089;546;2134;1440;1121;3010;2489
la;2654;328;151;340;909;398;757;445;1481;1088;846;2151;1923
les;2452;249;148;417;853;566;963;288;1343;821;869;2171;1753
et;2596;325;167;338;951;469;841;361;1547;941;790;2365;1787
avoir;2378;282;143;291;658;400;678;311;1617;992;653;1918;1987
le;2207;288;146;268;802;411;702;270;1363;863;662;1922;1707
pas;1910;168;105;283;697;429;609;302;1451;981;700;1723;1736
user_utilisateurice;2318;344;123;273;495;446;488;407;1593;1276;612;1427;2220
des;1929;117;89;219;674;352;609;231;968;589;583;1654;1029
ne;1841;121;74;222;675;334;497;263;1319;828;608;1573;1125
à;1523;305;100;288;572;298;533;247;1123;748;564;1628;1358
que;1495;150;92;182;600;381;523;222;1290;843;617;1528;1261
en;1475;149;137;250;603;323;570;200;1019;617;542;1497;1407
c;1421;231;85;196;548;368;501;274;1227;746;536;1360;1627
l;1504;142;155;187;655;341;502;284;935;654;593;1502;1047
pour;1354;262;78;239;522;285;589;164;881;574;553;1408;1083
un;1307;152;68;171;516;283;437;182;937;601;446;1293;1130
d;1297;132;85;168;569;270;453;252;920;602;471;1327;861
qui;1355;89;52;161;433;245;453;193;856;521;545;1230;931
on;847;124;58;126;401;201;397;149;767;426;388;1062;1028
une;1006;145;64;128;458;248;339;151;674;508;386;1007;750
faire;956;142;60;145;322;215;361;130;823;477;390;969;1020
il;1021;117;56;155;390;170;311;134;773;495;333;995;901
ce;940;112;32;98;401;183;238;140;807;555;307;836;676
vous;840;114;18;62;165;139;169;125;680;555;193;488;597
je;495;138;46;103;215;172;254;104;820;650;210;685;932
mais;725;86;49;123;378;181;296;104;727;380;277;827;845
plus;595;72;73;148;346;148;354;98;490;271;410;853;640
qu;813;72;42;91;263;168;256;128;624;357;287;759;701
du;810;92;151;98;355;126;238;101;502;296;256;743;650
ça;558;104;42;79;227;179;273;115;599;375;256;637;951
dans;692;79;47;105;290;169;245;95;566;340;267;861;659
ils;703;47;37;102;172;61;199;69;395;188;227;480;580
sur;469;41;40;146;238;109;169;57;381;407;218;495;387
y;555;69;35;111;191;119;152;71;406;222;136;532;545
si;427;45;32;79;169;129;192;85;408;273;246;530;484
au;528;62;54;88;202;85;164;72;334;262;178;556;458
se;549;50;51;63;177;136;151;77;420;207;164;474;478
avec;453;93;36;89;195;118;186;71;382;259;162;506;469
tout;455;104;29;69;184;92;181;82;428;220;168;519;470
pouvoir;440;52;36;73;200;96;185;89;373;255;192;573;408
par;649;27;32;73;217;113;255;65;258;184;205;484;303
bien;386;96;20;54;138;95;144;85;377;230;182;411;482
ou;370;36;50;89;236;114;166;83;292;224;124;453;339
tu;290;42;26;22;51;81;95;69;356;263;138;227;402
dire;414;59;10;32;135;95;118;87;401;248;116;317;434
comme;427;51;31;51;170;85;128;80;304;201;164;383;427
j;188;101;14;53;103;59;109;47;372;255;73;240;559
même;356;40;30;50;139;91;148;57;338;191;128;357;354
s;423;30;8;45;147;76;114;66;289;157;156;389;342
nous;237;64;13;32;109;53;134;37;211;127;128;334;257
non;382;30;17;35;123;83;110;42;211;156;124;285;297
falloir;275;36;26;47;112;51;127;41;274;153;136;335;307
quand;299;30;23;40;103;52;120;47;227;132;95;274;296
ces;379;36;12;34;147;56;90;29;205;119;119;334;189
personne;317;32;2;43;90;57;93;41;217;122;124;303;209
leur;280;22;13;36;85;59;86;34;177;93;140;321;203
devoir;277;24;14;40;72;61;120;29;211;125;112;333;217
vouloir;253;31;15;24;73;85;70;39;224;113;107;283;237
aussi;243;39;15;61;113;92;111;32;168;100;75;285;235
rien;277;26;14;38;92;54;87;47;251;117;99;217;235
donc;290;11;18;44;96;71;89;47;164;116;157;279;166
aux;258;50;15;48;100;61;100;43;129;73;124;331;131
bon;176;80;10;38;92;37;81;34;215;146;63;196;270
oui;248;34;15;30;71;60;82;46;187;108;94;189;217
savoir;208;19;8;33;83;49;74;28;210;158;65;201;220
cette;235;57;4;14;82;41;72;38;177;128;115;203;198
alors;218;19;23;37;74;47;93;42;180;111;82;234;197
tous;245;54;9;32;75;49;83;39;149;84;68;216;223
sans;226;27;2;42;93;38;62;34;144;139;83;257;152
elle;220;64;16;16;77;44;29;68;139;92;40;132;130
