"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"mass";"chi.distance";"inertie"
"classe 1";6,77354943089928;0,102617846518192;0,982921161871254;-0,0903252776158005;-0,0193610412680781;0,00178511202995;0,0472901836027475;-0,0582744486725878;0,215190345130545;0,0941669128954558;0,262393359721052;0,988067564970389;0,0149690153982199;0,143380147864228;-0,0131758803887949;-0,00282422341435565;0,000260396903370332;0,00689828826615145;-0,00850057908151582;0,0313901304607511;0,0137362653472271;0,0382757032555617;0,986751613656709;0,000150208793268869;0,0121871331150829;9,85134024025344e-05;3,82876109604263e-06;2,99517102890468e-08;1,96681989835855e-05;2,78489729444518e-05;0,000320901796110805;5,09227440224639e-05;0,000389330607672628;0,955936630919254;0,00021940286177235;0,0201295406977731;0,000169986763443261;7,81005183349404e-06;6,6393788145467e-08;4,65949119285575e-05;7,07543004908126e-05;0,000964810584048623;0,000184753706946117;0,00143450536075931;0,0208351434479643;4,68665241375039;0,45763790129681
"classe 2";0,512400320594626;-1,52196459812317;-4,53881425070984;0,234921159684852;0,369050490793708;-0,175462097530705;0,560402190151654;-0,210285059272097;0,129325247287899;0,220030413930465;0,33568398594819;0,104728571934116;-0,311071583075415;-0,927680010425118;0,0480151096360556;0,0754295602851249;-0,0358623797924846;0,114539586968301;-0,0429797817672923;0,0264325526724311;0,0449716171259782;0,0686098408929734;0,0185103132558274;0,108312458037112;0,851861028319197;0,0021844430527645;0,00456028692088692;0,000948586747562918;0,00905403121651102;0,00118874695490126;0,000379938203879503;0,00091138171281259;0,00208878557851447;0,0105282606343952;0,0928852904003836;0,826081053575791;0,00221300356830571;0,00546146829111534;0,00123453803748245;0,0125932402826124;0,0017731875628412;0,000670663200459264;0,00194134746791945;0,0045185499640773;0,0400993970146141;2,58852802871674;0,268685101663708
"classe 3";-0,112993212747078;2,25591974810502;-0,448499162733928;0,175529321537843;1,09062315809467;-0,264708780037791;-0,174075061867413;-0,171013955235556;-0,0796378764251488;0,0214607127532667;0,0973057542754238;-0,043753599816812;0,873544591553204;-0,173669306388874;0,0679690355196305;0,422314651031602;-0,102501395864324;-0,0674059123540636;-0,0662205806751895;-0,0308376378603041;0,0083100870818833;0,0376790510591977;0,00307861543071257;0,813902434076332;0,0284487342598059;0,004171109088055;0,136215261559085;0,00738418990184145;0,00298793537939409;0,00268900389122692;0,000492766773836692;2,9653701150501e-05;0,000600295938620639;0,00166476026256547;0,663581513376063;0,0262283070828029;0,00401741165222004;0,155094507085263;0,00913658038430917;0,00395111893563295;0,00381338004452366;0,000826963475076128;6,00530777100011e-05;0,00123459363457093;0,130390810989278;1,39966789035424;0,255444752591742
"classe 4";-0,169587744966016;-0,696987723428026;0,918405412521696;9,00124780011833;-0,494775878052044;0,341497952291227;0,275409542380183;-0,257858915673601;0,0883615393925431;0,087845399502665;0,247826475028792;-0,0186190268160153;-0,0765222340537662;0,100831666858603;0,988246374769514;-0,0543214095052364;0,0374930366141659;0,0302371946510092;-0,0283103125561196;0,00970120731178918;0,00964454034889997;0,0272088515900974;0,000617444926907071;0,00691725651317437;0,0106210416727756;0,9765988396126;0,00249604231267413;0,00109421065719139;0,00066590859430848;0,000544316125113047;5,40116183271792e-05;4,42371598368708e-05;0,000346690807165707;0,0003425392500481;0,00578590993591448;0,0100459330825041;0,964998964790367;0,00291567053672282;0,00138898520448767;0,00090339852902403;0,000791928031989978;9,29925075273114e-05;9,19092995660372e-05;0,00073150417860965;0,01191026465324;4,69078702671925;0,262067304989796
"classe 5";-0,213856228317716;0,619472578712086;0,0352521344450792;-0,387354774253692;-1,69323826474284;2,66595156810095;1,41293101217928;-2,50881373175034;-0,0367640738617408;-0,11632209123516;0,318850976445282;-0,0491108738142055;0,142258375562913;0,00809545338021034;-0,0889538340283503;-0,388842594912074;0,612220705871968;0,324471619055323;-0,576134890120149;-0,008442661719619;-0,026712710634583;0,0732223241423512;0,00564611902628527;0,03142134162257;8,99841474680049e-05;0,0103998127941839;0,168100104168042;0,383465388217845;0,10078490594174;0,296292500657955;5,37656413097267e-05;0,000446036625332837;0,00330004115726483;0,00229105561307968;0,0192236565556438;6,22533405251699e-05;0,00751639597709897;0,14362431614723;0,356037986211309;0,100007769257112;0,315303405403177;6,77078596184087e-05;0,00067782288529012;0,00509292555242186;0,0500947051974907;1,95612791987182;0,191684205363735
"classe 6";-0,141413535134606;-0,52962924688647;-0,0635793627987815;-0,126330234505926;-2,26333018423422;-3,48195460077473;-4,92287543813041;-4,55935768277157;-0,50660514870069;-0,330511039935046;0,506675512285336;-0,0177864970778242;-0,0666149038924012;-0,00799678863521828;-0,0158893725748508;-0,284673710120567;-0,437948003158581;-0,619181958158771;-0,573459973433102;-0,0637190138016039;-0,0415705161489508;0,063727863885802;0,000770180923579493;0,00716521202091204;9,13128901857209e-05;0,000345085631047065;0,093698414171684;0,204066842305058;0,381676877130583;0,305278154380019;0,003184940659233;0,00112336951985025;0,00259961036786041;0,000311432699067658;0,00436843793964895;6,29527336279626e-05;0,000248540321620914;0,0797770700330558;0,18881150760025;0,377415685467729;0,323734943786494;0,0039968831332584;0,00170119537224319;0,00399799348342395;0,0155733574295793;3,50223241845892;0,191017069879318
"classe 7";-0,258147196119843;-0,741441631146766;0,697089749083618;-0,220870878761856;0,783360435398473;-0,886063713994103;1,07711657417776;-0,58046338182778;0,151356413321527;0,0564616217049471;0,051912001593808;-0,127868276906161;-0,3672589329896;0,345290076375224;-0,109404165958544;0,388022611039172;-0,43889471603984;0,533529096722159;-0,287521435665657;0,0749715048662995;0,0279671845646831;0,0257136172475355;0,0334863832779289;0,183215276350456;0,143218710665472;0,0137629587953128;0,146447612650397;0,172416473943197;0,238399968279635;0,0645595767898167;0,00370925270466869;0,000427740143298534;0,000356046399846631;0,013129048934335;0,10830596531751;0,0957361228106165;0,00961115011722745;0,120898721654414;0,154677928028256;0,228572437566921;0,0663816583714291;0,0045133612710669;0,000628065789570693;0,000530925997172219;0,197014614141484;0,969580011756975;0,185210562183166
"classe 8";-0,191148620681769;-0,946932027885221;0,38267022027015;-0,170879861590603;1,34632509085723;1,57096654934043;-1,5333492599626;0,161720922639637;0,103874577920575;-0,140955013272564;0,367678092767843;-0,0678679943280677;-0,336211568089591;0,135868416137057;-0,0606714996731241;0,478017488717087;0,55777723365173;-0,544421081914791;0,0574195859812637;0,0368810365463254;-0,0500465763612359;0,130545408203946;0,00990529389684519;0,161226701246365;0,0232843066020278;0,00444435015645233;0,23337295152117;0,292397961637461;0,260648098790427;0,00270355400769607;0,000942529431508147;0,00143822216665258;0,00963603054342095;0,00409041464755187;0,100383563731163;0,0163935998640328;0,00326893861245858;0,202920010960618;0,276285996431821;0,263212902173643;0,00292790794817111;0,00120793493577276;0,0022242625592157;0,0151342361512637;0,111950231984291;1,32004230243122;0,195074586834612
"classe 9";-0,0378051164177493;-0,10817280450992;-0,00791106911745004;-0,0696475370401535;-0,525053017824839;0,0217268722487348;-0,0910390052590974;0,52882884864703;-0,986348626254093;-0,454439782443696;-1,7202252974944;-0,0173998902136684;-0,0497867775826645;-0,00364108742836052;-0,0320554362208526;-0,241656837279787;0,009999842022359;-0,0419009077809944;0,243394671943369;-0,453969182889917;-0,209156936216476;-0,791737578279875;0,00102103166102791;0,005544323421075;2,62239045354045e-05;0,00194558875740058;0,0935341014558832;0,00014738317490797;0,00242125435001305;0,076180869865016;0,223949596957344;0,0393940500039862;0,555835576448775;0,000249833429147322;0,00204543446018325;1,09400610922695e-05;0,000847931785408304;0,0481898647567799;8,25170723339979e-05;0,00144878652152304;0,0488854555878224;0,170063172914603;0,03609957391901;0,517273285154759;0,174803204337324;0,813169982248342;0,115587818274583
"classe 10";-0,188517447704958;-0,0471735797308951;0,210866695977869;-0,202355963595939;-1,04239318167287;-0,419053602379214;0,407701343310708;1,51307180911568;-3,19003304864629;-1,71324952361147;3,63380015441769;-0,0343287034849493;-0,00859022785752963;0,0383984632149507;-0,0368486734637322;-0,189818008274678;-0,0763089413500349;0,0742417144689613;0,275527778032834;-0,580899539895942;-0,311979796076149;0,66170876777305;0,00388215292792077;0,000161228395359357;0,00284888206372882;0,0025113256065224;0,0563713287005483;0,00838347609050494;0,00742508070169043;0,0953599942857595;0,358188178785235;0,0856151598330709;0,379253192609659;0,00114063661842905;7,14236227029435e-05;0,00142711901808843;0,00131424466605118;0,0348744471124623;0,00563616065683602;0,00533492713291912;0,0734790083801325;0,326613831175185;0,0942074929882732;0,423805204084808;0,0320955045441118;2,07953193914177;0,138795503669646
