"";"classe 1";"classe 2";"classe 3";"classe 4"
"emji_visage_riant_aux_larmes";-165,696;-3,681;-206,847;557,794
"aller";-48,58;-68,581;1,422;61,765
"suisse";-73,99;-34,952;452,167;-100,103
"voir";-30,565;-53,081;-37,424;166,608
"parler";2,557;-74,212;-25,486;50,156
"pays";32,372;-13,412;13,777;-37,089
"gens";-13,114;-60,202;-0,127;41,858
"monde";-13,514;-22,949;0,001;23,712
"prendre";-27,805;-33,31;63,123;-0,375
"enfant";24,454;-10,1;3,184;-15,975
"mettre";-21,111;-35,599;11,63;9,232
"payer";-100,38;-45,457;1443,77;-558,412
"femme";-50,931;-21,756;-132,945;319,231
"penser";-30,819;-34,569;-11,534;97,242
"comprendre";-28,079;-35,313;-38,107;148,758
"passer";-0,551;-22,142;-0,044;7,877
"problème";-56,707;-35,177;53,712;3,012
"chose";-26,681;-18,2;-37,919;128,823
"emji_applaudissements";-31,122;4892,999;-117,313;-271,857
"temps";-48,757;-13,146;1,28;34,732
"droit";460,515;-31,351;-49,053;-58,304
"vraiment";-32,687;-10,607;-13,916;83,632
"arrêter";42,956;-13,311;-0,324;-8,413
"rester";-28,119;-12,126;30,718;0,331
"vie";-65,826;-6,079;88,507;-1,447
"police";239,9;-6,647;-97,278;-3,309
"donner";-20,194;-18,883;-13,683;74,95
"vrai";-5,862;-10,138;-6,036;29,701
"grand";-55,421;0,702;110,741;-17,295
"venir";-1,213;-19,435;0,996;3,476
"travail";-55,521;-3,422;227,411;-50,204
"homme";-29,862;-14,425;-138,3;269,608
"jour";-12,493;-6,737;20,832;-0,078
"trouver";-25,744;-18,303;7,48;10,735
"état";199,912;-12,797;15,395;-163,052
"vivre";-26,665;-26,304;2,238;23,345
"commentaire";-66,584;-2,739;-169,243;348,506
"fois";-5,041;-17,467;-1,215;20,514
"demander";12,719;-18,681;0,346;-1,871
"emji_visage_qui_pleure";-9,048;863,853;-10,967;-56,808
"année";-20,04;-4,503;162,892;-51,138
"cas";-3,68;-29,158;1,882;6,677
"seul";0,635;-20,105;2,522;-0,007
"riche";-111,138;-18,689;965,07;-325,573
"palestinien";2498,267;-29,73;-226,854;-493,755
"israël";2498,089;-30,964;-214,872;-507,758
"emji_se_rouler_par_terre_de_rire";-52,147;-2,999;-23,695;113,48
"question";-22,325;-25,096;-10,353;75,514
"france";-52,856;-16,121;103,143;-3,403
"petit";-20,735;-1,789;19,462;0,008
"guerre";1329,912;-25,918;-109,349;-262,65
"argent";-45,913;-28,537;614,516;-219,711
"politique";0;-14,684;-6,09;15,166
"laisser";-3,564;-22,475;-0,579;17,591
