emji_visage_riant_aux_larmes;157;80;29;1393;36;40;46;32;81;96;188
aller;379;53;29;755;83;105;123;71;266;403;680
suisse;316;73;18;368;60;70;140;65;175;312;1073
voir;294;40;15;350;63;92;97;56;398;474;407
parler;292;4;24;109;23;97;88;46;209;258;298
pays;319;40;53;152;27;40;77;40;76;172;409
gens;190;9;2;167;29;25;49;48;92;425;373
monde;185;30;52;176;19;53;77;26;45;371;357
prendre;127;15;13;136;49;48;55;22;110;176;384
enfant;234;28;1;107;9;82;38;16;48;139;303
mettre;128;11;13;156;37;36;72;28;77;248;245
payer;53;4;1;35;15;13;34;3;12;34;787
femme;78;17;2;52;4;485;13;19;40;71;149
penser;104;9;6;114;21;45;44;23;94;310;188
comprendre;107;9;3;103;17;44;49;21;227;211;171
passer;152;15;13;136;40;23;40;17;73;244;185
problème;70;6;4;89;19;43;85;26;88;127;314
chose;98;16;9;81;14;31;39;18;78;352;148
emji_applaudissements;42;363;0;19;2;5;6;4;10;24;27
temps;71;19;5;103;22;40;44;16;63;242;200
droit;340;4;6;34;6;50;12;18;56;71;136
vraiment;79;19;6;142;17;36;40;8;80;237;134
arrêter;205;15;7;102;23;21;48;24;54;113;164
rester;79;18;9;116;20;49;44;7;73;112;241
vie;49;23;0;80;12;30;48;11;40;136;340
police;273;21;1;75;17;21;12;15;59;140;75
donner;86;12;3;73;12;33;18;18;150;159;177
vrai;107;18;5;78;18;29;47;30;67;195;154
grand;58;41;7;86;18;30;73;17;45;97;291
venir;114;11;6;154;14;28;38;11;63;131;159
travail;49;24;1;56;15;18;23;9;43;74;393
homme;61;12;2;22;1;424;8;1;15;42;72
jour;82;18;3;125;22;30;56;13;40;104;170
trouver;71;11;4;86;14;38;29;14;105;116;218
état;243;12;5;28;5;5;35;13;24;60;195
vivre;62;3;4;80;7;22;26;16;17;198;191
commentaire;37;23;2;83;6;35;7;26;300;101;34
fois;90;8;9;96;12;19;29;9;75;145;139
demander;141;8;3;51;12;36;36;8;52;115;152
emji_visage_qui_pleure;51;150;4;52;6;16;11;9;13;50;67
année;64;18;6;76;18;25;53;6;34;71;262
cas;88;3;10;40;14;42;37;13;67;142;168
seul;119;6;16;66;9;43;37;13;54;81;186
riche;4;6;0;18;3;2;31;8;12;15;465
palestinien;566;1;0;2;0;2;1;3;3;12;5
israël;556;0;2;1;0;0;3;2;4;7;5
emji_se_rouler_par_terre_de_rire;13;10;4;246;4;0;11;4;15;16;44
question;58;3;7;26;7;24;35;16;239;57;113
france;35;8;8;198;27;6;28;13;23;60;175
petit;59;21;6;91;15;14;40;4;47;138;145
guerre;428;2;0;22;0;10;8;4;9;37;42
argent;41;1;0;29;4;8;18;4;20;28;418
politique;94;8;5;23;3;14;20;83;65;96;135
laisser;77;3;3;126;21;23;21;10;47;93;108
sentir;41;11;3;43;18;35;26;11;39;188;104
accord;120;12;6;48;10;18;30;20;49;63;113
partir;51;3;3;58;11;17;21;51;42;69;178
devenir;44;8;1;84;14;18;40;22;31;87;169
