"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
"****";"6503";"36946";"17.6";"****";""
"566";" 595";" 95.13";"2506.004";"palestinien";" 0.000000e+00"
"556";" 579";" 96.03";"2494.568";"israël";" 0.000000e+00"
"430";" 449";" 95.77";"1914.861";"hamas";" 0.000000e+00"
"388";" 429";" 90.44";"1587.893";"palestine";" 0.000000e+00"
"351";" 387";" 90.70";"1440.816";"gaza";"2.838105e-315"
"320";" 333";" 96.10";"1427.549";"israélien";"2.167806e-312"
"428";" 563";" 76.02";"1345.344";"guerre";"1.582977e-294"
"305";" 334";" 91.32";"1262.838";"génocide";"1.346313e-276"
"284";" 296";" 95.95";"1262.806";"otage";"1.367803e-276"
"327";" 431";" 75.87";"1020.887";"manifestation";"5.178178e-224"
"228";" 238";" 95.80";"1009.943";"terroriste";"1.238682e-221"
"190";" 195";" 97.44";" 861.486";"israel";"2.315023e-189"
"273";" 367";" 74.39";" 824.159";"manifester";"3.016628e-181"
"274";" 383";" 71.54";" 776.364";"paix";"7.430209e-171"
"170";" 193";" 88.08";" 664.533";"crime";"1.543825e-146"
"175";" 204";" 85.78";" 657.537";"manifestant";"5.129021e-145"
"143";" 147";" 97.28";" 646.032";"juif";"1.629247e-142"
"186";" 233";" 79.83";" 626.029";"international";"3.651934e-138"
"186";" 242";" 76.86";" 589.792";"civil";"2.780308e-130"
"113";" 122";" 92.62";" 475.010";"genocide";"2.604017e-105"
"210";" 342";" 61.40";" 456.656";"tuer";"2.567790e-101"
"340";" 728";" 46.70";" 433.662";"droit";" 2.592988e-96"
"102";" 112";" 91.07";" 418.110";"massacre";" 6.291066e-93"
"127";" 163";" 77.91";" 410.639";"commettre";" 2.661497e-91"
" 91";"  96";" 94.79";" 395.422";"prisonnier";" 5.465452e-88"
" 84";"  84";"100.00";" 394.132";"cessez_le_feu";" 1.043241e-87"
"102";" 117";" 87.18";" 391.780";"sioniste";" 3.391084e-87"
" 96";" 106";" 90.57";" 390.223";"complice";" 7.402526e-87"
" 90";"  98";" 91.84";" 373.366";"soudan";" 3.461611e-83"
"120";" 159";" 75.47";" 368.736";"autoriser";" 3.526617e-82"
"105";" 128";" 82.03";" 367.642";"cesser";" 6.102730e-82"
"102";" 124";" 82.26";" 358.627";"musulman";" 5.605908e-80"
" 84";"  91";" 92.31";" 351.043";"islamiste";" 2.511432e-78"
" 85";"  96";" 88.54";" 333.980";"chrétien";" 1.305815e-74"
" 96";" 119";" 80.67";" 327.446";"onu";" 3.459692e-73"
"100";" 131";" 76.34";" 312.705";"criminel";" 5.624006e-70"
" 95";" 122";" 77.87";" 306.546";"libérer";" 1.234797e-68"
" 97";" 127";" 76.38";" 303.558";"arabe";" 5.528874e-68"
" 78";"  89";" 87.64";" 301.753";"humanitaire";" 1.367066e-67"
"222";" 462";" 48.05";" 299.111";"peuple";" 5.146774e-67"
"171";" 313";" 54.63";" 298.476";"gouvernement";" 7.077119e-67"
"103";" 142";" 72.54";" 296.602";"manif";" 1.811518e-66"
" 73";"  81";" 90.12";" 294.383";"bombarder";" 5.515646e-66"
" 75";"  85";" 88.24";" 293.076";"russie";" 1.062742e-65"
"113";" 171";" 66.08";" 278.406";"soutien";" 1.670816e-62"
"119";" 187";" 63.64";" 274.635";"reconnaître";" 1.108781e-61"
" 58";"  59";" 98.31";" 265.379";"congo";" 1.153523e-59"
" 58";"  59";" 98.31";" 265.379";"cisjordanie";" 1.153523e-59"
" 56";"  56";"100.00";" 262.555";"netanyahu";" 4.759609e-59"
" 71";"  84";" 84.52";" 259.983";"casseur";" 1.730637e-58"
" 76";"  94";" 80.85";" 259.947";"octobre";" 1.762259e-58"
" 69";"  81";" 85.19";" 255.657";"autorisation";" 1.517963e-57"
" 73";"  89";" 82.02";" 255.286";"pacifique";" 1.828226e-57"
" 98";" 147";" 66.67";" 244.980";"pro";" 3.227004e-55"
"156";" 304";" 51.32";" 240.230";"mort";" 3.504153e-54"
"167";" 345";" 48.41";" 227.852";"soutenir";" 1.752677e-51"
" 50";"  51";" 98.04";" 227.837";"liban";" 1.766117e-51"
"273";" 710";" 38.45";" 216.972";"police";" 4.138817e-49"
" 52";"  57";" 91.23";" 213.378";"emji_drapeau_territoires_palestiniens";" 2.517057e-48"
" 61";"  75";" 81.33";" 210.471";"bande";" 1.084239e-47"
" 60";"  73";" 82.19";" 210.403";"sanction";" 1.121951e-47"
" 67";"  88";" 76.14";" 208.393";"innocent";" 3.079386e-47"
" 52";"  58";" 89.66";" 207.949";"free";" 3.848055e-47"
" 77";" 111";" 69.37";" 205.725";"autorité";" 1.176739e-46"
"243";" 621";" 39.13";" 201.854";"état";" 8.226792e-46"
" 48";"  52";" 92.31";" 200.384";"massacrer";" 1.721840e-45"
" 49";"  55";" 89.09";" 194.101";"colon";" 4.047238e-44"
" 75";" 114";" 65.79";" 183.088";"illégal";" 1.026048e-41"
"107";" 198";" 54.04";" 182.250";"arme";" 1.564133e-41"
" 43";"  47";" 91.49";" 177.146";"assassiner";" 2.034800e-40"
" 90";" 155";" 58.06";" 175.716";"prison";" 4.177485e-40"
" 45";"  51";" 88.24";" 175.683";"bombe";" 4.246131e-40"
" 40";"  42";" 95.24";" 174.748";"bombardement";" 6.796857e-40"
"131";" 275";" 47.64";" 172.332";"respecter";" 2.289941e-39"
" 43";"  48";" 89.58";" 171.707";"emji_drapeau_israël";" 3.136487e-39"
" 52";"  68";" 76.47";" 162.787";"soldat";" 2.784790e-37"
" 41";"  46";" 89.13";" 162.479";"black";" 3.250900e-37"
" 36";"  37";" 97.30";" 162.197";"extermination";" 3.746693e-37"
