"";"classe 1";"classe 2";"classe 3";"classe 4"
"emji_visage_riant_aux_larmes";1;1;1;0
"aller";1;1;0,233;0
"suisse";1;1;0;1
"voir";1;1;1;0
"parler";0,11;1;1;0
"pays";0;1;0;1
"gens";1;1;1;0
"monde";1;1;0,977;0
"prendre";1;1;0;1
"enfant";0;1;0,074;1
"mettre";1;1;0,001;0,002
"payer";1;1;0;1
"femme";1;1;1;0
"penser";1;1;1;0
"comprendre";1;1;1;0
"passer";1;1;1;0,005
"problème";1;1;0;0,083
"chose";1;1;1;0
"emji_applaudissements";1;0;1;1
"temps";1;1;0,258;0
"droit";0;1;1;1
"vraiment";1;1;1;0
"arrêter";0;1;1;1
"rester";1;1;0;0,565
"vie";1;1;0;1
"police";0;1;1;1
"donner";1;1;1;0
"vrai";1;1;1;0
"grand";1;0,402;0;1
"venir";1;1;0,318;0,062
"travail";1;1;0;1
"homme";1;1;1;0
"jour";1;1;0;1
"trouver";1;1;0,006;0,001
"état";0;1;0;1
"vivre";1;1;0,135;0
"commentaire";1;1;1;0
"fois";1;1;1;0
"demander";0;1;0,556;1
"emji_visage_qui_pleure";1;0;1;1
"année";1;1;0;1
"cas";1;1;0,17;0,01
"seul";0,425;1;0,112;1
"riche";1;1;0;1
"palestinien";0;1;1;1
"israël";0;1;1;1
"emji_se_rouler_par_terre_de_rire";1;1;1;0
"question";1;1;1;0
"france";1;1;0;1
"petit";1;1;0;0,931
"guerre";0;1;1;1
"argent";1;1;0;1
"politique";1;1;1;0
"laisser";1;1;1;0
"sentir";1;1;1;0
"accord";0;1;0,806;1
"partir";1;1;0;1
"devenir";1;1;0;1
"besoin";1;1;0;1
"place";1;1;0;1
"hamas";0;1;1;1
"travailler";1;1;0;1
"français";1;1;0,032;0
"connaître";1;1;1;0
"peuple";0;1;1;1
"changer";1;1;0,02;0,007
"continuer";0;1;0,097;1
"raison";1;1;1;0
"manifestation";0;1;1;1
"etc";1;1;0;1
"arriver";1;1;0,153;0,004
"humain";0,043;1;1;0,004
"palestine";0;1;1;1
"plutôt";1;1;0,142;0
"utiliser";0,034;1;0,009;1
"rendre";0,022;1;0,099;1
"sujet";1;1;1;0
"gauche";1;1;1;0
"population";0;1;0;1
"cause";0;1;0,243;1
"part";1;1;0,004;0,845
"moment";1;1;1;0
"impôt";1;1;0;1
"exemple";1;1;0;1
"beau";1;0;1;0
"paix";0;0,065;1;1
"coup";1;1;0,487;0,054
"emji_coeur_rouge";1;0;1;1
"entreprise";1;1;0;1
"droite";1;1;1;0
"genre";1;1;1;0
"aimer";1;0,148;1;0
"gaza";0;1;1;1
"compte";1;1;0,799;0
"lire";1;1;1;0
"ca";1;1;1;0
"violence";0;1;1;0
"social";1;1;0;1
"société";1;1;0,004;0
"tellement";1;0,002;1;0
"manifester";0;1;1;1
"permettre";1;1;0;1
"niveau";1;1;0,173;0
"importer";1;1;1;0
"famille";1;0;0,427;1
"système";1;1;0;1
"article";1;1;1;0
"rts";0,387;1;1;0
"salaire";1;1;0;1
"exister";0,259;1;0,762;0,793
"idée";1;1;1;0
"aider";1;1;0;0,88
"loi";0;1;0,987;1
"armée";0;1;1;1
"public";1;1;0;1
"moyen";0,362;1;0;1
"sûr";1;1;1;0
