être;3598;535;239;2664;565;929;1237;635;1966;3031;4723
de;3120;385;212;2077;558;746;1246;586;1687;2672;4589
la;2654;328;164;1585;402;518;919;475;1267;1903;3309
les;2452;249;160;1476;490;667;862;339;997;1672;3564
et;2596;325;177;1454;401;593;960;366;1125;1964;3535
avoir;2378;282;154;1697;346;499;650;320;1243;1876;2873
le;2207;288;160;1443;339;504;800;300;1037;1670;2881
pas;1910;168;114;1470;314;529;677;310;1210;1716;2686
user_utilisateurice;2318;344;133;1955;323;548;496;429;1527;1770;2209
des;1929;117;91;846;263;398;671;238;735;1221;2534
ne;1841;121;82;915;245;412;673;271;999;1591;2331
à;1523;305;105;1113;343;375;598;265;904;1380;2380
que;1495;150;103;1036;226;451;586;236;1031;1565;2305
en;1475;149;145;1178;312;386;612;217;717;1282;2321
c;1421;231;96;1362;237;459;537;294;928;1460;2115
l;1504;142;162;857;236;408;666;290;778;1162;2277
pour;1354;262;83;911;265;373;530;191;664;1080;2281
un;1307;152;75;934;223;350;519;187;720;1148;1883
d;1297;132;91;711;203;344;561;264;720;1117;1973
qui;1355;89;56;753;182;282;439;203;667;1077;1985
on;847;124;63;856;165;253;398;159;515;979;1614
une;1006;145;66;606;149;316;447;169;566;861;1525
faire;956;142;66;878;159;260;316;132;593;1009;1502
il;1021;117;61;755;181;229;386;158;592;927;1423
ce;940;112;34;541;125;206;384;152;665;966;1196
vous;840;114;20;498;86;165;165;138;659;725;749
je;495;138;51;800;115;219;210;112;770;938;970
mais;725;86;52;725;145;219;365;111;466;898;1219
plus;595;72;77;519;182;176;356;113;321;651;1435
qu;813;72;44;586;106;206;258;131;421;804;1119
du;810;92;158;534;122;175;367;89;386;608;1089
ça;558;104;45;823;102;212;218;120;443;735;1030
dans;692;79;51;527;133;216;289;109;384;746;1187
ils;703;47;39;498;105;75;156;72;228;515;829
sur;469;41;41;333;173;118;233;78;453;437;777
y;555;69;37;447;124;144;199;82;286;484;716
si;427;45;33;404;90;162;182;89;315;510;851
au;528;62;55;386;99;115;206;72;292;452;779
se;549;50;53;379;79;169;170;79;228;574;684
avec;453;93;38;405;108;158;198;71;277;474;744
tout;455;104;31;405;84;123;193;81;256;557;728
pouvoir;440;52;38;321;81;115;202;92;307;502;830
par;649;27;37;227;96;134;205;70;211;330;884
bien;386;96;21;400;73;114;138;94;293;459;631
ou;370;36;50;272;114;137;232;85;257;362;663
tu;290;42;27;350;27;106;52;71;320;390;398
dire;414;59;11;369;45;112;122;98;311;455;471
comme;427;51;35;362;60;107;165;88;240;380;576
j;188;101;16;484;59;80;104;47;329;391;375
même;356;40;32;275;58;110;141;66;235;402;570
s;423;30;13;268;55;96;152;67;193;388;554
nous;237;64;16;222;33;62;117;42;143;298;514
non;382;30;19;254;44;103;121;55;185;252;447
falloir;275;36;27;269;50;70;93;49;192;307;543
quand;299;30;24;241;47;68;92;53;148;291;443
ces;379;36;12;161;43;68;147;28;147;253;479
personne;317;32;2;179;42;67;88;40;159;263;463
leur;280;22;13;167;48;75;77;34;116;243;477
devoir;277;24;16;194;49;78;77;44;139;259;481
vouloir;253;31;16;200;32;95;71;42;146;259;409
aussi;243;39;16;196;67;116;112;36;124;206;413
rien;277;26;14;206;39;61;84;43;173;270;364
donc;290;11;18;149;55;81;90;52;151;190;471
aux;258;50;15;110;50;72;106;48;90;176;488
bon;176;80;11;212;44;51;93;45;170;260;303
oui;248;34;15;183;33;69;83;50;141;194;325
savoir;208;19;9;192;36;57;78;36;185;245;292
cette;235;57;5;145;21;60;88;37;155;235;333
alors;218;19;25;170;46;55;66;35;140;211;377
tous;245;54;11;185;33;58;75;39;102;204;319
sans;226;27;3;131;53;50;91;38;140;188;353
elle;220;64;17;104;18;62;76;63;96;190;159
encore;185;25;10;173;24;56;74;29;109;178;317
votre;185;44;2;113;16;40;40;18;198;220;176
t;155;18;8;204;25;47;29;38;155;193;174
autres;170;26;22;127;29;37;75;25;97;178;314
quoi;175;15;8;159;21;52;50;31;107;223;222
son;190;44;8;109;14;59;72;30;96;184;237
juste;137;24;16;156;27;57;54;41;139;200;249
très;104;50;12;129;22;41;67;30;136;170;263
déjà;119;23;12;140;50;46;69;16;83;108;371
me;95;22;7;204;31;38;36;17;151;190;174
moins;104;18;17;101;48;40;69;20;68;94;336
où;162;10;16;106;32;50;63;23;81;161;254
toujours;167;26;10;124;26;46;39;32;66;152;207
pourquoi;215;13;9;92;29;35;38;20;110;95;195
là;152;20;5;134;26;53;43;14;81;176;194
contre;302;8;15;66;19;46;46;43;66;101;180
cela;129;18;7;59;24;33;74;13;104;142;270
mon;66;54;9;139;18;42;25;21;165;140;145
car;125;11;16;79;35;33;61;25;79;123;255
jamais;165;21;4;110;27;35;62;25;69;122;172
moi;68;31;11;178;19;44;40;18;96;132;137
peu;102;19;7;97;21;37;54;24;80;176;189
parce_que;119;5;12;94;21;47;63;30;59;138;210
an;138;15;10;111;24;29;50;12;59;113;202
leurs;167;12;3;66;17;35;40;19;60;95;252
merci;136;135;2;95;9;30;26;16;116;106;108
sa;130;42;8;99;9;45;55;22;64;121;175
nos;75;21;1;75;29;26;75;16;42;111;266
trop;55;50;14;129;35;24;48;14;69;91;204
après;127;10;6;144;23;34;30;17;70;104;185
notre;96;26;5;64;14;19;95;12;48;137;197
beaucoup;61;15;12;68;28;46;66;11;60;117;239
autre;122;11;10;94;29;32;37;22;66;131;170
ceux;124;8;2;73;17;11;39;22;70;117;211
toi;89;35;5;153;6;33;15;23;93;126;101
ses;133;25;11;66;7;28;45;26;57;139;177
depuis;222;10;9;57;33;17;55;14;38;85;147
avant;122;11;5;86;18;43;35;16;88;124;142
mieux;55;21;10;140;12;20;33;15;69;93;171
eux;127;25;4;88;17;21;28;16;43;90;180
te;73;24;4;85;7;25;10;7;86;128;96
croire;123;15;2;89;11;31;30;14;67;106;106
entre;105;15;15;49;36;44;43;17;45;60;173
2;117;17;17;65;26;24;30;7;43;58;164
m;53;15;5;118;17;29;30;18;85;83;107
ton;61;11;2;91;2;21;14;18;105;123;104
surtout;71;13;8;67;26;21;43;18;52;86;166
toute;102;27;5;73;16;13;31;15;44;86;160
comment;95;7;6;64;6;20;25;10;68;99;128
ni;105;1;1;34;12;12;29;10;39;53;58
chez;60;20;2;124;11;16;39;16;26;66;134
vos;80;11;1;50;6;18;22;11;103;67;118
1;46;17;25;57;14;13;43;4;43;42;152
quel;90;33;10;64;6;27;18;14;63;78;100
mal;62;10;4;83;7;25;23;17;58;87;99
deux;99;11;10;44;23;21;31;14;43;61;106
toutes;96;33;5;36;22;23;32;9;37;63;127
aucun;111;6;3;33;7;23;38;19;51;55;117
bravo;73;162;3;37;6;16;8;10;25;55;52
elles;58;3;10;30;3;57;30;5;29;41;125
tant;78;14;5;47;9;25;40;9;35;73;108
chaque;55;4;11;46;21;20;53;8;32;48;140
quelle;77;42;5;67;8;27;12;13;25;68;85
ici;61;10;9;52;6;20;31;21;37;82;105
lui;67;24;2;70;4;22;16;6;33;82;71
sous;114;5;6;51;14;10;21;10;42;48;95
million;57;0;0;26;4;3;27;4;5;21;200
certains;68;8;2;25;12;14;37;12;35;82;104
ah;74;15;4;91;7;23;9;22;46;44;62
ma;18;18;4;76;11;25;14;12;70;64;77
aucune;86;2;2;36;6;16;22;13;49;65;81
3;36;7;16;52;13;23;19;8;25;42;117
point;47;5;13;28;8;17;37;11;63;66;77
maintenant;88;12;6;55;14;14;17;8;26;56;77
mes;17;45;0;51;3;13;18;5;39;57;84
autant;43;4;8;41;5;18;34;7;27;55;99
ailleurs;72;3;2;35;10;15;23;10;33;48;92
assez;27;6;6;50;12;17;20;6;26;46;122
pendant;69;3;2;44;7;21;17;1;10;27;126
ta;33;11;2;51;4;18;8;12;52;55;60
50;26;0;6;19;11;11;11;3;6;19;174
dont;76;1;4;21;6;16;28;7;34;44;72
plein;32;14;4;55;14;11;22;5;15;49;79
5;40;17;18;50;13;7;23;2;15;29;70
4;19;15;18;44;4;10;14;1;20;33;78
peut_être;37;5;4;37;9;12;14;8;39;61;76
souvent;25;0;4;12;20;20;26;12;32;66;78
enfin;52;42;2;46;8;9;15;11;19;40;54
10;44;3;20;43;14;4;19;3;14;26;95
aujourd_hui;64;5;1;20;3;13;22;12;16;53;76
bah;38;8;3;57;6;18;8;12;21;42;64
cet;47;7;2;26;6;9;16;4;32;36;84
force;71;19;0;20;8;9;16;5;30;40;48
pourtant;48;4;3;33;12;14;24;7;15;32;72
000;64;2;1;12;10;2;3;0;8;7;89
tes;24;7;0;31;1;11;15;5;42;50;49
quelques;32;5;1;23;11;5;22;7;21;41;72
plusieurs;42;2;1;26;6;10;18;8;25;36;61
quelque;33;2;2;26;4;7;16;3;20;80;40
selon;43;2;6;12;12;9;14;8;13;18;87
mêmes;34;0;4;21;3;15;19;5;21;35;59
voilà;43;6;1;35;1;11;11;5;25;36;36
sinon;37;5;1;36;6;6;5;6;33;32;51
fort;34;13;5;33;6;8;11;6;17;33;45
100;22;2;7;17;7;13;12;4;14;16;92
20;39;7;5;28;10;5;9;4;17;15;62
ben;37;5;0;43;11;10;15;6;20;23;36
loin;26;4;5;44;9;8;9;3;19;30;43
combien;25;4;2;20;6;10;7;3;14;23;79
7;97;5;8;24;2;3;9;1;5;12;36
quelqu_un;18;4;0;28;2;9;4;6;29;48;45
6;14;22;18;32;1;4;11;2;9;17;41
sauf;37;1;2;33;10;12;7;3;10;28;57
puis;32;3;2;20;8;5;17;7;19;23;55
ensuite;30;0;2;23;9;12;13;2;17;26;58
partout;41;2;1;22;9;8;16;8;12;26;44
ok;20;3;1;32;6;12;10;1;16;22;44
ainsi;43;3;5;7;5;9;11;5;15;27;47
certaines;17;2;3;12;2;15;19;7;14;32;51
hein;25;3;2;30;2;5;4;6;27;18;38
dommage;16;12;6;27;2;8;7;1;20;29;26
chacun;12;3;3;9;3;12;19;2;17;31;47
jusqu_à;33;4;1;15;12;7;15;0;5;15;38
30;7;1;4;18;20;3;17;3;6;16;49
plupart;27;1;0;10;5;10;14;4;7;22;42
vers;14;2;2;14;4;5;17;6;12;15;46
dès;26;0;2;12;6;8;9;4;15;17;42
15;8;0;4;22;7;4;11;1;11;11;54
2025;17;1;1;9;5;11;5;2;8;13;52
e;27;2;4;16;4;11;6;3;14;14;24
devant;34;4;0;31;8;4;7;5;8;24;14
vite;9;5;2;18;9;10;12;0;13;19;38
dessus;23;0;0;22;7;7;7;6;13;18;31
derrière;27;0;4;14;4;3;4;6;19;24;26
longtemps;18;2;0;11;3;5;18;2;13;17;40
celui;21;3;0;17;4;5;10;6;18;17;31
monsieur;26;16;1;13;1;7;4;4;18;26;9
attention;22;5;0;18;7;2;11;3;20;21;17
parfois;10;1;1;15;4;11;18;5;8;20;36
grâce;15;8;1;14;4;0;8;5;6;15;52
hors;12;1;3;10;8;8;21;3;26;11;25
presque;15;2;4;15;5;5;18;3;13;14;32
0;6;0;1;15;3;4;6;3;12;13;47
ouais;17;5;2;42;2;4;9;2;8;18;10
celle;28;2;2;19;3;7;12;7;5;16;23
vive;15;11;0;20;1;3;9;2;9;11;21
envers;27;2;0;8;2;14;5;1;6;28;13
lors;30;0;1;7;1;1;8;2;11;22;23
oh;16;10;0;26;5;2;2;4;14;13;12
certain;11;1;1;19;1;7;5;2;13;18;24
tiens;12;2;0;18;0;4;3;4;19;13;22
or;12;4;5;13;0;6;8;0;4;9;34
lorsqu;19;0;1;8;7;6;9;3;8;8;31
malgré;21;1;4;5;1;6;10;2;3;15;28
tard;8;6;1;19;2;3;6;0;6;18;26
lorsque;23;2;2;4;3;2;7;1;4;18;31
celles;18;1;2;10;2;5;5;2;12;12;28
puisque;17;1;2;9;2;6;5;2;10;12;27
2000;27;0;0;9;2;2;4;1;4;9;23
merde;4;3;1;29;0;3;4;0;7;12;29
80;11;2;4;12;7;2;8;3;4;7;31
tel;15;1;0;16;1;4;5;4;12;16;11
200;25;1;0;4;2;3;5;6;7;5;31
1948;37;0;1;3;0;0;0;0;0;0;0
environ;7;2;0;4;5;1;19;1;2;3;36
concernant;12;0;1;5;3;7;4;1;17;15;22
autour;7;2;0;18;3;2;8;0;8;15;23
afin;18;2;1;2;4;2;3;3;10;11;31
25;10;2;1;8;5;6;4;1;3;11;29
anti;15;0;0;9;2;4;2;12;11;13;13
8;6;1;9;6;4;1;7;1;3;2;33
madame;8;7;0;12;1;6;1;1;15;12;13
soi;10;3;0;8;1;4;8;4;6;15;16
d_abord;8;0;0;11;2;6;3;2;4;12;23
40;5;1;1;11;5;3;6;0;6;11;26
60;8;1;4;7;4;2;1;0;3;9;28
dehors;5;0;0;16;8;2;4;2;6;12;14
certes;13;0;2;8;1;5;5;0;3;10;21
moindre;9;0;0;6;1;4;9;0;8;14;13
12;6;0;2;8;5;3;4;0;4;5;23
18;8;2;8;7;3;8;3;1;8;3;16
durant;13;0;1;5;0;5;2;1;7;10;21
ceci;15;1;1;6;3;2;0;3;8;5;20
9;7;0;7;6;3;7;4;2;0;5;19
trois;10;2;2;11;3;1;5;0;3;8;18
90;9;1;2;16;10;2;4;1;0;6;12
16;5;0;5;8;3;3;3;0;6;7;21
hier;22;5;1;12;1;1;5;0;4;9;3
parmi;13;1;3;3;3;3;5;1;12;4;10
demain;9;2;0;12;1;0;8;2;3;9;14
telle;10;0;0;4;0;0;3;0;2;11;22
2023;24;0;0;4;4;0;5;0;1;1;15
eh;9;3;0;12;2;1;2;2;8;7;9
laquelle;7;0;0;3;2;2;5;3;8;10;13
certaine;5;1;0;7;0;5;6;0;3;15;14
quels;14;0;0;3;0;2;1;0;10;7;18
pardon;17;0;0;9;1;0;0;2;6;11;8
quelles;8;0;1;2;1;1;1;5;9;11;13
différents;5;1;1;4;1;8;6;0;6;8;11
x;9;2;0;6;0;4;3;1;4;11;8
voire;10;0;1;2;2;2;7;0;6;4;16
2026;4;3;3;8;0;0;2;1;2;5;18
70;19;0;3;2;4;3;3;0;1;6;10
11;20;1;6;3;1;2;1;1;5;6;4
jusqu_au;7;4;0;12;1;0;3;0;10;6;6
davantage;3;0;0;1;1;1;8;3;5;4;24
quant;9;0;0;4;1;4;7;1;5;4;11
gare;7;0;0;14;7;1;4;0;1;6;5
via;7;1;0;2;1;1;4;1;6;3;13
dedans;6;2;1;8;3;2;5;1;5;2;10
cependant;7;0;0;3;1;2;4;1;12;6;10
lequel;3;0;0;3;1;3;1;2;1;13;16
nul;3;2;2;5;1;3;2;1;5;9;7
2024;8;0;0;3;4;2;3;2;2;0;17
17;6;0;2;7;1;3;3;0;4;4;13
ci;13;1;0;6;1;2;1;0;6;5;7
quasi;0;0;5;2;1;3;5;1;0;4;16
500;4;0;0;1;1;1;4;0;2;2;24
haha;1;2;0;14;1;0;0;1;9;6;5
dessous;5;1;0;2;4;2;2;0;2;2;19
45;6;0;3;5;4;1;2;0;3;2;14
mille;5;2;0;2;2;0;1;1;1;3;18
con;3;0;0;13;2;0;0;0;4;9;7
14;7;0;7;6;4;3;1;0;2;3;6
près;3;1;1;0;3;4;3;1;6;7;10
arrière;4;0;1;7;5;1;5;0;1;6;7
eux_mêmes;5;0;0;0;0;6;2;3;3;7;10
2022;6;0;1;1;1;1;2;0;4;0;17
tels;6;1;0;1;0;4;2;1;2;8;11
pseudo;6;0;1;5;0;0;2;3;5;7;4
300;6;1;0;1;1;0;1;0;1;4;21
pis;3;1;0;10;2;2;0;2;4;4;7
euh;3;0;0;12;0;3;1;1;3;5;5
dame;2;7;0;4;0;1;2;0;7;11;0
22;13;0;2;4;2;0;4;0;1;2;4
1000;5;1;0;6;1;0;2;0;2;3;15
suivant;4;0;0;4;2;0;1;0;9;4;9
jusqu;14;1;0;6;0;0;1;0;4;3;4
mince;0;0;0;13;2;0;2;1;4;2;5
75;11;1;0;2;2;0;1;0;1;2;12
19;4;0;0;5;2;1;0;0;4;2;14
tandis_que;6;0;2;1;1;2;4;0;1;3;11
ouf;1;2;2;5;0;2;0;2;1;11;4
in;5;2;0;8;0;3;1;1;6;1;5
vôtre;5;0;1;7;1;0;2;0;8;5;2
v;9;0;0;2;0;6;0;0;3;4;6
hop;0;3;1;7;1;1;4;0;4;4;4
f;6;2;0;4;1;2;0;1;3;5;5
35;3;0;7;3;0;3;0;0;0;0;10
puisqu;4;0;0;2;4;1;1;1;2;3;10
24;5;0;4;2;0;1;4;1;0;2;5
1947;12;0;0;0;0;0;0;0;0;2;2
uns;5;0;0;5;0;0;0;0;3;7;7
nulle;1;0;0;3;1;2;3;1;3;5;8
39;5;0;0;6;0;0;1;0;2;1;13
lui_même;9;1;0;2;1;1;1;2;5;1;2
g;6;1;0;3;5;1;1;0;0;6;2
400;4;1;0;1;2;0;2;0;1;0;14
demi;6;0;2;3;1;0;1;2;0;4;7
800;7;0;0;1;0;0;6;0;1;1;9
voici;4;1;3;2;2;0;3;0;4;3;3
n_est_ce_pas;3;0;0;5;0;0;1;2;2;6;6
ha;6;1;0;6;0;0;3;0;1;1;4
divers;2;1;0;2;0;1;0;1;9;4;5
celui_ci;7;0;0;2;0;1;2;1;1;3;7
b;3;2;1;1;0;1;2;0;2;3;8
o;7;1;0;1;1;2;1;0;1;7;2
autrui;7;0;0;5;0;1;2;0;0;2;6
3000;2;0;0;3;0;0;2;0;1;0;15
outre;5;0;0;1;0;1;2;1;2;3;8
neuf;1;0;0;2;2;0;5;0;0;3;9
hélas;5;0;0;1;0;0;2;0;1;5;4
aucunement;3;0;0;0;0;0;0;5;5;3;6
99;7;0;0;3;1;1;1;1;0;2;7
volontiers;1;0;0;2;0;0;1;0;8;2;7
salut;3;1;0;4;0;1;1;1;5;3;2
48;6;0;10;0;0;0;0;0;2;0;3
13;5;1;1;3;0;0;2;1;2;2;5
120;4;1;0;3;7;0;2;0;0;0;4
lendemain;3;0;0;6;1;0;0;1;3;3;4
celle_ci;4;0;0;2;1;0;1;0;4;3;4
55;1;1;2;2;1;3;0;0;2;1;6
21;3;0;0;6;1;1;4;0;2;1;2
soi_même;2;0;0;0;0;1;2;0;2;5;6
sept;10;0;0;2;0;0;3;0;0;0;3
quatre;4;0;2;3;0;1;2;0;2;2;3
htag_cqfd;1;1;0;8;1;0;0;3;1;1;3
au_dessus;2;0;1;2;1;2;0;0;0;4;8
tien;2;1;0;1;0;0;0;1;2;4;3
lesquelles;6;0;0;0;1;0;1;1;1;4;3
heu;1;0;1;3;0;0;2;1;1;1;6
aïe;1;0;0;5;1;0;0;0;0;2;3
600;2;0;0;2;1;0;0;0;0;3;10
32;3;0;4;1;1;0;0;1;3;3;1
27;2;0;1;3;1;0;0;0;1;3;5
2021;4;1;0;1;0;0;0;0;2;2;7
2018;2;0;3;0;1;0;3;0;2;2;2
2015;4;0;0;3;0;1;3;0;1;0;6
u;4;1;0;4;0;1;2;0;2;0;3
elle_même;2;1;0;0;0;2;3;0;4;3;2
bof;1;0;0;4;1;0;2;1;3;2;1
5000;4;0;0;0;1;0;1;0;0;1;10
26;3;0;0;5;0;1;0;0;2;3;3
150;2;0;0;0;3;3;1;0;1;1;5
six;4;0;1;0;0;0;3;2;1;0;5
lesquels;4;2;0;0;0;0;0;0;2;4;2
dix;4;0;0;1;2;0;2;0;0;4;1
98;0;0;1;2;0;2;2;0;0;1;7
quelconque;0;0;0;0;0;1;2;0;3;3;6
bye;0;0;0;2;0;0;0;0;4;2;1
700;4;1;0;0;0;0;4;0;0;0;5
65;0;0;0;4;0;2;0;0;0;0;9
36;4;0;3;0;0;0;2;0;2;0;4
28;9;1;0;1;0;0;0;0;1;1;2
250;4;0;0;2;3;0;0;0;0;0;5
2007;5;0;0;5;0;0;0;0;1;0;4
toutefois;1;0;0;0;0;0;1;1;2;4;5
telles;7;0;0;0;0;0;2;1;1;1;2
soudain;2;0;0;2;0;1;1;0;1;4;3
mien;0;0;0;7;1;1;2;0;0;2;1
hormis;3;0;2;0;1;0;1;1;3;0;3
diverses;2;0;0;0;0;1;1;1;0;4;5
ceux_ci;4;0;0;2;0;0;3;0;0;1;4
c_est_à_dire;1;0;0;1;0;1;7;0;1;1;2
auquel;1;0;0;0;0;2;2;0;5;1;3
4000;3;0;0;0;0;0;0;0;0;1;10
2500;2;0;0;1;0;1;0;1;0;0;9
2020;5;0;0;1;0;0;2;0;0;0;6
mm;1;0;0;1;0;0;0;0;2;4;3
ho;3;4;0;0;0;0;0;1;0;2;3
diable;5;0;0;3;0;0;1;0;1;1;0
7000;3;0;0;2;0;0;0;0;2;0;5
57;5;0;1;1;1;1;1;0;0;1;2
49;7;0;0;3;0;0;0;1;0;0;1
31;3;0;0;3;0;0;0;0;1;0;6
23;1;0;0;3;0;0;1;0;1;1;5
2005;6;0;0;1;0;0;2;0;0;1;2
nôtre;1;1;0;0;0;0;0;0;0;2;8
jusque;3;0;0;3;1;1;0;2;0;1;1
extra;0;1;0;0;0;0;1;0;2;0;8
72;3;0;0;3;1;0;0;0;1;0;1
6000;0;0;0;2;0;0;3;0;0;1;6
2008;2;1;0;2;0;0;0;0;0;2;4
1945;10;0;0;0;0;0;0;0;0;1;1
à_l_encontre;3;0;0;1;0;1;0;0;4;0;2
vous_même;3;0;0;1;0;0;1;1;2;1;2
vis_à_vis;1;0;2;0;0;0;1;3;1;2;1
to;1;0;1;3;0;0;0;0;2;1;3
tienne;2;0;0;3;0;0;0;1;3;0;2
parce;2;0;0;2;1;1;0;0;1;0;4
néanmoins;0;0;1;1;0;1;0;1;1;3;2
na;4;0;0;0;0;2;0;1;0;1;2
moi_même;0;0;0;0;0;1;0;0;7;1;2
debout;1;1;0;2;1;1;0;1;1;0;3
chouette;0;0;1;3;0;1;0;1;2;1;0
celles_ci;2;0;0;0;0;2;0;1;2;0;4
auparavant;3;0;0;1;0;0;1;0;3;1;2
alerte;2;0;0;0;1;1;0;0;2;0;5
51;0;0;1;1;0;1;0;0;0;0;8
41;1;0;0;1;0;4;0;0;0;2;2
34;1;0;1;1;1;2;0;0;0;0;5
2030;0;1;0;2;0;0;1;0;1;2;3
2014;4;0;1;0;1;0;0;0;0;3;1
2010;0;0;2;2;0;0;2;0;0;2;3
2002;7;0;0;0;0;0;0;0;0;1;1
10000;6;0;0;0;0;0;0;0;1;0;3
mme;2;1;0;1;0;1;1;0;0;1;2
hello;1;2;0;2;0;0;0;0;2;1;2
cinq;1;0;1;3;0;0;1;1;0;1;2
celui_là;0;0;0;3;0;1;0;0;5;1;0
auxquels;2;0;0;1;0;0;0;0;3;2;2
67;8;0;0;1;0;0;0;0;0;0;0
2045;0;0;0;3;2;0;2;0;0;0;3
2027;0;1;0;2;1;0;0;0;2;1;3
tandis_qu;2;0;1;0;0;0;4;0;0;1;1
quoique;1;0;0;1;0;0;0;1;2;2;2
mienne;0;0;0;2;0;1;0;0;1;4;1
elles_mêmes;1;0;0;0;0;2;2;0;0;2;2
ceux_là;3;0;0;2;0;0;0;0;1;0;2
cent;1;0;0;1;1;1;3;0;0;0;2
aucunes;3;0;0;2;1;0;0;0;1;2;0
900;1;0;0;0;0;0;0;0;0;2;6
53;0;0;0;0;3;0;0;0;0;0;5
43;1;0;1;0;0;1;0;1;0;1;4
38;1;0;0;1;0;0;0;0;0;0;6
2001;4;0;0;0;0;0;1;0;2;2;0
1920;6;0;0;0;0;1;0;0;0;0;2
130;1;0;0;0;1;0;0;0;0;0;6
sienne;2;0;0;2;0;0;0;0;2;1;0
pa;1;1;0;2;0;0;1;1;0;1;1
mouais;0;0;0;4;0;0;0;0;0;1;2
hé;1;0;0;2;0;0;0;0;1;1;3
hip;0;0;0;2;0;1;0;0;1;0;0
clic;3;0;0;0;0;0;0;0;1;2;1
basta;2;0;0;3;0;0;0;1;1;0;1
autrefois;2;0;0;2;0;0;1;0;1;1;1
aucuns;0;0;0;1;1;0;1;0;0;1;4
