"";"";"";"";"tu";""
"1";"tu";"0.000286164863739478";"0.158592627462591";"1.15025798884112";"26"
"2";"leur";"-0.0180244179092733";"-0.196894620372384";"1.08549114402681";"34"
"3";"ton";"-0.0905672307262492";"0.174712245765888";"1.08133184772049";"35"
"4";"pouvoir";"-0.137469266104331";"-0.129904700644293";"1.06664043762629";"36"
"5";"elles";"-0.144160701934999";"-0.296697116395669";"1.03929571879111";"40"
"6";"donc";"0.00836837612145015";"-0.289443366355366";"1.03001000900181";"42"
"7";"cela";"-0.158561016289829";"-0.180910752672587";"1.00169355667886";"45"
"8";"pas";"-0.00674076980590561";"-0.0812338385290604";"0.988460900894096";"48"
"9";"dire";"0.0582178759116528";"0.109166004314327";"0.963708240744821";"52"
"10";"nous";"-0.215182708119648";"0.0756241617496601";"0.957570855129666";"53"
"11";"autres";"-0.116084696370336";"-0.0621552411757351";"0.955011110621502";"55"
"12";"au";"-0.0357873873233231";"-0.0734324514968814";"0.954415606488855";"57"
"13";"sur";"-0.149224383719734";"-0.168176204104285";"0.953189975890266";"58"
"14";"du";"0.00767690353887983";"-0.066258863353386";"0.943283372257229";"61"
"15";"faire";"-0.0697367480917598";"0.0232755685713255";"0.94250321568035";"62"
"16";"leurs";"0.100778011008185";"-0.247642577968323";"0.936774373598058";"66"
"17";"aucunement";"0.251334895258632";"-0.250946683276766";"0.929808360139413";"69"
"18";"ces";"0.113284731669212";"-0.161468503784105";"0.927283237964543";"71"
"19";"falloir";"-0.155070611801904";"-0.0684737790651463";"0.925411323811143";"72"
"20";"gare";"-0.417867818050347";"-0.152082193628504";"0.92403104679051";"75"
"21";"savoir";"-0.0567520843990761";"-0.0385558177635052";"0.923444775280074";"76"
"22";"quelque";"0.00556708524890165";"-0.016483676912792";"0.911003816849955";"79"
"23";"personne";"0.048192310271228";"-0.110170715684603";"0.904813343657084";"81"
"24";"mais";"-0.146236602948561";"-0.0651912819793222";"0.904171676413378";"82"
"25";"beaucoup";"-0.500636586030973";"-0.179221509831828";"0.898066604975964";"84"
"26";"car";"-0.17876560982327";"-0.23087858716249";"0.897764236598534";"85"
"27";"avoir";"0.0865132816968627";"0.0157360637511732";"0.897549578132115";"86"
"28";"tout";"-0.110886813668434";"0.11098442185857";"0.893318729003653";"87"
"29";"ils";"0.138004578409421";"-0.0988526672971565";"0.892190040938286";"89"
"30";"juste";"-0.150908872982681";"0.059749007396976";"0.891439890383595";"91"
"31";"où";"-0.0479353243253164";"-0.180466999360485";"0.888778587031103";"93"
"32";"quoi";"0.0420974620601359";"0.0100354777072856";"0.887488328077034";"94"
"33";"pourquoi";"0.334106905488781";"-0.0927505826362321";"0.882322675949649";"98"
"34";"ceux";"-0.00803498008489087";"-0.194639566926795";"0.879423632575209";"103"
