"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"10";"***";"";""
"**";"classe";"1";"**";"";""
"****";"6503";"36896";"17.63";"****";""
"157";"2153";" 7.29";"-168.146";"emji_visage_riant_aux_larmes";"1.880113e-38"
"  4";" 563";" 0.71";"-112.665";"riche";"2.555210e-26"
" 53";" 992";" 5.34";"-105.923";"payer";"7.664853e-25"
"  1";" 348";" 0.29";" -72.737";"salaire";"1.481083e-17"
"  6";" 389";" 1.54";" -70.040";"impôt";"5.810832e-17"
" 12";" 449";" 2.67";" -69.995";"travailler";"5.944457e-17"
" 49";" 770";" 6.36";" -68.694";"vie";"1.149786e-16"
"316";"2673";"11.82";" -66.847";"suisse";"2.934500e-16"
" 37";" 648";" 5.71";" -64.499";"commentaire";"9.657111e-16"
"  9";" 364";" 2.47";" -58.138";"système";"2.443965e-14"
"  2";" 285";" 0.70";" -56.658";"assurance";"5.185599e-14"
" 49";" 704";" 6.96";" -56.225";"travail";"6.462589e-14"
" 70";" 868";" 8.06";" -55.964";"problème";"7.380638e-14"
" 78";" 928";" 8.41";" -55.738";"femme";"8.281912e-14"
" 35";" 577";" 6.07";" -53.946";"france";"2.060668e-13"
" 58";" 753";" 7.70";" -52.129";"grand";"5.196827e-13"
" 13";" 364";" 3.57";" -50.011";"emji_se_rouler_par_terre_de_rire";"1.528888e-12"
" 20";" 427";" 4.68";" -49.833";"français";"1.674199e-12"
" 11";" 341";" 3.23";" -49.153";"cher";"2.367900e-12"
" 16";" 383";" 4.18";" -48.205";"social";"3.838243e-12"
"379";"2928";"12.94";" -48.003";"aller";"4.255006e-12"
" 18";" 399";" 4.51";" -47.779";"beau";"4.771954e-12"
" 15";" 367";" 4.09";" -46.794";"entreprise";"7.885810e-12"
"  1";" 227";" 0.44";" -46.458";"étude";"9.360277e-12"
" 71";" 820";" 8.66";" -46.442";"temps";"9.437881e-12"
" 15";" 365";" 4.11";" -46.383";"idée";"9.727979e-12"
"  4";" 248";" 1.61";" -44.092";"frontalier";"3.132937e-11"
" 41";" 572";" 7.17";" -43.762";"argent";"3.707995e-11"
"  1";" 207";" 0.48";" -42.132";"maladie";"8.530613e-11"
"  8";" 275";" 2.91";" -41.328";"santé";"1.287393e-10"
"  0";" 191";" 0.00";" -41.080";"taxer";"1.461440e-10"
"  1";" 199";" 0.50";" -40.403";"égalité";"2.065828e-10"
"  1";" 194";" 0.52";" -39.323";"baisser";"3.591293e-10"
"  3";" 214";" 1.40";" -39.020";"emji_visage_souriant_avec_yeux_en_forme_de_coeur";"4.193897e-10"
"  3";" 214";" 1.40";" -39.020";"voiture";"4.193897e-10"
" 21";" 379";" 5.54";" -38.516";"société";"5.431185e-10"
" 13";" 302";" 4.30";" -37.213";"niveau";"1.059089e-09"
" 26";" 414";" 6.28";" -37.118";"sujet";"1.112000e-09"
" 14";" 310";" 4.52";" -37.003";"emji_visage_souriant_avec_une_goutte_de_sueur";"1.179203e-09"
"  8";" 254";" 3.15";" -36.913";"augmenter";"1.235222e-09"
"294";"2271";"12.95";" -36.497";"voir";"1.529214e-09"
"  1";" 178";" 0.56";" -35.869";"économie";"2.110009e-09"
"  3";" 199";" 1.51";" -35.800";"classe";"2.186939e-09"
" 13";" 293";" 4.44";" -35.382";"gros";"2.709744e-09"
"  3";" 194";" 1.55";" -34.727";"taxe";"3.792734e-09"
"  7";" 233";" 3.00";" -34.525";"canton";"4.209068e-09"
" 41";" 515";" 7.96";" -33.597";"sentir";"6.779417e-09"
" 10";" 255";" 3.92";" -33.212";"meilleur";"8.263648e-09"
" 79";" 794";" 9.95";" -32.928";"vraiment";"9.564154e-09"
" 61";" 661";" 9.23";" -32.685";"homme";"1.083692e-08"
"  1";" 163";" 0.61";" -32.635";"moyenne";"1.112176e-08"
"127";"1124";"11.30";" -31.957";"prendre";"1.575932e-08"
"  4";" 189";" 2.12";" -31.472";"manger";"2.023648e-08"
"  4";" 189";" 2.12";" -31.472";"parent";"2.023648e-08"
"  2";" 168";" 1.19";" -31.397";"ia";"2.103049e-08"
" 26";" 380";" 6.84";" -30.750";"tellement";"2.935680e-08"
"104";" 954";"10.90";" -30.494";"penser";"3.348365e-08"
" 42";" 502";" 8.37";" -30.049";"emji_applaudissements";"4.213730e-08"
" 15";" 283";" 5.30";" -29.838";"emji_visage_faisant_un_clin_d_oeil";"4.697587e-08"
" 44";" 516";" 8.53";" -29.836";"devenir";"4.702310e-08"
"  4";" 179";" 2.23";" -29.346";"fortune";"6.054678e-08"
" 11";" 245";" 4.49";" -29.310";"mois";"6.167023e-08"
"107";" 962";"11.12";" -28.767";"comprendre";"8.164801e-08"
" 79";" 763";"10.35";" -28.373";"rester";"1.000647e-07"
"  1";" 143";" 0.70";" -28.327";"emploi";"1.024653e-07"
"  8";" 212";" 3.77";" -28.178";"initiative";"1.106499e-07"
" 18";" 300";" 6.00";" -28.154";"jeune";"1.120352e-07"
" 11";" 236";" 4.66";" -27.495";"gagner";"1.574610e-07"
"  0";" 128";" 0.00";" -27.483";"loyer";"1.585058e-07"
"  2";" 149";" 1.34";" -27.320";"caisse";"1.724211e-07"
" 62";" 630";" 9.84";" -26.748";"vivre";"2.317926e-07"
" 71";" 694";"10.23";" -26.639";"trouver";"2.452662e-07"
" 18";" 292";" 6.16";" -26.628";"service";"2.466536e-07"
"  0";" 124";" 0.00";" -26.621";"bosser";"2.475421e-07"
" 17";" 283";" 6.01";" -26.514";"manquer";"2.616323e-07"
" 32";" 404";" 7.92";" -26.496";"genre";"2.641385e-07"
" 19";" 295";" 6.44";" -25.622";"revenir";"4.152429e-07"
"  1";" 130";" 0.77";" -25.530";"produit";"4.354910e-07"
" 15";" 260";" 5.77";" -25.351";"animal";"4.779611e-07"
"  3";" 150";" 2.00";" -25.327";"physique";"4.838867e-07"
" 98";" 873";"11.23";" -25.222";"chose";"5.108776e-07"
"  4";" 159";" 2.52";" -25.110";"coût";"5.415607e-07"
"  1";" 128";" 0.78";" -25.100";"qualité";"5.442384e-07"
" 23";" 321";" 7.17";" -24.403";"genève";"7.814615e-07"
" 64";" 628";"10.19";" -24.319";"année";"8.162603e-07"
"  1";" 124";" 0.81";" -24.241";"héritage";"8.502146e-07"
"  3";" 144";" 2.08";" -24.051";"magnifique";"9.380078e-07"
"  7";" 182";" 3.85";" -23.918";"journée";"1.005138e-06"
" 15";" 251";" 5.98";" -23.621";"école";"1.173084e-06"
"  1";" 120";" 0.83";" -23.381";"coûter";"1.328733e-06"
" 58";" 578";"10.03";" -23.303";"question";"1.383897e-06"
" 10";" 206";" 4.85";" -23.271";"super";"1.407274e-06"
"  9";" 195";" 4.62";" -22.853";"effet";"1.748406e-06"
"  2";" 128";" 1.56";" -22.826";"obligatoire";"1.773565e-06"
"  1";" 117";" 0.85";" -22.737";"climatique";"1.857759e-06"
"  3";" 135";" 2.22";" -22.142";"marché";"2.532731e-06"
"  0";" 103";" 0.00";" -22.100";"transport";"2.588151e-06"
"  1";" 112";" 0.89";" -21.663";"métier";"3.249544e-06"
" 12";" 215";" 5.58";" -21.606";"voter";"3.347848e-06"
"  8";" 179";" 4.47";" -21.443";"ultra";"3.645531e-06"
" 59";" 572";"10.31";" -21.387";"petit";"3.752983e-06"
"128";"1041";"12.30";" -20.956";"mettre";"4.700576e-06"
" 16";" 245";" 6.53";" -20.910";"normal";"4.813701e-06"
"  3";" 129";" 2.33";" -20.871";"énergie";"4.912646e-06"
" 35";" 393";" 8.91";" -20.801";"aimer";"5.095639e-06"
" 45";" 467";" 9.64";" -20.794";"changer";"5.115146e-06"
" 51";" 510";"10.00";" -20.711";"partir";"5.342198e-06"
"  4";" 138";" 2.90";" -20.691";"poste";"5.396217e-06"
" 33";" 377";" 8.75";" -20.649";"lire";"5.515589e-06"
" 12";" 210";" 5.71";" -20.638";"pareil";"5.549310e-06"
"  1";" 105";" 0.95";" -20.161";"consommation";"7.118082e-06"
"  4";" 135";" 2.96";" -20.063";"personnel";"7.492775e-06"
"  2";" 115";" 1.74";" -20.052";"augmentation";"7.536288e-06"
"  2";" 114";" 1.75";" -19.839";"billet";"8.424695e-06"
" 16";" 238";" 6.72";" -19.612";"argument";"9.489111e-06"
"  6";" 151";" 3.97";" -19.463";"réfléchir";"1.025833e-05"
" 43";" 443";" 9.71";" -19.365";"arriver";"1.079476e-05"
" 52";" 507";"10.26";" -19.226";"besoin";"1.161379e-05"
"  1";" 100";" 1.00";" -19.089";"statistique";"1.247579e-05"
"  4";" 130";" 3.08";" -19.018";"réduire";"1.294710e-05"
" 86";" 740";"11.62";" -18.747";"donner";"1.492820e-05"
"  9";" 174";" 5.17";" -18.673";"jouer";"1.551866e-05"
"  8";" 165";" 4.85";" -18.636";"route";"1.582454e-05"
"  1";"  97";" 1.03";" -18.446";"retraite";"1.747821e-05"
"  0";"  85";" 0.00";" -18.229";"training";"1.958825e-05"
" 43";" 435";" 9.89";" -18.164";"plutôt";"2.026761e-05"
"  1";"  95";" 1.05";" -18.018";"polluer";"2.188811e-05"
"  1";"  95";" 1.05";" -18.018";"perso";"2.188811e-05"
"  8";" 161";" 4.97";" -17.841";"fonctionner";"2.402104e-05"
"  1";"  94";" 1.06";" -17.803";"sport";"2.449587e-05"
"  0";"  83";" 0.00";" -17.799";"scientifique";"2.455083e-05"
" 15";" 219";" 6.85";" -17.620";"choix";"2.697241e-05"
"  0";"  82";" 0.00";" -17.584";"socialiste";"2.748760e-05"
" 16";" 226";" 7.08";" -17.418";"acheter";"3.000353e-05"
"190";"1410";"13.48";" -17.391";"gens";"3.043113e-05"
"  1";"  92";" 1.09";" -17.375";"taux";"3.068473e-05"
"  1";"  92";" 1.09";" -17.375";"fiscal";"3.068473e-05"
"  1";"  92";" 1.09";" -17.375";"consommer";"3.068473e-05"
"  3";" 112";" 2.68";" -17.286";"couple";"3.215300e-05"
"  6";" 140";" 4.29";" -17.224";"couper";"3.322436e-05"
"  7";" 149";" 4.70";" -17.220";"udc";"3.329636e-05"
" 41";" 414";" 9.90";" -17.195";"gauche";"3.372449e-05"
"  2";" 101";" 1.98";" -17.074";"milliardaire";"3.595114e-05"
" 32";" 347";" 9.22";" -17.037";"regarder";"3.664890e-05"
"  1";"  90";" 1.11";" -16.947";"cadeau";"3.844456e-05"
"  2";" 100";" 2.00";" -16.862";"accident";"4.020417e-05"
" 14";" 206";" 6.80";" -16.732";"risque";"4.304267e-05"
