"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
"emji_visage_riant_aux_larmes";-168,146;-7,364;3738,751;-16,095;-54,094;-24,31;-286,953;-17,197;-14,705;-212,014
"aller";-48,003;-66,534;268,849;-0,108;-9,616;-4,124;0,016;6,022;-1,551;-5,909
"suisse";-66,847;-30,08;-10,092;-4,69;-3,14;-17,187;653,048;-1,653;-2,59;-42,132
"voir";-36,497;-52,212;-1,072;-0,01;-10,488;-0,003;-12,862;-0,922;-0,756;276,335
"parler";7,048;-69,633;-70,898;-6,712;1,597;48,96;-0,07;-9,842;0,698;66,927
"pays";32,052;-12,287;-29,261;-3,867;-0,008;-11,287;129,7;-10,645;0,025;-30,45
"gens";-17,391;-57,869;-32,771;-3,202;-19,689;-11,723;36,108;-0,462;3,418;137,647
"monde";-12,951;-21,159;-5,761;-9,322;-1,541;0,191;86,246;-7,162;-0,53;4,935
"prendre";-31,957;-32,166;-7,739;22,656;-7,857;-0,118;52,823;37,872;-3,578;1,138
"enfant";22,783;-10,255;-29,87;-16,221;-4,313;30,611;46,084;4,412;-6,718;-20,411
"mettre";-20,956;-34,471;-1,253;3,238;-0,026;0,946;7,463;-0,483;-1,798;30,685
"payer";-105,923;-44,751;-114,565;-3,83;-15,165;-24,274;451,923;1937,327;-20,927;-190,551
"femme";-55,738;-19,639;-110,973;-17,545;-33,587;5728,369;-0,907;-14,374;-6,194;-91,629
"penser";-30,494;-33,376;-11,912;-0,304;-2,538;1,261;-0,148;-0,058;-0,271;159,875
"comprendre";-28,767;-33,795;-21,954;-1,462;-0,819;3,524;-2,478;-0,573;-1,924;223,265
"passer";-0,959;-22,354;0,081;9,97;-2,407;-7,899;-3,064;-0,943;-5,154;52,839
"problème";-55,964;-34,231;-33,026;-3,339;13,685;0,356;229,117;0,062;0,023;-1,544
"chose";-25,222;-18,437;-23,984;-4,268;-0,747;-0,216;-3,048;-11,045;-3,331;294,332
"emji_applaudissements";-30,049;4912,04;-69,084;-7,986;-19,491;-11,452;-66,793;-14,346;-3,839;-73,335
"temps";-46,442;-12,331;-6,783;0,032;-0,606;-1,305;3,5;0,221;-1,835;99,859
"droit";428,614;-30,697;-80,969;-10,707;-21,488;14,204;-2,195;-3,653;-0,432;-12,063
"vraiment";-32,928;-11,253;-0,361;-1,049;-0,543;-0,005;-9,023;-2,251;-10,663;183,259
"arrêter";44,416;-14,946;-9,552;-0,182;1,271;-3,505;-0,574;0,323;0,085;-0,259
"rester";-28,373;-11,092;-0,608;-0,159;-3,939;2,634;82,817;-2,621;-3,958;0,326
"vie";-68,694;-6,421;-24,603;-6,267;0,079;-0,378;308,577;9,691;-6,162;-9,839
"police";214,629;-6,157;-16,473;0,02;-22,099;-2,246;-18,119;-19,686;-2,266;2,822
"donner";-18,747;-17,754;-18,117;-3,622;-14,758;0,026;1,52;0,215;-1,992;145,005
"vrai";-5,873;-10,517;-20,07;-0,303;1,701;0,21;0,358;-4,151;0,768;56,902
"grand";-52,129;0,406;-11,289;-1,61;13,024;-0,454;184,166;-2,393;-2,924;-12,112
"venir";-1,977;-18,641;40,539;-0,444;-0,499;-0,456;0,519;-7,66;-3,323;0,025
"travail";-56,225;-3,607;-33,235;-2,212;-4,998;-6,66;539,298;-0,417;-11,481;-22,855
"homme";-32,685;-14,033;-91,5;-17,865;-21,065;5381,659;-10,976;-18,813;-13,815;-78,727
"jour";-13,411;-7,337;39,052;-1,105;9;0;10,828;-8,477;-7,59;-7,523
"trouver";-26,639;-16,997;-0,89;-6,984;-6,304;2,222;54,998;3,807;-0,041;1,704
"état";200,35;-12,249;-70,357;-7,974;-0,254;-11,956;34,277;0,003;-0,581;-36,555
"vivre";-26,748;-27,24;-0,063;-6,788;-0,001;-1,693;52,727;-6,081;-0,309;15,053
"commentaire";-64,499;-2,738;-8,353;-7,214;-25,557;0,293;-104,213;-12,399;2,53;666,534
"fois";-4,34;-18,027;-0,288;-3,257;-3,206;-1,082;6,372;-5,804;-4,161;41,626
"demander";12,108;-17,678;-19,467;-0,999;-0,005;6,039;3,125;0,097;-0,955;0,562
"emji_visage_qui_pleure";-8,909;852,732;-5,967;-0,075;-6,545;-1,322;-25,893;1,836;-4,46;-11,041
"année";-24,319;-5,879;-5,058;0,491;3,311;-0,081;34,891;128,28;-5,401;-15,764
"cas";-4,372;-26,177;-25,984;-0,039;-1,75;11,046;72,252;-2,423;-0,898;1,847
"seul";1,281;-20,973;-22,435;-5,202;0,233;10,678;46,811;-0,204;-0,518;-2,086
"riche";-112,665;-18,312;-85,657;-11,292;-0,834;-21,044;1237,234;0,177;-0,865;-92,918
"palestinien";2501,852;-29,367;-116,972;-16,052;-30,417;-22,481;-134,794;-28,232;-10,303;-134,198
"israël";2490,451;-30,61;-108,885;-15,613;-27,498;-25,83;-133,062;-29,5;-13,497;-134,564
