"";"X";"V1"
"1";1;1
"2";2;1
"3";3;1
"4";4;1
"5";5;1
"6";6;2
"7";7;2
"8";8;1
"9";9;1
"10";10;1
"11";11;1
"12";12;2
"13";13;1
"14";14;1
"15";15;2
"16";16;1
"17";17;2
"18";18;1
"19";19;1
"20";20;1
"21";21;1
"22";22;1
"23";23;1
"24";24;2
"25";25;0
"26";26;2
"27";27;1
"28";28;2
"29";29;2
"30";30;2
"31";31;2
"32";32;2
"33";33;1
"34";34;1
"35";35;2
"36";36;1
"37";37;2
"38";38;1
"39";39;2
"40";40;1
"41";41;1
"42";42;1
"43";43;2
"44";44;1
"45";45;1
"46";46;2
"47";47;2
"48";48;2
"49";49;2
"50";50;2
"51";51;2
"52";52;2
"53";53;2
"54";54;1
"55";55;1
"56";56;2
"57";57;2
"58";58;2
"59";59;2
"60";60;1
"61";61;1
"62";62;1
"63";63;1
"64";64;1
"65";65;1
"66";66;2
"67";67;1
"68";68;1
"69";69;2
"70";70;2
"71";71;2
"72";72;2
"73";73;2
"74";74;1
"75";75;2
"76";76;2
"77";77;2
"78";78;1
"79";79;1
"80";80;1
"81";81;2
"82";82;2
"83";83;2
"84";84;2
"85";85;2
"86";86;2
"87";87;2
"88";88;1
"89";89;1
"90";90;2
"91";91;2
"92";92;2
"93";93;1
"94";94;2
"95";95;1
"96";96;2
"97";97;1
"98";98;1
"99";99;2
"100";100;2
"101";101;2
"102";102;2
"103";103;2
"104";104;1
"105";105;1
"106";106;2
"107";107;2
"108";108;2
"109";109;1
"110";110;1
"111";111;2
"112";112;1
"113";113;2
"114";114;2
"115";115;1
"116";116;2
"117";117;1
"118";118;2
"119";119;2
"120";120;2
"121";121;1
"122";122;2
"123";123;2
"124";124;1
"125";125;1
"126";126;2
"127";127;1
"128";128;1
"129";129;1
"130";130;1
"131";131;2
"132";132;1
"133";133;1
"134";134;1
"135";135;1
"136";136;2
"137";137;1
"138";138;1
"139";139;1
"140";140;1
"141";141;1
"142";142;1
"143";143;1
"144";144;1
"145";145;1
"146";146;1
"147";147;1
"148";148;1
"149";149;1
"150";150;1
"151";151;1
"152";152;1
"153";153;2
"154";154;2
"155";155;2
"156";156;2
"157";157;2
"158";158;1
"159";159;1
"160";160;2
"161";161;1
"162";162;1
"163";163;2
"164";164;1
"165";165;1
"166";166;1
"167";167;1
"168";168;1
"169";169;2
"170";170;2
"171";171;2
"172";172;2
"173";173;1
"174";174;1
"175";175;2
"176";176;2
"177";177;2
"178";178;1
"179";179;2
"180";180;2
"181";181;2
"182";182;2
"183";183;1
"184";184;1
"185";185;2
"186";186;1
"187";187;2
"188";188;2
"189";189;2
"190";190;1
"191";191;1
"192";192;1
"193";193;1
"194";194;1
"195";195;1
"196";196;1
"197";197;2
"198";198;2
"199";199;1
"200";200;1
"201";201;2
"202";202;2
"203";203;2
"204";204;2
"205";205;2
"206";206;1
"207";207;1
"208";208;1
"209";209;1
"210";210;1
"211";211;1
"212";212;1
"213";213;2
"214";214;2
"215";215;1
"216";216;2
"217";217;1
"218";218;2
"219";219;1
"220";220;1
"221";221;1
"222";222;1
"223";223;2
"224";224;2
"225";225;2
"226";226;2
"227";227;2
"228";228;2
"229";229;2
"230";230;2
"231";231;2
"232";232;2
"233";233;2
"234";234;2
"235";235;1
"236";236;2
"237";237;1
"238";238;2
"239";239;1
"240";240;2
"241";241;1
"242";242;1
"243";243;2
"244";244;1
"245";245;2
"246";246;1
"247";247;2
"248";248;1
"249";249;1
"250";250;1
"251";251;2
"252";252;1
"253";253;1
"254";254;2
"255";255;1
"256";256;2
"257";257;1
"258";258;1
"259";259;1
"260";260;2
"261";261;2
"262";262;1
"263";263;1
"264";264;1
"265";265;1
"266";266;1
"267";267;2
"268";268;1
"269";269;1
"270";270;1
"271";271;1
"272";272;2
"273";273;1
"274";274;2
"275";275;1
"276";276;1
"277";277;1
"278";278;1
"279";279;2
"280";280;1
"281";281;1
"282";282;1
"283";283;2
"284";284;2
"285";285;2
"286";286;2
"287";287;2
"288";288;2
"289";289;1
"290";290;2
"291";291;2
"292";292;1
"293";293;2
"294";294;1
"295";295;2
"296";296;1
"297";297;2
"298";298;2
"299";299;2
"300";300;1
"301";301;2
"302";302;2
"303";303;1
"304";304;2
"305";305;2
"306";306;1
"307";307;2
"308";308;1
"309";309;2
"310";310;2
"311";311;2
"312";312;2
"313";313;1
"314";314;2
"315";315;2
"316";316;2
"317";317;2
"318";318;2
"319";319;2
"320";320;2
"321";321;2
"322";322;2
"323";323;1
"324";324;2
"325";325;2
"326";326;2
"327";327;2
"328";328;0
"329";329;2
"330";330;1
"331";331;2
"332";332;1
"333";333;1
"334";334;1
"335";335;2
"336";336;2
"337";337;2
"338";338;2
"339";339;2
"340";340;1
"341";341;2
"342";342;1
"343";343;1
"344";344;1
"345";345;2
"346";346;2
