être;3072;3784
de;2713;3326
la;1979;2500
avoir;1688;2571
et;1839;2426
les;1593;2164
le;1623;2180
pas;1774;2219
user_utilisateurice;2127;2233
que;1516;1958
ne;1574;1843
à;1361;1806
c;1436;1873
des;1240;1477
en;1092;1698
l;1365;1339
un;1123;1407
d;1201;1316
qui;1039;1362
pour;980;1420
je;957;1197
vous;837;910
on;811;1294
faire;820;1374
il;880;1181
ce;972;1106
une;923;1079
mais;743;1094
ça;596;1083
qu;683;978
dans;614;916
plus;526;853
du;629;770
sur;610;571
ils;324;712
si;450;700
tout;403;741
tu;399;513
y;402;691
se;376;717
pouvoir;461;627
au;415;638
bien;429;602
avec;447;601
dire;474;541
j;367;602
ou;436;432
comme;375;526
même;349;462
par;373;394
s;332;449
nous;222;391
falloir;254;420
personne;249;368
quand;237;366
non;260;341
rien;228;360
ces;237;343
savoir;237;324
bon;206;362
devoir;222;336
votre;282;231
cette;227;297
vouloir;220;304
leur;156;324
oui;222;259
alors;205;290
donc;221;253
t;156;272
sans;218;231
aussi;177;278
juste;225;235
elle;187;204
me;170;251
très;188;232
tous;165;255
quoi;171;255
encore;160;238
aux;161;227
son;172;211
mon;175;195
autres;151;220
là;123;228
où;129;221
peu;137;207
cela;163;156
moi;106;196
toi;116;178
toujours;119;184
ton;116;161
déjà;119;174
te;95;158
jamais;107;170
avant;124;160
pourquoi;135;139
merci;143;137
parce_que;108;167
autre;98;173
car;108;165
ses;119;145
après;81;188
contre;154;115
sa;109;154
notre;91;162
an;93;161
m;106;142
moins;102;135
beaucoup;101;142
ceux;86;146
mieux;90;150
nos;63;156
trop;87;137
leurs;95;124
croire;98;121
vos;134;82
comment;93;109
surtout;93;104
mal;77;114
quel;94;95
eux;51;132
ma;78;102
toute;67;115
lui;56;104
depuis;67;102
point;99;68
chez;47;118
ni;54;56
aucun;95;66
ici;74;92
entre;81;77
aucune;82;70
deux;63;78
ta;64;77
tant;62;82
2;59;83
certains;65;73
toutes;69;71
quelle;50;85
peut_être;54;77
chaque;40;83
ah;67;62
quelque;28;95
1;55;61
souvent;56;65
sous;54;64
mes;46;69
elles;42;51
plein;20;88
tes;50;58
aujourd_hui;41;69
ailleurs;41;68
bravo;34;70
maintenant;40;64
autant;41;61
dont;46;55
assez;38;59
quelqu_un;34;59
cet;45;46
3;34;56
quelques;31;58
bah;29;59
force;42;45
enfin;26;60
sinon;42;44
plusieurs;42;39
4;23;55
voilà;37;42
mêmes;30;46
fort;32;42
pourtant;26;49
loin;28;45
10;23;43
ensuite;28;37
ben;21;44
chacun;24;39
certaines;35;29
partout;23;38
ok;17;36
5;14;46
pendant;15;45
dommage;24;36
derrière;31;25
hein;24;35
selon;32;25
sauf;21;36
puis;23;30
ainsi;26;28
dessus;17;35
monsieur;21;28
attention;25;25
celui;23;26
longtemps;27;22
parfois;23;24
ouais;13;31
hors;29;18
vers;22;22
certain;15;32
tiens;27;16
combien;15;29
100;26;20
dès;22;23
devant;16;28
20;22;23
presque;15;28
6;10;29
plupart;20;19
million;14;24
envers;15;24
tel;19;21
lors;18;22
vite;11;27
oh;9;30
concernant;22;17
anti;26;12
50;16;19
30;13;26
tard;9;27
soi;13;22
celle;20;16
autour;11;24
grâce;11;22
15;11;21
0;16;13
merde;8;25
celles;18;13
madame;14;18
e;15;17
jusqu_à;7;24
quelles;14;15
lorsque;13;16
7;10;20
2025;16;14
lorsqu;20;9
certaine;13;16
malgré;9;19
vive;8;17
afin;21;6
puisque;17;9
moindre;11;14
laquelle;13;10
d_abord;9;15
dehors;6;18
pardon;6;17
cependant;16;7
25;7;15
000;5;16
durant;9;12
certes;7;14
40;12;9
telle;7;11
eh;10;10
quels;11;8
jusqu_au;3;16
haha;11;7
différents;9;9
davantage;12;7
x;7;11
demain;3;15
dame;5;13
ceci;11;6
80;7;11
200;15;3
18;12;6
16;7;11
tels;9;8
pseudo;12;4
or;8;9
hier;3;14
euh;7;10
vôtre;10;6
ouf;8;8
nul;3;13
lequel;9;7
gare;2;13
divers;13;3
2000;8;8
trois;5;10
mille;1;9
eux_mêmes;6;9
con;5;10
uns;5;9
suivant;5;9
quant;11;3
près;9;5
parmi;10;3
nulle;7;6
n_est_ce_pas;6;7
dedans;4;9
90;2;11
9;5;8
17;5;7
voire;6;6
pis;4;8
mince;3;8
in;6;6
environ;3;9
aucunement;10;2
12;5;7
hop;2;8
ci;7;4
celle_ci;6;5
arrière;1;10
8;5;6
60;5;6
voici;6;4
via;7;3
lendemain;2;8
jusqu;1;9
26;3;7
2026;3;7
soi_même;2;7
salut;6;3
moi_même;4;5
f;3;6
celui_ci;5;4
bye;1;5
70;3;6
11;3;6
1000;2;7
volontiers;4;4
tien;2;6
quasi;4;4
puisqu;6;2
o;2;6
45;5;3
32;3;5
19;3;5
14;2;6
v;3;4
