être;3598;535;2850;500;1098;958;4513;923;584;4412
de;3120;385;2232;486;1091;757;4357;893;525;3877
la;2654;328;1723;363;794;524;3185;617;442;2771
les;2452;249;1563;445;751;699;3221;814;283;2309
et;2596;325;1597;366;849;598;3319;715;347;2668
avoir;2378;282;1797;319;575;509;2686;582;297;2789
le;2207;288;1545;291;696;496;2728;591;274;2399
pas;1910;168;1551;298;605;538;2536;526;284;2615
user_utilisateurice;2318;344;2049;282;445;534;2148;400;376;3069
des;1929;117;901;240;589;414;2374;511;215;1683
ne;1841;121;979;237;600;432;2276;413;247;2303
à;1523;305;1191;300;501;383;2297;443;236;2029
que;1495;150;1124;203;509;458;2268;436;222;2249
en;1475;149;1253;270;538;403;2162;466;188;1782
c;1421;231;1474;210;491;471;1974;434;249;2122
l;1504;142;948;202;588;400;2214;405;264;1698
pour;1354;262;942;257;443;393;2095;494;154;1540
un;1307;152;994;183;452;351;1832;371;177;1644
d;1297;132;750;184;506;343;1882;377;247;1645
qui;1355;89;811;176;369;310;1880;363;191;1515
on;847;124;915;134;363;266;1507;342;140;1283
une;1006;145;660;141;398;326;1456;291;138;1260
faire;956;142;922;157;278;277;1425;300;120;1401
il;1021;117;810;167;335;219;1397;253;121;1366
ce;940;112;584;110;353;226;1213;188;134;1443
vous;840;114;518;64;150;180;722;139;131;1288
je;495;138;866;114;186;207;916;227;108;1536
mais;725;86;751;130;340;224;1176;242;103;1192
plus;595;72;572;158;308;181;1342;289;97;822
qu;813;72;621;100;227;213;1092;219;105;1067
du;810;92;606;104;315;166;1059;190;92;864
ça;558;104;875;90;200;225;942;220;112;1040
dans;692;79;600;117;253;215;1187;198;80;964
ils;703;47;518;102;143;84;754;175;71;644
sur;469;41;354;150;215;122;746;143;62;817
y;555;69;495;121;172;138;684;133;63;683
si;427;45;425;88;138;172;823;160;79;732
au;528;62;407;91;180;109;776;134;71;644
se;549;50;435;73;149;157;681;124;69;675
avec;453;93;433;87;172;140;702;154;62;699
tout;455;104;424;75;163;120;733;143;73;690
pouvoir;440;52;347;77;178;122;816;145;76;690
par;649;27;268;81;191;143;736;217;56;475
bien;386;96;428;62;104;121;633;125;78;656
ou;370;36;304;101;199;140;606;143;85;541
tu;290;42;366;28;41;105;394;72;62;654
dire;414;59;381;38;116;117;463;98;94;684
comme;427;51;384;59;142;113;578;111;81;529
j;188;101;504;54;94;78;320;107;46;667
même;356;40;302;57;124;115;515;126;61;565
s;423;30;286;45;129;95;577;92;56;508
nous;237;64;234;31;99;69;484;108;36;374
non;382;30;271;40;109;97;422;98;45;384
falloir;275;36;278;48;92;75;508;106;38;445
quand;299;30;260;44;90;66;397;102;50;381
ces;379;36;160;43;127;77;473;77;22;353
personne;317;32;179;47;79;70;444;77;37;388
leur;280;22;174;39;72;77;481;69;29;297
devoir;277;24;194;43;60;70;471;106;30;355
vouloir;253;31;213;27;65;101;402;65;40;356
aussi;243;39;214;65;92;108;388;93;28;280
rien;277;26;212;41;79;63;335;71;43;402
donc;290;11;156;46;88;81;465;68;50;291
aux;258;50;113;51;83;68;483;84;46;217
bon;176;80;238;40;83;46;272;72;37;387
oui;248;34;199;31;64;68;295;73;44;315
savoir;208;19;205;36;74;55;283;59;27;395
cette;235;57;164;17;71;64;335;55;39;334
alors;218;19;178;40;62;57;343;76;44;304
tous;245;54;202;35;69;66;298;67;35;254
sans;226;27;135;46;79;49;348;57;38;299
elle;220;64;103;17;66;71;185;21;57;251
encore;185;25;183;21;71;66;290;58;31;250
votre;185;44;113;12;31;39;171;37;22;401
t;155;18;197;26;21;43;160;45;38;331
autres;170;26;140;23;62;43;323;45;19;226
quoi;175;15;170;18;49;46;211;39;32;304
son;190;44;116;12;64;53;232;45;25;264
juste;137;24;162;26;49;60;226;55;30;311
très;104;50;134;20;62;45;255;51;28;268
déjà;119;23;152;41;58;43;337;74;12;167
