"";"banalfreq";"X.rts_a";"X.rts_i"
"emji_visage_avec_un_sourire_malin";151;-0,9745;0,9745
"emji_visage_qui_tire_la_langue_et_fait_un_clin_d_oeil";137;1,6247;-1,6247
"emji_trinquer";17;0,266;-0,266
"emji_mains_levées";619;0,9909;-0,9909
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";37;-1,8351;1,8351
"emji_visage_avec_les_sourcils_relevés";72;-1,2221;1,2221
"emji_coeur_enflammé";15;1,8029;-1,8029
"emji_visage_mécontent";11;1,0761;-1,0761
"emji_visage_avec_un_léger_sourire";152;0,4919;-0,4919
"emji_poing_levé";33;-0,913;0,913
"emji_visage_qui_pleure";1495;-0,6968;0,6968
"emji_coeur_noir";15;0,8101;-0,8101
"emji_couronne";19;1,9139;-1,9139
"emji_cotillons";37;0,4908;-0,4908
"emji_papillon";14;1,6149;-1,6149
"emji_coeur_bleu";27;1,6791;-1,6791
"emji_fondue";22;0,2911;-0,2911
"emji_coeur_vert";29;0,8782;-0,8782
"emji_tête_à_l_envers";110;-1,4159;1,4159
"emji_visage_qui_vomit";96;-0,5995;0,5995
"emji_tête_de_fou";111;-0,7472;0,7472
"emji_pouce_vers_le_haut_peau_moyennement_claire";33;1,3239;-1,3239
"emji_tête_de_chat";13;1,4307;-1,4307
"emji_poignée_de_main";17;-0,5567;0,5567
"emji_biceps_contracté_peau_légèrement_mate";17;-0,5567;0,5567
"emji_biceps_contracté_peau_moyennement_claire";21;-0,5909;0,5909
"emji_abeille";12;1,2509;-1,2509
"emji_visage_éméché";55;0,7063;-0,7063
"emji_coeur_jaune";16;0,9455;-0,9455
"emji_femme_qui_hausse_les_épaules";76;-1,0521;1,0521
"emji_coeur_violet";42;0,4997;-0,4997
"emji_applaudissements_peau_moyennement_claire";40;-1,34;1,34
"emji_visage_stupéfait";15;0,5019;-0,5019
"emji_singe_ne_rien_voir";111;0,6777;-0,6777
"emji_oeil";15;-0,315;0,315
"emji_visage_festif";83;-1,1828;1,1828
"emji_visage_souriant_avec_de_grands_yeux";72;1,9529;-1,9529
"emji_pouce_vers_le_haut_peau_claire";93;-0,3427;0,3427
"emji_visage_déçu";39;0,632;-0,632
"emji_visage_démoralisé_avec_goutte_de_sueur";32;-0,4064;0,4064
"emji_visage_épuisé";84;-0,423;0,423
"emji_visage_avec_un_doigt_sur_la_bouche";36;-0,3069;0,3069
"emji_visage_souriant_avec_auréole";100;1,5761;-1,5761
"emji_mains_levées_peau_claire";30;-1,0342;1,0342
"emji_homme_qui_hausse_les_épaules_peau_moyennement_claire";14;0,6816;-0,6816
"emji_visage_qui_rougit";126;1,5765;-1,5765
"emji_visage_pensif";125;0,7636;-0,7636
"emji_visage_bleu_et_froid";31;-0,4779;0,4779
"emji_ok_peau_moyennement_claire";24;0,6408;-0,6408
"emji_visage_blasé";53;-1,4987;1,4987
"emji_visage_ébahi";11;1,716;-1,716
"emji_feuille_morte";10;-1,6966;1,6966
"emji_jeune_pousse";14;0,4031;-0,4031
"emji_sapin_de_noël";39;-0,7267;0,7267
"emji_ok_peau_claire";29;0,4414;-0,4414
"emji_père_noël";17;1,5656;-1,5656
"emji_mains_en_prière_peau_claire";181;1,3571;-1,3571
"emji_bouteille_de_champagne";10;-0,3534;0,3534
"emji_chat_qui_pleure_de_joie";41;-1,2033;1,2033
"emji_cent_points";32;0,9147;-0,9147
"emji_biceps_contracté_peau_claire";26;1,9987;-1,9987
"emji_index_pointant_vers_le_haut_peau_claire";11;-0,5001;0,5001
"emji_biceps_contracté";105;-1,4832;1,4832
"emji_note_de_musique";13;1,4307;-1,4307
"emji_mains_levées_peau_légèrement_mate";14;0,217;-0,217
"emji_visage_souriant_avec_une_larme";140;-0,5463;0,5463
"emji_globe_tourné_sur_l_afrique_et_l_europe";17;-0,8491;0,8491
"emji_explosion";28;0,2414;-0,2414
"emji_index_pointant_vers_le_haut";27;-0,4421;0,4421
"emji_mains_en_prière_peau_légèrement_mate";35;0,9505;-0,9505
"emji_visage_effrayé";18;0,8448;-0,8448
"emji_visage_en_colère";15;-0,8465;0,8465
"emji_visage_anxieux_avec_goutte_de_sueur";26;0,5926;-0,5926
"emji_feuille";22;0,2911;-0,2911
"emji_visage_avec_un_monocle";96;-1,9761;1,9761
"emji_visage_sans_expression";46;-1,3501;1,3501
"emji_v_de_la_victoire";40;-0,339;0,339
"emji_visage_confus";27;0,4726;-0,4726
"emji_symbole_de_paix";11;-0,5001;0,5001
"emji_visage_qui_tire_la_langue_les_yeux_plissés";47;1,3506;-1,3506
"emji_homme_qui_hausse_les_épaules_peau_claire";51;-0,6344;0,6344
"emji_visage_qui_regarde_entre_ses_doigts";100;1,1925;-1,1925
"emji_visage_rouge_et_chaud";22;1,3866;-1,3866
"emji_visage_sans_bouche";12;0,2338;-0,2338
"emji_visage_endormi";33;-0,6838;0,6838
"emji_femme_avec_la_paume_sur_le_visage_peau_moyennement_claire";31;-0,4779;0,4779
"emji_main_avec_index_pointant_à_droite";39;0,4635;-0,4635
"emji_applaudissements_peau_claire";72;-1,4358;1,4358
"emji_visage_avec_yeux_ouverts_et_main_sur_la_bouche";18;0,3375;-0,3375
"emji_visage_déconcerté";15;0,8101;-0,8101
"emji_mains_en_prière_peau_mate";27;-0,4421;0,4421
"emji_mains_qui_forment_un_coeur";83;0,5;-0,5
"emji_tête_de_mort";28;-0,3702;0,3702
"emji_visage_fatigué";25;0,3331;-0,3331
"emji_visage_qui_fond";77;0,4457;-0,4457
"emji_visage_qui_tire_la_langue";14;-0,6758;0,6758
"emji_visage_aux_yeux_en_spirales";48;0,4281;-0,4281
"emji_visage_légèrement_mécontent";20;0,7638;-0,7638
"emji_mains_qui_forment_un_coeur_peau_moyennement_claire";37;0,6709;-0,6709
"emji_croix_latine";14;-0,4054;0,4054
"emji_tas_de_crotte";71;-0,6261;0,6261
"emji_trace_de_rouge_à_lèvres";10;0,9071;-0,9071
"emji_mains_qui_forment_un_coeur_peau_claire";57;0,2989;-0,2989
"emji_décamper";13;-0,289;0,289
"emji_homme_qui_hausse_les_épaules_peau_légèrement_mate";55;-1,7805;1,7805
"emji_visage_neutre";38;0,4031;-0,4031
"emji_bout_des_doigts_joints";10;0,2543;-0,2543
"emji_crâne";104;-0,4444;0,4444
"emji_coeur_bleu_clair";18;-0,2674;0,2674
"emji_signe_appel_téléphonique_avec_les_doigts";10;0,2543;-0,2543
"emji_visage_avec_bouche_en_diagonale";15;-0,315;0,315
"emji_mains_levées_peau_moyennement_claire";17;-0,5567;0,5567
"emji_coeur_orange";16;1,9943;-1,9943
"emji_visage_étourdi";22;0,697;-0,697
"emji_cornes_avec_les_doigts";31;0,8166;-0,8166
"emji_point_d_exclamation_rouge";12;-0,3806;0,3806
"emji_hibiscus";12;1,2509;-1,2509
"emji_pouce_vers_le_bas";24;-1,0213;1,0213
"emji_ogre";13;-0,5199;0,5199
"emji_femme_qui_hausse_les_épaules_peau_moyennement_claire";21;-0,5909;0,5909
"emji_visage_avec_bouche_fermeture_éclair";11;-0,2604;0,2604
"emji_ampoule";10;0,2543;-0,2543
"emji_femme_avec_la_paume_sur_le_visage_peau_claire";19;-0,574;0,574
"emji_visage_souriant_avec_des_cornes";13;-0,5199;0,5199
"emji_étourdissement";32;-0,7869;0,7869
"emji_confettis";11;-0,2604;0,2604
"emji_téléphone_portable";11;1,0761;-1,0761
"emji_mains_qui_forment_un_coeur_peau_légèrement_mate";18;0,5511;-0,5511
"emji_personne_qui_hausse_les_épaules_peau_claire";12;-0,6655;0,6655
"emji_soleil_avec_visage";19;0,9723;-0,9723
"emji_pouce_vers_le_bas_peau_claire";10;-0,6568;0,6568
"emji_bouton_coché";26;-0,5258;0,5258
"emji_visage_qui_fait_un_salut_militaire";58;0,4506;-0,4506
"emji_personne_qui_hausse_les_épaules";35;-1,8505;1,8505
"emji_coeur_battant";24;1,2592;-1,2592
"emji_personne_avec_la_paume_sur_le_visage_peau_claire";14;0,217;-0,217
"emji_tête_qui_parle";10;0,5079;-0,5079
"emji_symbole_d_avertissement";37;-1,8351;1,8351
"emji_double_point_d_exclamation";16;-0,4282;0,4282
"emji_visage_déguisé";11;-1,9832;1,9832
"emji_argent_dans_les_yeux_et_la_bouche";10;-1,0947;1,0947
"emji_empreintes_d_animaux";11;-0,2604;0,2604
"emji_drapeau_île_clipperton";13;-0,5199;0,5199
"emji_croix";15;-0,8465;0,8465
"emji_arc_en_ciel";14;0,217;-0,217
"emji_coeurs_qui_tournent";15;1,2337;-1,2337
"emji_pêche";10;-0,3534;0,3534
"emji_chat";14;1,0752;-1,0752
