"";"X.rts_a";"X.rts_i"
"emji_visage_avec_un_sourire_malin";2,8;5,2
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";64,78;20,36
"emji_visage_riant_aux_larmes";293,67;275,3
"emji_visage_grimaçant";2,94;2,42
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";9,16;3,2
"emji_visage_qui_tire_la_langue_et_fait_un_clin_d_oeil";3,23;3,35
"emji_visage_souriant_avec_une_goutte_de_sueur";27,65;25,48
"emji_visage_faisant_un_clin_d_oeil";22,37;22,63
"emji_visage_avec_lunettes_de_soleil";2,77;1,71
"emji_coeur_rouge";81,01;29,89
"emji_ok";3,56;2,21
"emji_trinquer";0,36;0,5
"emji_trèfle_à_quatre_feuilles";2,23;1,28
"emji_applaudissements";47,76;64,13
"emji_feu";20,61;23,2
"emji_mains_levées";13,25;17,79
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";0,5;1,64
"emji_se_rouler_par_terre_de_rire";43,63;44,27
"emji_coeur_cartes";4,38;0,36
"emji_drapeau_suisse";7,86;16,8
"emji_drapeau_états_unis";0,11;1,42
"emji_visage_avec_les_sourcils_relevés";1,22;2,7
"emji_coeur_enflammé";0,47;0,14
"emji_visage_envoyant_un_bisou";4,78;4,77
"emji_visage_qui_hurle_de_peur";3,91;3,84
"emji_visage_mécontent";0,32;0,14
"emji_soleil";1,19;0,21
"emji_visage_avec_un_léger_sourire";3,23;4,41
"emji_visage_rieur";2,55;0,57
"emji_poing_levé";0,54;1,28
"emji_pouce_vers_le_haut";8,94;5,27
"emji_visage_souriant_aux_yeux_rieurs";8,87;5,91
"emji_visage_avec_bouche_ouverte";11,81;12,88
"emji_visage_en_pleine_réflexion";9,05;21,28
"emji_visage_souriant_avec_yeux_rieurs";12,21;6,41
"emji_visage_très_souriant_aux_yeux_rieurs";3,81;2,85
"emji_visage_qui_pleure";30,02;46,9
"emji_visage_avec_une_main_sur_la_bouche";3,05;1,85
"emji_visage_souriant";4,45;2,7
"emji_coeur_noir";0,4;0,28
"emji_couronne";0,57;0,21
"emji_visage_souriant_avec_coeurs";18,42;4,34
"emji_visage_de_clown";2,33;8,75
"emji_visage_de_geek";1,62;4,27
"emji_cotillons";0,83;1
"emji_mains_en_prière";19,1;15,44
"emji_papillon";0,43;0,14
"emji_notes_de_musique";3,56;0,5
"emji_coeur_bleu";0,75;0,43
"emji_visage_roulant_des_yeux";7,94;16,51
"emji_fondue";0,47;0,64
"emji_coeur_vert";0,72;0,64
"emji_tête_à_l_envers";1,9;4,06
"emji_visage_qui_vomit";1,83;3,2
"emji_tête_de_fou";2,08;3,77
"emji_étoile";0,61;0,21
"emji_miam";1,4;0,64
"emji_pouce_vers_le_haut_peau_moyennement_claire";0,86;0,64
"emji_tête_de_chat";0,4;0,14
"emji_visage_qui_pleure_à_chaudes_larmes";10,02;11,89
"emji_poignée_de_main";0,29;0,64
"emji_biceps_contracté_peau_légèrement_mate";0,29;0,64
"emji_biceps_contracté_peau_moyennement_claire";0,36;0,78
"emji_visage_boudeur";3,88;12,74
"emji_visage_soulagé";3,41;1,85
"emji_coeur_blanc";1,8;1,21
"emji_abeille";0,36;0,14
"emji_visage_éméché";1,26;1,42
"emji_étoile_brillante";1,58;0,57
"emji_coeur_jaune";0,43;0,28
"emji_yeux";1,51;4,56
"emji_femme_qui_hausse_les_épaules";1,33;2,78
"emji_coeur_violet";0,93;1,14
"emji_homme_avec_la_paume_sur_le_visage";0,32;1,99
"emji_visage_qui_fait_un_câlin";3,59;2,06
"emji_applaudissements_peau_moyennement_claire";0,61;1,64
"emji_visage_stupéfait";0,36;0,36
"emji_singe_ne_rien_voir";2,44;3,06
"emji_oeil";0,29;0,5
"emji_visage_festif";1,44;3,06
"emji_coeur_grandissant";0,79;0,28
"emji_visage_souriant_avec_de_grands_yeux";1,83;1,49
"emji_pouce_vers_le_haut_peau_claire";1,87;2,92
"emji_visage_déçu";0,9;1
"emji_visage_démoralisé_avec_goutte_de_sueur";0,61;1,07
"emji_visage_avec_des_symboles_dans_la_bouche";1,15;3,77
"emji_visage_implorant";1,72;0,85
"emji_visage_épuisé";1,65;2,7
"emji_étincelles";4,49;4,27
"emji_visage_avec_un_doigt_sur_la_bouche";0,72;1,14
"emji_visage_souriant_avec_auréole";2,41;2,35
"emji_visage_avec_fumée_sortant_des_narines";0,86;3,42
"emji_signe_de_la_main";1,33;0,64
"emji_deux_coeurs";2,41;0,93
"emji_mains_levées_peau_claire";0,47;1,21
"emji_mains_en_prière_peau_moyennement_claire";1,8;1,42
"emji_homme_qui_hausse_les_épaules_peau_moyennement_claire";0,36;0,28
"emji_visage_qui_rougit";2,98;3,06
"emji_visage_pensif";2,77;3,42
"emji_visage_bleu_et_froid";0,57;1,07
"emji_ok_peau_moyennement_claire";0,57;0,57
"emji_tête_qui_explose";0,79;2,49
"emji_drapeau_france";1,01;0,57
"emji_visage_blasé";0,83;2,14
"emji_visage_souriant_avec_yeux_plissés";3,99;3,27
"emji_visage_ébahi";0,36;0,07
"emji_feuille_morte";0,07;0,57
"emji_jeune_pousse";0,32;0,36
"emji_sapin_de_noël";0,68;1,42
"emji_ok_peau_claire";0,65;0,78
"emji_père_noël";0,5;0,21
"emji_mains_en_prière_peau_claire";4,13;4,7
"emji_bouteille_de_champagne";0,18;0,36
"emji_chat_qui_pleure_de_joie";0,65;1,64
"emji_cent_points";0,79;0,71
"emji_biceps_contracté_peau_claire";0,75;0,36
"emji_rose";2,12;0,14
"emji_visage_bâillant";0,4;2,14
"emji_index_pointant_vers_le_haut_peau_claire";0,18;0,43
"emji_biceps_contracté";1,8;3,91
"emji_coeur_brisé";1,33;3,7
"emji_chat_souriant_aux_yeux_en_coeurs";2,87;0,14
"emji_note_de_musique";0,4;0,14
"emji_mains_levées_peau_légèrement_mate";0,29;0,43
"emji_coeur_point_d_exclamation";0,54;0
"emji_visage_souriant_avec_une_larme";2,73;4,56
"emji_globe_tourné_sur_l_afrique_et_l_europe";0,25;0,71
"emji_explosion";0,57;0,85
"emji_index_pointant_vers_le_haut";0,5;0,93
"emji_partition";1,4;0,07
"emji_flocon";0,75;0,28
"emji_nuage_avec_neige";0,36;0
"emji_mains_en_prière_peau_légèrement_mate";0,86;0,78
"emji_visage_triste_mais_soulagé";2,08;0,57
"emji_visage_effrayé";0,47;0,36
"emji_coeur_avec_ruban";0,83;0,14
"emji_coeur_étincelant";1,47;0,57
"emji_visage_en_colère";0,22;0,64
"emji_visage_anxieux_avec_goutte_de_sueur";0,61;0,64
"emji_feuille";0,47;0,64
"emji_visage_avec_un_monocle";1,54;3,77
"emji_femme_qui_hausse_les_épaules_peau_claire";0,47;1,92
"emji_personne_avec_la_paume_sur_le_visage";0,47;2,7
"emji_visage_sans_expression";0,72;1,85
"emji_fleur_de_cerisier";0,86;0
"emji_v_de_la_victoire";0,79;1,28
"emji_visage_confus";0,61;0,71
"emji_symbole_de_paix";0,18;0,43
"emji_visage_nauséeux";1,62;0
"emji_visage_qui_tire_la_langue_les_yeux_plissés";1,19;1
"emji_visage_retenant_ses_larmes";6,21;1,99
"emji_homme_qui_hausse_les_épaules_peau_claire";0,93;1,78
"emji_points_d_exclamation_et_d_interrogation";0,04;0,64
"emji_visage_qui_regarde_entre_ses_doigts";2,33;2,49
"emji_visage_rouge_et_chaud";0,61;0,36
"emji_visage_sans_bouche";0,25;0,36
"emji_visage_endormi";0,57;1,21
"emji_femme_avec_la_paume_sur_le_visage_peau_moyennement_claire";0,57;1,07
"emji_main_avec_index_pointant_à_droite";0,86;1,07
"emji_colombe";0,9;4,13
"emji_applaudissements_peau_claire";1,19;2,78
"emji_visage_avec_yeux_ouverts_et_main_sur_la_bouche";0,4;0,5
"emji_visage_déconcerté";0,4;0,28
"emji_mains_en_prière_peau_mate";0,5;0,93
"emji_mains_qui_forment_un_coeur";1,8;2,35
"emji_tête_de_mort";0,54;0,93
"emji_visage_fatigué";0,54;0,71
"emji_visage_qui_fond";1,65;2,21
"emji_visage_qui_tire_la_langue";0,22;0,57
"emji_visage_aux_yeux_en_spirales";1,04;1,35
"emji_visage_légèrement_mécontent";0,5;0,43
"emji_mains_qui_forment_un_coeur_peau_moyennement_claire";0,86;0,93
"emji_croix_latine";0,25;0,5
"emji_verre_de_vin";0,43;0,07
"emji_tas_de_crotte";1,33;2,42
"emji_trace_de_rouge_à_lèvres";0,29;0,14
"emji_mains_qui_forment_un_coeur_peau_claire";1,19;1,71
"emji_homme_qui_hausse_les_épaules";0,5;3,49
"emji_décamper";0,25;0,43
"emji_homme_qui_hausse_les_épaules_peau_légèrement_mate";0,83;2,28
"emji_visage_neutre";0,83;1,07
"emji_bout_des_doigts_joints";0,22;0,28
"emji_crâne";2,05;3,35
"emji_coeur_bleu_clair";0,36;0,57
"emji_signe_appel_téléphonique_avec_les_doigts";0,22;0,28
"emji_visage_avec_bouche_en_diagonale";0,29;0,5
"emji_mains_levées_peau_moyennement_claire";0,29;0,64
"emji_coeur_orange";0,5;0,14
"emji_coeur_rose";1,01;0,21
"emji_visage_étourdi";0,54;0,5
"emji_cornes_avec_les_doigts";0,75;0,71
"emji_point_d_exclamation_rouge";0,22;0,43
"emji_sac_plein_d_argent";0,14;1,78
"emji_hibiscus";0,36;0,14
"emji_pouce_vers_le_bas";0,36;1
"emji_ogre";0,22;0,5
"emji_femme_qui_hausse_les_épaules_peau_moyennement_claire";0,36;0,78
"emji_visage_avec_bouche_fermeture_éclair";0,22;0,36
"emji_visage_expirant";0,32;1,71
"emji_ampoule";0,22;0,28
"emji_femme_avec_la_paume_sur_le_visage_peau_claire";0,32;0,71
"emji_visage_souriant_avec_des_cornes";0,22;0,5
"emji_étourdissement";0,54;1,21
"emji_confettis";0,22;0,36
"emji_téléphone_portable";0,32;0,14
"emji_mains_qui_forment_un_coeur_peau_légèrement_mate";0,43;0,43
"emji_homme_avec_la_paume_sur_le_visage_peau_légèrement_mate";0,07;1
"emji_personne_qui_hausse_les_épaules_peau_claire";0,18;0,5
"emji_soleil_avec_visage";0,5;0,36
"emji_pouce_vers_le_bas_peau_claire";0,14;0,43
"emji_bouton_coché";0,47;0,93
"emji_visage_qui_fait_un_salut_militaire";1,26;1,64
"emji_doigts_croisés";0,25;1,99
"emji_personne_qui_hausse_les_épaules";0,47;1,57
"emji_coeur_battant";0,65;0,43
"emji_personne_avec_la_paume_sur_le_visage_peau_claire";0,29;0,43
"emji_coeur_avec_bandages";0,14;1,14
"emji_main_qui_écrit";0,07;0,78
"emji_pop_corn";0,07;1
"emji_tête_qui_parle";0,25;0,21
"emji_symbole_d_avertissement";0,5;1,64
"emji_femme_avec_la_paume_sur_le_visage";0,32;1,92
"emji_drapeau_brésil";0,07;0,71
"emji_point_d_interrogation_rouge";0,07;0,71
"emji_double_point_d_exclamation";0,29;0,57
"emji_visage_déguisé";0,07;0,64
"emji_argent_dans_les_yeux_et_la_bouche";0,11;0,5
"emji_empreintes_d_animaux";0,22;0,36
"emji_drapeau_île_clipperton";0,22;0,5
"emji_croix";0,22;0,64
"emji_arc_en_ciel";0,29;0,43
"emji_drapeau_israël";0,04;3,99
"emji_drapeau_italie";1,01;0,14
"emji_coeurs_qui_tournent";0,43;0,21
"emji_femme_qui_hausse_les_épaules_peau_légèrement_mate";0,11;0,93
