""	"X.rts_a"	"X.rts_i"
"tgen_facepalm"	-14.6414	14.6414
"tgen_biceps_contracté"	-0.9779	0.9779
"tgen_applaudissements"	1.2014	-1.2014
"tgen_bout_des_doigts_joints"	0.3327	-0.3327
"tgen_coeur_positifs"	244.1377	-244.1377
"tgen_coeur_tristes"	-4.459	4.459
"tgen_cornes_avec_les_doigts"	0.5348	-0.5348
"tgen_doigts_croisés"	-3.1431	3.1431
"tgen_drapeaux"	-18.4227	18.4227
"tgen_personne_qui_hausse_les_épaules"	-11.4251	11.4251
"tgen_mains_en_prière"	15.6978	-15.6978
"tgen_mains_qui_forment_un_coeur"	0.838	-0.838
"tgen_mains_levées"	0.7188	-0.7188
"tgen_note-s_de_musique"	17.1153	-17.1153
"tgen_ok_peau"	4.6391	-4.6391
"tgen_paume_contre_paume_doigts_vers_le_haut"	-2.0126	2.0126
"tgen_pouce_vers_le_haut"	10.0006	-10.0006
"tgen_pouce_vers_le_bas"	-2.1575	2.1575
"tgen_v_de_la_victoire"	-0.7186	0.7186
"tgen_visage_souriant_positifs"	276.3769	-276.3769
"tgen_ninja"	-6.4215	6.4215
