"";"X.rts_a";"X.rts_i"
"emji_visage_avec_un_sourire_malin";-3,9402;3,9402
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";99,0299;-99,0299
"emji_visage_riant_aux_larmes";4,3489;-4,3489
"emji_visage_grimaçant";0,7124;-0,7124
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";12,5969;-12,5969
"emji_visage_qui_tire_la_langue_et_fait_un_clin_d_oeil";-0,3412;0,3412
"emji_visage_souriant_avec_une_goutte_de_sueur";0,9878;-0,9878
"emji_visage_faisant_un_clin_d_oeil";-0,3521;0,3521
"emji_visage_avec_lunettes_de_soleil";1,6624;-1,6624
"emji_coeur_rouge";101,5589;-101,5589
"emji_ok";1,9712;-1,9712
"emji_trinquer";-0,4781;0,4781
"emji_trèfle_à_quatre_feuilles";1,6656;-1,6656
"emji_applaudissements";-11,6697;11,6697
"emji_feu";-1,3371;1,3371
"emji_mains_levées";-3,7135;3,7135
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";-3,4699;3,4699
"emji_se_rouler_par_terre_de_rire";-0,409;0,409
"emji_coeur_cartes";15,607;-15,607
"emji_drapeau_suisse";-15,327;15,327
"emji_drapeau_états_unis";-6,7461;6,7461
"emji_visage_avec_les_sourcils_relevés";-3,2299;3,2299
"emji_coeur_enflammé";1,1135;-1,1135
"emji_visage_envoyant_un_bisou";0,2765;-0,2765
"emji_visage_qui_hurle_de_peur";0,3071;-0,3071
"emji_visage_mécontent";0,6387;-0,6387
"emji_soleil";3,3483;-3,3483
"emji_visage_avec_un_léger_sourire";-1,4387;1,4387
"emji_visage_rieur";5,8792;-5,8792
"emji_poing_levé";-1,9838;1,9838
"emji_pouce_vers_le_haut";4,7268;-4,7268
"emji_visage_souriant_aux_yeux_rieurs";3,2372;-3,2372
"emji_visage_avec_bouche_ouverte";-0,7322;0,7322
"emji_visage_en_pleine_réflexion";-23,1268;23,1268
"emji_visage_souriant_avec_yeux_rieurs";8,2962;-8,2962
"emji_visage_très_souriant_aux_yeux_rieurs";1,1742;-1,1742
"emji_visage_qui_pleure";-17,3817;17,3817
"emji_visage_avec_une_main_sur_la_bouche";1,8668;-1,8668
"emji_visage_souriant";2,4683;-2,4683
"emji_coeur_noir";0,4005;-0,4005
"emji_couronne";1,1191;-1,1191
"emji_visage_souriant_avec_coeurs";37,0903;-37,0903
"emji_visage_de_clown";-18,4181;18,4181
"emji_visage_de_geek";-6,2354;6,2354
"emji_cotillons";-0,461;0,461
"emji_mains_en_prière";2,4035;-2,4035
"emji_papillon";0,9892;-0,9892
"emji_notes_de_musique";10,4529;-10,4529
"emji_coeur_bleu";0,8292;-0,8292
"emji_visage_roulant_des_yeux";-14,2825;14,2825
"emji_fondue";-0,5229;0,5229
"emji_coeur_vert";0,3246;-0,3246
"emji_tête_à_l_envers";-4,2383;4,2383
"emji_visage_qui_vomit";-2,3431;2,3431
"emji_tête_de_fou";-2,8789;2,8789
"emji_étoile";1,2347;-1,2347
"emji_miam";1,7366;-1,7366
"emji_pouce_vers_le_haut_peau_moyennement_claire";0,5424;-0,5424
"emji_tête_de_chat";0,8684;-0,8684
"emji_visage_qui_pleure_à_chaudes_larmes";-1,3497;1,3497
"emji_poignée_de_main";-1,1075;1,1075
"emji_biceps_contracté_peau_légèrement_mate";-1,1075;1,1075
"emji_biceps_contracté_peau_moyennement_claire";-1,2366;1,2366
"emji_visage_boudeur";-22,8743;22,8743
"emji_visage_soulagé";2,5954;-2,5954
"emji_coeur_blanc";1,0124;-1,0124
"emji_abeille";0,7513;-0,7513
"emji_visage_éméché";-0,4247;0,4247
"emji_étoile_brillante";2,5535;-2,5535
"emji_coeur_jaune";0,4777;-0,4777
"emji_yeux";-7,8627;7,8627
"emji_femme_qui_hausse_les_épaules";-2,9882;2,9882
"emji_coeur_violet";-0,4991;0,4991
"emji_homme_avec_la_paume_sur_le_visage";-6,7217;6,7217
"emji_visage_qui_fait_un_câlin";2,3861;-2,3861
"emji_applaudissements_peau_moyennement_claire";-2,8025;2,8025
"emji_visage_stupéfait";0,2133;-0,2133
"emji_singe_ne_rien_voir";-0,8408;0,8408
"emji_oeil";-0,6822;0,6822
"emji_visage_festif";-3,3481;3,3481
"emji_coeur_grandissant";1,467;-1,467
"emji_visage_souriant_avec_de_grands_yeux";0,59;-0,59
"emji_pouce_vers_le_haut_peau_claire";-1,6608;1,6608
"emji_visage_déçu";-0,3606;0,3606
"emji_visage_démoralisé_avec_goutte_de_sueur";-1,0901;1,0901
"emji_visage_avec_des_symboles_dans_la_bouche";-7,2906;7,2906
